Angle (deg),Magnitude (dB),Phase (deg)
0.0,-8.03466,-8.03466
0.1,-8.03467,-8.03467
0.2,-8.0347,-8.0347
0.3,-8.03476,-8.03476
0.4,-8.03484,-8.03484
0.5,-8.03493,-8.03493
0.6,-8.03505,-8.03505
0.7,-8.0352,-8.0352
0.8,-8.03536,-8.03536
0.9,-8.03555,-8.03555
1.0,-8.03575,-8.03575
1.1,-8.03598,-8.03598
1.2,-8.03623,-8.03623
1.3,-8.03651,-8.03651
1.4,-8.0368,-8.0368
1.5,-8.03712,-8.03712
1.6,-8.03746,-8.03746
1.7,-8.03782,-8.03782
1.8,-8.0382,-8.0382
1.9,-8.03861,-8.03861
2.0,-8.03903,-8.03903
2.1,-8.03948,-8.03948
2.2,-8.03995,-8.03995
2.3,-8.04045,-8.04045
2.4,-8.04096,-8.04096
2.5,-8.0415,-8.0415
2.6,-8.04206,-8.04206
2.7,-8.04264,-8.04264
2.8,-8.04324,-8.04324
2.9,-8.04387,-8.04387
3.0,-8.04452,-8.04452
3.1,-8.04519,-8.04519
3.2,-8.04588,-8.04588
3.3,-8.04659,-8.04659
3.4,-8.04733,-8.04733
3.5,-8.04809,-8.04809
3.6,-8.04887,-8.04887
3.7,-8.04968,-8.04968
3.8,-8.0505,-8.0505
3.9,-8.05135,-8.05135
4.0,-8.05222,-8.05222
4.1,-8.05312,-8.05312
4.2,-8.05403,-8.05403
4.3,-8.05497,-8.05497
4.4,-8.05593,-8.05593
4.5,-8.05692,-8.05692
4.6,-8.05793,-8.05793
4.7,-8.05896,-8.05896
4.8,-8.06001,-8.06001
4.9,-8.06109,-8.06109
5.0,-8.06218,-8.06218
5.1,-8.06331,-8.06331
5.2,-8.06445,-8.06445
5.3,-8.06562,-8.06562
5.4,-8.06681,-8.06681
5.5,-8.06802,-8.06802
5.6,-8.06926,-8.06926
5.7,-8.07052,-8.07052
5.8,-8.07181,-8.07181
5.9,-8.07311,-8.07311
6.0,-8.07444,-8.07444
6.1,-8.0758,-8.0758
6.2,-8.07717,-8.07717
6.3,-8.07857,-8.07857
6.4,-8.08,-8.08
6.5,-8.08145,-8.08145
6.6,-8.08292,-8.08292
6.7,-8.08441,-8.08441
6.8,-8.08593,-8.08593
6.9,-8.08748,-8.08748
7.0,-8.08905,-8.08905
7.1,-8.09064,-8.09064
7.2,-8.09225,-8.09225
7.3,-8.09389,-8.09389
7.4,-8.09556,-8.09556
