Angle (deg),Magnitude (dB),Phase (deg)
0.0,-5.13741,-5.13741
0.1,-5.13742,-5.13742
0.2,-5.13744,-5.13744
0.3,-5.13749,-5.13749
0.4,-5.13755,-5.13755
0.5,-5.13762,-5.13762
0.6,-5.13771,-5.13771
0.7,-5.13782,-5.13782
0.8,-5.13795,-5.13795
0.9,-5.1381,-5.1381
1.0,-5.13826,-5.13826
1.1,-5.13843,-5.13843
1.2,-5.13863,-5.13863
1.3,-5.13884,-5.13884
1.4,-5.13907,-5.13907
1.5,-5.13931,-5.13931
1.6,-5.13958,-5.13958
1.7,-5.13986,-5.13986
1.8,-5.14015,-5.14015
1.9,-5.14046,-5.14046
2.0,-5.1408,-5.1408
2.1,-5.14114,-5.14114
2.2,-5.14151,-5.14151
2.3,-5.14189,-5.14189
2.4,-5.14229,-5.14229
2.5,-5.1427,-5.1427
2.6,-5.14313,-5.14313
2.7,-5.14358,-5.14358
2.8,-5.14405,-5.14405
2.9,-5.14453,-5.14453
3.0,-5.14503,-5.14503
3.1,-5.14555,-5.14555
3.2,-5.14608,-5.14608
3.3,-5.14663,-5.14663
3.4,-5.1472,-5.1472
3.5,-5.14778,-5.14778
3.6,-5.14839,-5.14839
3.7,-5.149,-5.149
3.8,-5.14964,-5.14964
3.9,-5.15029,-5.15029
4.0,-5.15096,-5.15096
4.1,-5.15165,-5.15165
4.2,-5.15236,-5.15236
4.3,-5.15308,-5.15308
4.4,-5.15381,-5.15381
4.5,-5.15457,-5.15457
4.6,-5.15534,-5.15534
4.7,-5.15613,-5.15613
4.8,-5.15694,-5.15694
4.9,-5.15776,-5.15776
5.0,-5.1586,-5.1586
5.1,-5.15946,-5.15946
5.2,-5.16034,-5.16034
5.3,-5.16123,-5.16123
5.4,-5.16214,-5.16214
5.5,-5.16306,-5.16306
5.6,-5.16401,-5.16401
5.7,-5.16497,-5.16497
5.8,-5.16595,-5.16595
5.9,-5.16694,-5.16694
6.0,-5.16796,-5.16796
6.1,-5.16899,-5.16899
6.2,-5.17003,-5.17003
6.3,-5.1711,-5.1711
6.4,-5.17218,-5.17218
6.5,-5.17328,-5.17328
6.6,-5.17439,-5.17439
6.7,-5.17553,-5.17553
6.8,-5.17668,-5.17668
6.9,-5.17784,-5.17784
7.0,-5.17903,-5.17903
7.1,-5.18023,-5.18023
7.2,-5.18145,-5.18145
7.3,-5.18269,-5.18269
7.4,-5.18394,-5.18394
7.5,-5.18521,-5.18521
7.6,-5.1865,-5.1865
7.7,-5.18781,-5.18781
7.8,-5.18914,-5.18914
7.9,-5.19048,-5.19048
8.0,-5.19184,-5.19184
8.1,-5.19321,-5.19321
8.2,-5.19461,-5.19461
8.3,-5.19602,-5.19602
8.4,-5.19745,-5.19745
8.5,-5.19889,-5.19889
8.6,-5.20036,-5.20036
8.7,-5.20184,-5.20184
8.8,-5.20334,-5.20334
8.9,-5.20485,-5.20485
9.0,-5.20639,-5.20639
9.1,-5.20794,-5.20794
9.2,-5.20951,-5.20951
9.3,-5.21109,-5.21109
9.4,-5.2127,-5.2127
9.5,-5.21432,-5.21432
9.6,-5.21596,-5.21596
9.7,-5.21762,-5.21762
9.8,-5.21929,-5.21929
