Angle (deg),Magnitude (dB),Phase (deg)
0.0,-4.27202,-4.27202
0.1,-4.27203,-4.27203
0.2,-4.27206,-4.27206
0.3,-4.27212,-4.27212
0.4,-4.27219,-4.27219
0.5,-4.27228,-4.27228
0.6,-4.2724,-4.2724
0.7,-4.27254,-4.27254
0.8,-4.27269,-4.27269
0.9,-4.27287,-4.27287
1.0,-4.27307,-4.27307
1.1,-4.27329,-4.27329
1.2,-4.27354,-4.27354
1.3,-4.2738,-4.2738
1.4,-4.27408,-4.27408
1.5,-4.27439,-4.27439
1.6,-4.27471,-4.27471
1.7,-4.27506,-4.27506
1.8,-4.27543,-4.27543
1.9,-4.27582,-4.27582
2.0,-4.27623,-4.27623
2.1,-4.27666,-4.27666
2.2,-4.27711,-4.27711
2.3,-4.27759,-4.27759
2.4,-4.27808,-4.27808
2.5,-4.2786,-4.2786
2.6,-4.27914,-4.27914
2.7,-4.2797,-4.2797
2.8,-4.28028,-4.28028
2.9,-4.28088,-4.28088
3.0,-4.2815,-4.2815
3.1,-4.28214,-4.28214
3.2,-4.28281,-4.28281
3.3,-4.28349,-4.28349
3.4,-4.2842,-4.2842
3.5,-4.28493,-4.28493
3.6,-4.28568,-4.28568
3.7,-4.28645,-4.28645
3.8,-4.28724,-4.28724
3.9,-4.28806,-4.28806
4.0,-4.28889,-4.28889
4.1,-4.28975,-4.28975
4.2,-4.29063,-4.29063
4.3,-4.29153,-4.29153
4.4,-4.29245,-4.29245
4.5,-4.29339,-4.29339
4.6,-4.29435,-4.29435
4.7,-4.29534,-4.29534
4.8,-4.29634,-4.29634
4.9,-4.29737,-4.29737
5.0,-4.29842,-4.29842
5.1,-4.29949,-4.29949
5.2,-4.30059,-4.30059
5.3,-4.3017,-4.3017
5.4,-4.30284,-4.30284
5.5,-4.304,-4.304
5.6,-4.30518,-4.30518
5.7,-4.30638,-4.30638
5.8,-4.3076,-4.3076
5.9,-4.30885,-4.30885
6.0,-4.31011,-4.31011
6.1,-4.3114,-4.3114
6.2,-4.31271,-4.31271
6.3,-4.31404,-4.31404
6.4,-4.3154,-4.3154
6.5,-4.31677,-4.31677
6.6,-4.31817,-4.31817
6.7,-4.31959,-4.31959
6.8,-4.32103,-4.32103
6.9,-4.3225,-4.3225
7.0,-4.32398,-4.32398
7.1,-4.32549,-4.32549
7.2,-4.32702,-4.32702
7.3,-4.32858,-4.32858
7.4,-4.33015,-4.33015
7.5,-4.33175,-4.33175
7.6,-4.33337,-4.33337
7.7,-4.33501,-4.33501
7.8,-4.33667,-4.33667
7.9,-4.33836,-4.33836
8.0,-4.34007,-4.34007
8.1,-4.3418,-4.3418
8.2,-4.34355,-4.34355
8.3,-4.34533,-4.34533
8.4,-4.34713,-4.34713
8.5,-4.34895,-4.34895
8.6,-4.35079,-4.35079
8.7,-4.35266,-4.35266
8.8,-4.35455,-4.35455
8.9,-4.35646,-4.35646
9.0,-4.3584,-4.3584
9.1,-4.36036,-4.36036
9.2,-4.36234,-4.36234
9.3,-4.36434,-4.36434
9.4,-4.36637,-4.36637
9.5,-4.36842,-4.36842
9.6,-4.37049,-4.37049
9.7,-4.37259,-4.37259
9.8,-4.37471,-4.37471
9.9,-4.37685,-4.37685
10.0,-4.37901,-4.37901
10.1,-4.3812,-4.3812
10.2,-4.38342,-4.38342
10.3,-4.38565,-4.38565
10.4,-4.38791,-4.38791
10.5,-4.39019,-4.39019
10.6,-4.3925,-4.3925
10.7,-4.39483,-4.39483
10.8,-4.39718,-4.39718
10.9,-4.39956,-4.39956
11.0,-4.40196,-4.40196
11.1,-4.40439,-4.40439
11.2,-4.40683,-4.40683
11.3,-4.40931,-4.40931
11.4,-4.4118,-4.4118
11.5,-4.41432,-4.41432
11.6,-4.41687,-4.41687
11.7,-4.41944,-4.41944
11.8,-4.42203,-4.42203
11.9,-4.42465,-4.42465
12.0,-4.42729,-4.42729
12.1,-4.42995,-4.42995
12.2,-4.43264,-4.43264
12.3,-4.43536,-4.43536
12.4,-4.4381,-4.4381
12.5,-4.44086,-4.44086
12.6,-4.44365,-4.44365
12.7,-4.44646,-4.44646
12.8,-4.4493,-4.4493
12.9,-4.45216,-4.45216
13.0,-4.45505,-4.45505
13.1,-4.45796,-4.45796
13.2,-4.4609,-4.4609
13.3,-4.46386,-4.46386
13.4,-4.46685,-4.46685
13.5,-4.46986,-4.46986
13.6,-4.4729,-4.4729
13.7,-4.47596,-4.47596
13.8,-4.47905,-4.47905
13.9,-4.48217,-4.48217
14.0,-4.48531,-4.48531
14.1,-4.48847,-4.48847
14.2,-4.49166,-4.49166
14.3,-4.49488,-4.49488
14.4,-4.49812,-4.49812
14.5,-4.50139,-4.50139
14.6,-4.50469,-4.50469
14.7,-4.50801,-4.50801
14.8,-4.51135,-4.51135
14.9,-4.51473,-4.51473
15.0,-4.51813,-4.51813
15.1,-4.52155,-4.52155
15.2,-4.52501,-4.52501
15.3,-4.52849,-4.52849
15.4,-4.53199,-4.53199
15.5,-4.53552,-4.53552
15.6,-4.53908,-4.53908
15.7,-4.54267,-4.54267
15.8,-4.54628,-4.54628
15.9,-4.54992,-4.54992
16.0,-4.55359,-4.55359
16.1,-4.55728,-4.55728
16.2,-4.56101,-4.56101
16.3,-4.56475,-4.56475
16.4,-4.56853,-4.56853
16.5,-4.57234,-4.57234
16.6,-4.57617,-4.57617
16.7,-4.58003,-4.58003
16.8,-4.58391,-4.58391
16.9,-4.58783,-4.58783
17.0,-4.59177,-4.59177
17.1,-4.59574,-4.59574
17.2,-4.59974,-4.59974
17.3,-4.60377,-4.60377
17.4,-4.60783,-4.60783
17.5,-4.61191,-4.61191
17.6,-4.61602,-4.61602
17.7,-4.62017,-4.62017
17.8,-4.62434,-4.62434
17.9,-4.62854,-4.62854
18.0,-4.63276,-4.63276
18.1,-4.63702,-4.63702
18.2,-4.64131,-4.64131
18.3,-4.64562,-4.64562
18.4,-4.64997,-4.64997
18.5,-4.65434,-4.65434
18.6,-4.65875,-4.65875
18.7,-4.66318,-4.66318
18.8,-4.66765,-4.66765
18.9,-4.67214,-4.67214
19.0,-4.67666,-4.67666
19.1,-4.68122,-4.68122
19.2,-4.6858,-4.6858
19.3,-4.69042,-4.69042
19.4,-4.69506,-4.69506
19.5,-4.69974,-4.69974
19.6,-4.70444,-4.70444
19.7,-4.70918,-4.70918
19.8,-4.71395,-4.71395
19.9,-4.71875,-4.71875
20.0,-4.72358,-4.72358
20.1,-4.72844,-4.72844
20.2,-4.73333,-4.73333
20.3,-4.73826,-4.73826
20.4,-4.74321,-4.74321
20.5,-4.7482,-4.7482
20.6,-4.75322,-4.75322
20.7,-4.75827,-4.75827
20.8,-4.76335,-4.76335
20.9,-4.76847,-4.76847
21.0,-4.77362,-4.77362
21.1,-4.7788,-4.7788
21.2,-4.78401,-4.78401
21.3,-4.78926,-4.78926
21.4,-4.79454,-4.79454
21.5,-4.79985,-4.79985
21.6,-4.80519,-4.80519
21.7,-4.81057,-4.81057
21.8,-4.81599,-4.81599
21.9,-4.82143,-4.82143
22.0,-4.82691,-4.82691
22.1,-4.83242,-4.83242
22.2,-4.83797,-4.83797
22.3,-4.84355,-4.84355
22.4,-4.84917,-4.84917
22.5,-4.85482,-4.85482
22.6,-4.8605,-4.8605
22.7,-4.86622,-4.86622
22.8,-4.87198,-4.87198
22.9,-4.87777,-4.87777
23.0,-4.88359,-4.88359
23.1,-4.88945,-4.88945
23.2,-4.89535,-4.89535
23.3,-4.90128,-4.90128
23.4,-4.90725,-4.90725
23.5,-4.91325,-4.91325
23.6,-4.91929,-4.91929
23.7,-4.92536,-4.92536
23.8,-4.93148,-4.93148
23.9,-4.93762,-4.93762
24.0,-4.94381,-4.94381
24.1,-4.95003,-4.95003
24.2,-4.95629,-4.95629
24.3,-4.96259,-4.96259
24.4,-4.96892,-4.96892
24.5,-4.97529,-4.97529
24.6,-4.9817,-4.9817
24.7,-4.98815,-4.98815
24.8,-4.99464,-4.99464
24.9,-5.00116,-5.00116
25.0,-5.00772,-5.00772
25.1,-5.01432,-5.01432
25.2,-5.02096,-5.02096
25.3,-5.02764,-5.02764
25.4,-5.03436,-5.03436
25.5,-5.04112,-5.04112
25.6,-5.04792,-5.04792
25.7,-5.05475,-5.05475
25.8,-5.06163,-5.06163
25.9,-5.06855,-5.06855
26.0,-5.07551,-5.07551
26.1,-5.0825,-5.0825
26.2,-5.08954,-5.08954
26.3,-5.09662,-5.09662
26.4,-5.10374,-5.10374
26.5,-5.11091,-5.11091
26.6,-5.11811,-5.11811
26.7,-5.12536,-5.12536
26.8,-5.13264,-5.13264
26.9,-5.13997,-5.13997
27.0,-5.14735,-5.14735
27.1,-5.15476,-5.15476
27.2,-5.16222,-5.16222
27.3,-5.16972,-5.16972
27.4,-5.17726,-5.17726
27.5,-5.18485,-5.18485
27.6,-5.19248,-5.19248
27.7,-5.20016,-5.20016
27.8,-5.20787,-5.20787
27.9,-5.21564,-5.21564
28.0,-5.22345,-5.22345
28.1,-5.2313,-5.2313
28.2,-5.2392,-5.2392
28.3,-5.24714,-5.24714
28.4,-5.25513,-5.25513
28.5,-5.26316,-5.26316
28.6,-5.27125,-5.27125
28.7,-5.27937,-5.27937
28.8,-5.28755,-5.28755
28.9,-5.29577,-5.29577
29.0,-5.30403,-5.30403
29.1,-5.31235,-5.31235
29.2,-5.32071,-5.32071
29.3,-5.32912,-5.32912
29.4,-5.33758,-5.33758
29.5,-5.34608,-5.34608
29.6,-5.35464,-5.35464
29.7,-5.36324,-5.36324
29.8,-5.37189,-5.37189
29.9,-5.3806,-5.3806
30.0,-5.38935,-5.38935
30.1,-5.39815,-5.39815
30.2,-5.407,-5.407
30.3,-5.4159,-5.4159
30.4,-5.42486,-5.42486
30.5,-5.43386,-5.43386
30.6,-5.44291,-5.44291
30.7,-5.45202,-5.45202
30.8,-5.46118,-5.46118
30.9,-5.47039,-5.47039
31.0,-5.47965,-5.47965
31.1,-5.48897,-5.48897
31.2,-5.49834,-5.49834
31.3,-5.50776,-5.50776
31.4,-5.51724,-5.51724
31.5,-5.52677,-5.52677
31.6,-5.53635,-5.53635
31.7,-5.54599,-5.54599
31.8,-5.55569,-5.55569
31.9,-5.56543,-5.56543
32.0,-5.57524,-5.57524
32.1,-5.5851,-5.5851
32.2,-5.59502,-5.59502
32.3,-5.60499,-5.60499
32.4,-5.61502,-5.61502
32.5,-5.62511,-5.62511
32.6,-5.63526,-5.63526
32.7,-5.64546,-5.64546
32.8,-5.65572,-5.65572
32.9,-5.66604,-5.66604
33.0,-5.67642,-5.67642
33.1,-5.68686,-5.68686
33.2,-5.69736,-5.69736
33.3,-5.70792,-5.70792
33.4,-5.71854,-5.71854
33.5,-5.72922,-5.72922
33.6,-5.73996,-5.73996
33.7,-5.75076,-5.75076
33.8,-5.76162,-5.76162
33.9,-5.77255,-5.77255
34.0,-5.78354,-5.78354
34.1,-5.79459,-5.79459
34.2,-5.80571,-5.80571
34.3,-5.81689,-5.81689
34.4,-5.82814,-5.82814
34.5,-5.83945,-5.83945
34.6,-5.85082,-5.85082
34.7,-5.86226,-5.86226
34.8,-5.87377,-5.87377
34.9,-5.88534,-5.88534
35.0,-5.89698,-5.89698
35.1,-5.90869,-5.90869
35.2,-5.92046,-5.92046
35.3,-5.93231,-5.93231
35.4,-5.94422,-5.94422
35.5,-5.9562,-5.9562
35.6,-5.96825,-5.96825
35.7,-5.98037,-5.98037
35.8,-5.99256,-5.99256
35.9,-6.00482,-6.00482
36.0,-6.01715,-6.01715
36.1,-6.02956,-6.02956
36.2,-6.04204,-6.04204
36.3,-6.05459,-6.05459
36.4,-6.06721,-6.06721
36.5,-6.07991,-6.07991
36.6,-6.09268,-6.09268
36.7,-6.10553,-6.10553
36.8,-6.11845,-6.11845
36.9,-6.13145,-6.13145
37.0,-6.14452,-6.14452
37.1,-6.15767,-6.15767
37.2,-6.1709,-6.1709
37.3,-6.18421,-6.18421
37.4,-6.19759,-6.19759
37.5,-6.21105,-6.21105
37.6,-6.2246,-6.2246
37.7,-6.23822,-6.23822
37.8,-6.25193,-6.25193
37.9,-6.26571,-6.26571
38.0,-6.27958,-6.27958
38.1,-6.29353,-6.29353
38.2,-6.30756,-6.30756
38.3,-6.32168,-6.32168
38.4,-6.33588,-6.33588
38.5,-6.35017,-6.35017
38.6,-6.36454,-6.36454
38.7,-6.379,-6.379
38.8,-6.39354,-6.39354
38.9,-6.40818,-6.40818
39.0,-6.4229,-6.4229
39.1,-6.43771,-6.43771
39.2,-6.4526,-6.4526
39.3,-6.46759,-6.46759
39.4,-6.48267,-6.48267
39.5,-6.49784,-6.49784
39.6,-6.5131,-6.5131
39.7,-6.52846,-6.52846
39.8,-6.54391,-6.54391
39.9,-6.55945,-6.55945
40.0,-6.57509,-6.57509
40.1,-6.59082,-6.59082
40.2,-6.60665,-6.60665
40.3,-6.62258,-6.62258
40.4,-6.6386,-6.6386
40.5,-6.65472,-6.65472
40.6,-6.67095,-6.67095
40.7,-6.68727,-6.68727
40.8,-6.70369,-6.70369
40.9,-6.72022,-6.72022
41.0,-6.73684,-6.73684
41.1,-6.75358,-6.75358
41.2,-6.77041,-6.77041
41.3,-6.78735,-6.78735
41.4,-6.8044,-6.8044
41.5,-6.82155,-6.82155
41.6,-6.83881,-6.83881
41.7,-6.85618,-6.85618
41.8,-6.87365,-6.87365
41.9,-6.89124,-6.89124
42.0,-6.90894,-6.90894
42.1,-6.92675,-6.92675
42.2,-6.94467,-6.94467
42.3,-6.96271,-6.96271
42.4,-6.98086,-6.98086
42.5,-6.99913,-6.99913
42.6,-7.01751,-7.01751
42.7,-7.03601,-7.03601
42.8,-7.05463,-7.05463
42.9,-7.07337,-7.07337
43.0,-7.09223,-7.09223
43.1,-7.11121,-7.11121
43.2,-7.13032,-7.13032
43.3,-7.14955,-7.14955
43.4,-7.1689,-7.1689
43.5,-7.18838,-7.18838
43.6,-7.20798,-7.20798
43.7,-7.22772,-7.22772
43.8,-7.24758,-7.24758
43.9,-7.26758,-7.26758
44.0,-7.2877,-7.2877
44.1,-7.30796,-7.30796
44.2,-7.32835,-7.32835
44.3,-7.34888,-7.34888
44.4,-7.36954,-7.36954
44.5,-7.39034,-7.39034
44.6,-7.41128,-7.41128
44.7,-7.43235,-7.43235
44.8,-7.45357,-7.45357
44.9,-7.47494,-7.47494
45.0,-7.49644,-7.49644
45.1,-7.51809,-7.51809
45.2,-7.53989,-7.53989
45.3,-7.56183,-7.56183
45.4,-7.58393,-7.58393
45.5,-7.60617,-7.60617
45.6,-7.62857,-7.62857
45.7,-7.65112,-7.65112
45.8,-7.67382,-7.67382
45.9,-7.69669,-7.69669
46.0,-7.7197,-7.7197
46.1,-7.74288,-7.74288
46.2,-7.76622,-7.76622
46.3,-7.78972,-7.78972
46.4,-7.81339,-7.81339
46.5,-7.83722,-7.83722
46.6,-7.86122,-7.86122
46.7,-7.88539,-7.88539
46.8,-7.90972,-7.90972
46.9,-7.93423,-7.93423
47.0,-7.95892,-7.95892
47.1,-7.98377,-7.98377
47.2,-8.00881,-8.00881
47.3,-8.03403,-8.03403
47.4,-8.05942,-8.05942
47.5,-8.085,-8.085
47.6,-8.11077,-8.11077
47.7,-8.13672,-8.13672
47.8,-8.16286,-8.16286
47.9,-8.18919,-8.18919
48.0,-8.21571,-8.21571
48.1,-8.24243,-8.24243
48.2,-8.26934,-8.26934
48.3,-8.29645,-8.29645
48.4,-8.32377,-8.32377
48.5,-8.35128,-8.35128
48.6,-8.379,-8.379
48.7,-8.40693,-8.40693
48.8,-8.43507,-8.43507
48.9,-8.46342,-8.46342
49.0,-8.49198,-8.49198
49.1,-8.52076,-8.52076
49.2,-8.54976,-8.54976
49.3,-8.57898,-8.57898
49.4,-8.60843,-8.60843
49.5,-8.6381,-8.6381
49.6,-8.668,-8.668
49.7,-8.69812,-8.69812
49.8,-8.72849,-8.72849
49.9,-8.75909,-8.75909
50.0,-8.78993,-8.78993
50.1,-8.82101,-8.82101
50.2,-8.85234,-8.85234
50.3,-8.88392,-8.88392
50.4,-8.91574,-8.91574
50.5,-8.94782,-8.94782
50.6,-8.98016,-8.98016
50.7,-9.01276,-9.01276
50.8,-9.04562,-9.04562
50.9,-9.07874,-9.07874
51.0,-9.11214,-9.11214
51.1,-9.1458,-9.1458
51.2,-9.17975,-9.17975
51.3,-9.21397,-9.21397
51.4,-9.24848,-9.24848
51.5,-9.28327,-9.28327
51.6,-9.31835,-9.31835
51.7,-9.35372,-9.35372
51.8,-9.3894,-9.3894
51.9,-9.42537,-9.42537
52.0,-9.46165,-9.46165
52.1,-9.49823,-9.49823
52.2,-9.53514,-9.53514
52.3,-9.57235,-9.57235
52.4,-9.60989,-9.60989
52.5,-9.64775,-9.64775
52.6,-9.68595,-9.68595
52.7,-9.72448,-9.72448
52.8,-9.76334,-9.76334
52.9,-9.80255,-9.80255
53.0,-9.84211,-9.84211
53.1,-9.88202,-9.88202
53.2,-9.92229,-9.92229
53.3,-9.96292,-9.96292
53.4,-10.0039,-10.0039
53.5,-10.0453,-10.0453
53.6,-10.087,-10.087
53.7,-10.1292,-10.1292
53.8,-10.1717,-10.1717
53.9,-10.2146,-10.2146
54.0,-10.2579,-10.2579
54.1,-10.3016,-10.3016
54.2,-10.3458,-10.3458
54.3,-10.3903,-10.3903
54.4,-10.4353,-10.4353
54.5,-10.4807,-10.4807
54.6,-10.5265,-10.5265
54.7,-10.5728,-10.5728
54.8,-10.6196,-10.6196
54.9,-10.6668,-10.6668
55.0,-10.7144,-10.7144
55.1,-10.7626,-10.7626
55.2,-10.8112,-10.8112
55.3,-10.8603,-10.8603
55.4,-10.9099,-10.9099
55.5,-10.96,-10.96
55.6,-11.0106,-11.0106
55.7,-11.0617,-11.0617
55.8,-11.1134,-11.1134
55.9,-11.1656,-11.1656
56.0,-11.2183,-11.2183
56.1,-11.2716,-11.2716
56.2,-11.3255,-11.3255
56.3,-11.3799,-11.3799
56.4,-11.4349,-11.4349
56.5,-11.4905,-11.4905
56.6,-11.5468,-11.5468
56.7,-11.6036,-11.6036
56.8,-11.6611,-11.6611
56.9,-11.7192,-11.7192
57.0,-11.7779,-11.7779
57.1,-11.8373,-11.8373
57.2,-11.8974,-11.8974
57.3,-11.9582,-11.9582
57.4,-12.0197,-12.0197
