Angle (deg),Magnitude (dB),Phase (deg)
0.0,-5.45626,-5.45626
0.1,-5.45628,-5.45628
0.2,-5.45635,-5.45635
0.3,-5.45645,-5.45645
0.4,-5.4566,-5.4566
0.5,-5.45679,-5.45679
0.6,-5.45702,-5.45702
0.7,-5.45729,-5.45729
0.8,-5.45761,-5.45761
0.9,-5.45797,-5.45797
1.0,-5.45837,-5.45837
1.1,-5.45881,-5.45881
1.2,-5.4593,-5.4593
1.3,-5.45983,-5.45983
1.4,-5.4604,-5.4604
1.5,-5.46102,-5.46102
1.6,-5.46169,-5.46169
1.7,-5.46239,-5.46239
1.8,-5.46315,-5.46315
1.9,-5.46394,-5.46394
2.0,-5.46479,-5.46479
2.1,-5.46568,-5.46568
2.2,-5.46661,-5.46661
2.3,-5.4676,-5.4676
2.4,-5.46863,-5.46863
2.5,-5.46971,-5.46971
2.6,-5.47084,-5.47084
2.7,-5.47201,-5.47201
2.8,-5.47324,-5.47324
2.9,-5.47452,-5.47452
3.0,-5.47585,-5.47585
3.1,-5.47723,-5.47723
3.2,-5.47866,-5.47866
3.3,-5.48014,-5.48014
3.4,-5.48168,-5.48168
3.5,-5.48328,-5.48328
3.6,-5.48493,-5.48493
3.7,-5.48663,-5.48663
3.8,-5.48839,-5.48839
3.9,-5.49021,-5.49021
4.0,-5.49209,-5.49209
4.1,-5.49402,-5.49402
4.2,-5.49602,-5.49602
4.3,-5.49808,-5.49808
4.4,-5.5002,-5.5002
4.5,-5.50238,-5.50238
4.6,-5.50463,-5.50463
4.7,-5.50694,-5.50694
4.8,-5.50932,-5.50932
4.9,-5.51177,-5.51177
5.0,-5.51428,-5.51428
5.1,-5.51686,-5.51686
5.2,-5.51952,-5.51952
5.3,-5.52224,-5.52224
5.4,-5.52504,-5.52504
5.5,-5.52791,-5.52791
5.6,-5.53086,-5.53086
5.7,-5.53388,-5.53388
5.8,-5.53698,-5.53698
5.9,-5.54017,-5.54017
6.0,-5.54343,-5.54343
6.1,-5.54677,-5.54677
6.2,-5.5502,-5.5502
6.3,-5.55371,-5.55371
6.4,-5.55731,-5.55731
6.5,-5.56099,-5.56099
6.6,-5.56477,-5.56477
6.7,-5.56863,-5.56863
6.8,-5.57259,-5.57259
6.9,-5.57664,-5.57664
7.0,-5.58079,-5.58079
7.1,-5.58504,-5.58504
7.2,-5.58938,-5.58938
7.3,-5.59382,-5.59382
7.4,-5.59837,-5.59837
7.5,-5.60302,-5.60302
7.6,-5.60778,-5.60778
7.7,-5.61264,-5.61264
7.8,-5.61762,-5.61762
7.9,-5.6227,-5.6227
8.0,-5.6279,-5.6279
8.1,-5.63322,-5.63322
8.2,-5.63865,-5.63865
8.3,-5.6442,-5.6442
8.4,-5.64988,-5.64988
8.5,-5.65568,-5.65568
8.6,-5.6616,-5.6616
8.7,-5.66765,-5.66765
8.8,-5.67383,-5.67383
8.9,-5.68015,-5.68015
9.0,-5.6866,-5.6866
