Angle (deg),Magnitude (dB),Phase (deg)
0.0,-8.33466,-8.33466
0.1,-8.33468,-8.33468
0.2,-8.33472,-8.33472
0.3,-8.3348,-8.3348
0.4,-8.3349,-8.3349
0.5,-8.33504,-8.33504
0.6,-8.33521,-8.33521
0.7,-8.33541,-8.33541
0.8,-8.33564,-8.33564
0.9,-8.3359,-8.3359
1.0,-8.33619,-8.33619
1.1,-8.33651,-8.33651
1.2,-8.33686,-8.33686
1.3,-8.33724,-8.33724
1.4,-8.33765,-8.33765
1.5,-8.33809,-8.33809
1.6,-8.33856,-8.33856
1.7,-8.33907,-8.33907
1.8,-8.3396,-8.3396
1.9,-8.34017,-8.34017
2.0,-8.34076,-8.34076
2.1,-8.34139,-8.34139
2.2,-8.34204,-8.34204
2.3,-8.34273,-8.34273
2.4,-8.34345,-8.34345
2.5,-8.3442,-8.3442
2.6,-8.34498,-8.34498
2.7,-8.34579,-8.34579
2.8,-8.34663,-8.34663
2.9,-8.3475,-8.3475
3.0,-8.3484,-8.3484
3.1,-8.34933,-8.34933
3.2,-8.35029,-8.35029
3.3,-8.35129,-8.35129
3.4,-8.35231,-8.35231
3.5,-8.35337,-8.35337
3.6,-8.35446,-8.35446
3.7,-8.35557,-8.35557
3.8,-8.35672,-8.35672
3.9,-8.3579,-8.3579
4.0,-8.35911,-8.35911
4.1,-8.36036,-8.36036
4.2,-8.36163,-8.36163
4.3,-8.36293,-8.36293
4.4,-8.36427,-8.36427
4.5,-8.36563,-8.36563
4.6,-8.36703,-8.36703
4.7,-8.36846,-8.36846
4.8,-8.36992,-8.36992
4.9,-8.37141,-8.37141
5.0,-8.37293,-8.37293
5.1,-8.37449,-8.37449
5.2,-8.37607,-8.37607
5.3,-8.37769,-8.37769
5.4,-8.37934,-8.37934
5.5,-8.38101,-8.38101
5.6,-8.38272,-8.38272
5.7,-8.38447,-8.38447
5.8,-8.38624,-8.38624
5.9,-8.38805,-8.38805
6.0,-8.38988,-8.38988
6.1,-8.39175,-8.39175
6.2,-8.39365,-8.39365
6.3,-8.39559,-8.39559
6.4,-8.39755,-8.39755
6.5,-8.39955,-8.39955
6.6,-8.40157,-8.40157
6.7,-8.40363,-8.40363
6.8,-8.40573,-8.40573
6.9,-8.40785,-8.40785
7.0,-8.41001,-8.41001
7.1,-8.41219,-8.41219
7.2,-8.41442,-8.41442
7.3,-8.41667,-8.41667
7.4,-8.41895,-8.41895
7.5,-8.42127,-8.42127
7.6,-8.42362,-8.42362
7.7,-8.426,-8.426
7.8,-8.42842,-8.42842
7.9,-8.43086,-8.43086
8.0,-8.43334,-8.43334
8.1,-8.43586,-8.43586
8.2,-8.4384,-8.4384
8.3,-8.44098,-8.44098
8.4,-8.44359,-8.44359
8.5,-8.44624,-8.44624
8.6,-8.44891,-8.44891
8.7,-8.45162,-8.45162
8.8,-8.45436,-8.45436
8.9,-8.45714,-8.45714
