Angle (deg),Magnitude (dB),Phase (deg)
0.0,-1.59376,-1.59376
0.1,-1.59376,-1.59376
0.2,-1.59377,-1.59377
0.3,-1.59378,-1.59378
0.4,-1.5938,-1.5938
0.5,-1.59382,-1.59382
0.6,-1.59385,-1.59385
0.7,-1.59388,-1.59388
0.8,-1.59391,-1.59391
0.9,-1.59395,-1.59395
1.0,-1.594,-1.594
1.1,-1.59405,-1.59405
1.2,-1.59411,-1.59411
1.3,-1.59417,-1.59417
1.4,-1.59423,-1.59423
1.5,-1.5943,-1.5943
1.6,-1.59438,-1.59438
1.7,-1.59446,-1.59446
1.8,-1.59454,-1.59454
1.9,-1.59463,-1.59463
2.0,-1.59473,-1.59473
2.1,-1.59483,-1.59483
2.2,-1.59493,-1.59493
2.3,-1.59504,-1.59504
2.4,-1.59515,-1.59515
2.5,-1.59527,-1.59527
2.6,-1.5954,-1.5954
2.7,-1.59553,-1.59553
2.8,-1.59566,-1.59566
2.9,-1.5958,-1.5958
3.0,-1.59594,-1.59594
3.1,-1.59609,-1.59609
3.2,-1.59624,-1.59624
3.3,-1.5964,-1.5964
3.4,-1.59656,-1.59656
3.5,-1.59673,-1.59673
3.6,-1.5969,-1.5969
3.7,-1.59708,-1.59708
3.8,-1.59726,-1.59726
3.9,-1.59745,-1.59745
4.0,-1.59764,-1.59764
4.1,-1.59784,-1.59784
4.2,-1.59804,-1.59804
4.3,-1.59825,-1.59825
4.4,-1.59846,-1.59846
4.5,-1.59868,-1.59868
4.6,-1.5989,-1.5989
4.7,-1.59913,-1.59913
4.8,-1.59936,-1.59936
4.9,-1.59959,-1.59959
5.0,-1.59984,-1.59984
5.1,-1.60008,-1.60008
5.2,-1.60033,-1.60033
5.3,-1.60059,-1.60059
5.4,-1.60085,-1.60085
5.5,-1.60112,-1.60112
5.6,-1.60139,-1.60139
5.7,-1.60166,-1.60166
5.8,-1.60195,-1.60195
5.9,-1.60223,-1.60223
6.0,-1.60252,-1.60252
6.1,-1.60282,-1.60282
6.2,-1.60312,-1.60312
6.3,-1.60343,-1.60343
6.4,-1.60374,-1.60374
6.5,-1.60405,-1.60405
6.6,-1.60437,-1.60437
6.7,-1.6047,-1.6047
6.8,-1.60503,-1.60503
