Angle (deg),Magnitude (dB),Phase (deg)
0.0,-10.3929,-10.3929
0.1,-10.3929,-10.3929
0.2,-10.3929,-10.3929
0.3,-10.393,-10.393
0.4,-10.3932,-10.3932
0.5,-10.3933,-10.3933
0.6,-10.3935,-10.3935
0.7,-10.3938,-10.3938
0.8,-10.394,-10.394
0.9,-10.3943,-10.3943
1.0,-10.3947,-10.3947
1.1,-10.3951,-10.3951
1.2,-10.3955,-10.3955
1.3,-10.3959,-10.3959
1.4,-10.3964,-10.3964
1.5,-10.3969,-10.3969
1.6,-10.3975,-10.3975
1.7,-10.3981,-10.3981
1.8,-10.3988,-10.3988
1.9,-10.3994,-10.3994
2.0,-10.4001,-10.4001
2.1,-10.4009,-10.4009
2.2,-10.4017,-10.4017
2.3,-10.4025,-10.4025
2.4,-10.4033,-10.4033
2.5,-10.4042,-10.4042
2.6,-10.4052,-10.4052
2.7,-10.4061,-10.4061
2.8,-10.4071,-10.4071
2.9,-10.4082,-10.4082
3.0,-10.4093,-10.4093
3.1,-10.4104,-10.4104
3.2,-10.4115,-10.4115
3.3,-10.4127,-10.4127
3.4,-10.414,-10.414
3.5,-10.4152,-10.4152
3.6,-10.4165,-10.4165
3.7,-10.4179,-10.4179
3.8,-10.4193,-10.4193
3.9,-10.4207,-10.4207
4.0,-10.4221,-10.4221
4.1,-10.4236,-10.4236
4.2,-10.4252,-10.4252
4.3,-10.4267,-10.4267
4.4,-10.4283,-10.4283
4.5,-10.43,-10.43
4.6,-10.4317,-10.4317
4.7,-10.4334,-10.4334
4.8,-10.4352,-10.4352
4.9,-10.437,-10.437
5.0,-10.4388,-10.4388
5.1,-10.4407,-10.4407
5.2,-10.4426,-10.4426
5.3,-10.4446,-10.4446
5.4,-10.4466,-10.4466
5.5,-10.4486,-10.4486
5.6,-10.4507,-10.4507
5.7,-10.4528,-10.4528
5.8,-10.455,-10.455
5.9,-10.4572,-10.4572
6.0,-10.4594,-10.4594
6.1,-10.4617,-10.4617
6.2,-10.464,-10.464
6.3,-10.4664,-10.4664
6.4,-10.4688,-10.4688
6.5,-10.4712,-10.4712
6.6,-10.4737,-10.4737
6.7,-10.4762,-10.4762
6.8,-10.4788,-10.4788
6.9,-10.4814,-10.4814
7.0,-10.4841,-10.4841
7.1,-10.4868,-10.4868
7.2,-10.4895,-10.4895
7.3,-10.4923,-10.4923
7.4,-10.4951,-10.4951
7.5,-10.498,-10.498
7.6,-10.5009,-10.5009
7.7,-10.5038,-10.5038
7.8,-10.5068,-10.5068
7.9,-10.5098,-10.5098
8.0,-10.5129,-10.5129
8.1,-10.516,-10.516
8.2,-10.5192,-10.5192
8.3,-10.5224,-10.5224
8.4,-10.5257,-10.5257
8.5,-10.529,-10.529
8.6,-10.5323,-10.5323
8.7,-10.5357,-10.5357
8.8,-10.5391,-10.5391
8.9,-10.5426,-10.5426
9.0,-10.5461,-10.5461
9.1,-10.5497,-10.5497
9.2,-10.5533,-10.5533
9.3,-10.557,-10.557
9.4,-10.5607,-10.5607
9.5,-10.5644,-10.5644
9.6,-10.5682,-10.5682
9.7,-10.5721,-10.5721
9.8,-10.576,-10.576
9.9,-10.5799,-10.5799
10.0,-10.5839,-10.5839
10.1,-10.588,-10.588
10.2,-10.5921,-10.5921
10.3,-10.5962,-10.5962
