Angle (deg),Magnitude (dB),Phase (deg)
0.0,-8.03466,-8.03466
0.1,-8.03465,-8.03465
0.2,-8.03461,-8.03461
0.3,-8.03455,-8.03455
0.4,-8.03447,-8.03447
0.5,-8.03436,-8.03436
0.6,-8.03423,-8.03423
0.7,-8.03407,-8.03407
0.8,-8.03389,-8.03389
0.9,-8.03369,-8.03369
1.0,-8.03346,-8.03346
1.1,-8.03321,-8.03321
1.2,-8.03294,-8.03294
1.3,-8.03264,-8.03264
1.4,-8.03231,-8.03231
1.5,-8.03197,-8.03197
1.6,-8.03159,-8.03159
1.7,-8.0312,-8.0312
1.8,-8.03078,-8.03078
1.9,-8.03034,-8.03034
2.0,-8.02987,-8.02987
2.1,-8.02938,-8.02938
2.2,-8.02887,-8.02887
2.3,-8.02833,-8.02833
2.4,-8.02777,-8.02777
2.5,-8.02718,-8.02718
2.6,-8.02657,-8.02657
2.7,-8.02594,-8.02594
2.8,-8.02528,-8.02528
2.9,-8.0246,-8.0246
3.0,-8.02389,-8.02389
3.1,-8.02316,-8.02316
3.2,-8.02241,-8.02241
3.3,-8.02164,-8.02164
3.4,-8.02083,-8.02083
3.5,-8.02001,-8.02001
3.6,-8.01916,-8.01916
3.7,-8.01829,-8.01829
3.8,-8.0174,-8.0174
3.9,-8.01648,-8.01648
4.0,-8.01554,-8.01554
4.1,-8.01457,-8.01457
4.2,-8.01358,-8.01358
4.3,-8.01257,-8.01257
4.4,-8.01154,-8.01154
4.5,-8.01048,-8.01048
4.6,-8.00939,-8.00939
4.7,-8.00829,-8.00829
4.8,-8.00716,-8.00716
4.9,-8.006,-8.006
5.0,-8.00483,-8.00483
5.1,-8.00362,-8.00362
5.2,-8.0024,-8.0024
5.3,-8.00115,-8.00115
5.4,-7.99988,-7.99988
5.5,-7.99859,-7.99859
5.6,-7.99727,-7.99727
5.7,-7.99593,-7.99593
5.8,-7.99457,-7.99457
5.9,-7.99318,-7.99318
6.0,-7.99177,-7.99177
6.1,-7.99034,-7.99034
6.2,-7.98888,-7.98888
6.3,-7.98741,-7.98741
6.4,-7.9859,-7.9859
6.5,-7.98438,-7.98438
6.6,-7.98283,-7.98283
6.7,-7.98126,-7.98126
6.8,-7.97967,-7.97967
6.9,-7.97805,-7.97805
7.0,-7.97641,-7.97641
7.1,-7.97475,-7.97475
7.2,-7.97306,-7.97306
7.3,-7.97135,-7.97135
7.4,-7.96962,-7.96962
7.5,-7.96787,-7.96787
7.6,-7.96609,-7.96609
7.7,-7.9643,-7.9643
7.8,-7.96248,-7.96248
7.9,-7.96063,-7.96063
8.0,-7.95877,-7.95877
8.1,-7.95688,-7.95688
8.2,-7.95497,-7.95497
8.3,-7.95303,-7.95303
8.4,-7.95108,-7.95108
8.5,-7.9491,-7.9491
8.6,-7.9471,-7.9471
8.7,-7.94508,-7.94508
8.8,-7.94303,-7.94303
8.9,-7.94097,-7.94097
9.0,-7.93888,-7.93888
9.1,-7.93677,-7.93677
9.2,-7.93464,-7.93464
9.3,-7.93248,-7.93248
