Angle (deg),Magnitude (dB),Phase (deg)
0.0,-5.13741,-5.13741
0.1,-5.1374,-5.1374
0.2,-5.13738,-5.13738
0.3,-5.13733,-5.13733
0.4,-5.13727,-5.13727
0.5,-5.1372,-5.1372
0.6,-5.13711,-5.13711
0.7,-5.137,-5.137
0.8,-5.13687,-5.13687
0.9,-5.13672,-5.13672
1.0,-5.13656,-5.13656
1.1,-5.13639,-5.13639
1.2,-5.13619,-5.13619
1.3,-5.13598,-5.13598
1.4,-5.13575,-5.13575
1.5,-5.13551,-5.13551
1.6,-5.13524,-5.13524
1.7,-5.13496,-5.13496
1.8,-5.13467,-5.13467
1.9,-5.13436,-5.13436
2.0,-5.13403,-5.13403
2.1,-5.13368,-5.13368
2.2,-5.13332,-5.13332
2.3,-5.13294,-5.13294
2.4,-5.13254,-5.13254
2.5,-5.13212,-5.13212
2.6,-5.13169,-5.13169
2.7,-5.13124,-5.13124
2.8,-5.13078,-5.13078
2.9,-5.1303,-5.1303
3.0,-5.1298,-5.1298
3.1,-5.12928,-5.12928
3.2,-5.12875,-5.12875
3.3,-5.1282,-5.1282
3.4,-5.12763,-5.12763
3.5,-5.12705,-5.12705
3.6,-5.12645,-5.12645
3.7,-5.12583,-5.12583
3.8,-5.1252,-5.1252
3.9,-5.12455,-5.12455
4.0,-5.12388,-5.12388
4.1,-5.1232,-5.1232
4.2,-5.1225,-5.1225
4.3,-5.12178,-5.12178
4.4,-5.12104,-5.12104
4.5,-5.12029,-5.12029
4.6,-5.11952,-5.11952
4.7,-5.11874,-5.11874
4.8,-5.11794,-5.11794
4.9,-5.11712,-5.11712
5.0,-5.11628,-5.11628
5.1,-5.11543,-5.11543
5.2,-5.11456,-5.11456
5.3,-5.11367,-5.11367
5.4,-5.11277,-5.11277
5.5,-5.11185,-5.11185
5.6,-5.11091,-5.11091
5.7,-5.10996,-5.10996
5.8,-5.10899,-5.10899
5.9,-5.108,-5.108
6.0,-5.107,-5.107
6.1,-5.10598,-5.10598
6.2,-5.10494,-5.10494
6.3,-5.10389,-5.10389
6.4,-5.10281,-5.10281
6.5,-5.10173,-5.10173
6.6,-5.10062,-5.10062
6.7,-5.0995,-5.0995
6.8,-5.09836,-5.09836
6.9,-5.09721,-5.09721
7.0,-5.09604,-5.09604
7.1,-5.09485,-5.09485
7.2,-5.09364,-5.09364
7.3,-5.09242,-5.09242
7.4,-5.09118,-5.09118
7.5,-5.08993,-5.08993
7.6,-5.08866,-5.08866
7.7,-5.08737,-5.08737
7.8,-5.08606,-5.08606
7.9,-5.08474,-5.08474
8.0,-5.08341,-5.08341
8.1,-5.08205,-5.08205
8.2,-5.08068,-5.08068
8.3,-5.07929,-5.07929
8.4,-5.07789,-5.07789
8.5,-5.07646,-5.07646
8.6,-5.07503,-5.07503
8.7,-5.07357,-5.07357
8.8,-5.0721,-5.0721
8.9,-5.07061,-5.07061
9.0,-5.06911,-5.06911
9.1,-5.06759,-5.06759
9.2,-5.06605,-5.06605
9.3,-5.06449,-5.06449
9.4,-5.06292,-5.06292
9.5,-5.06134,-5.06134
9.6,-5.05973,-5.05973
9.7,-5.05811,-5.05811
9.8,-5.05647,-5.05647
9.9,-5.05482,-5.05482
10.0,-5.05315,-5.05315
10.1,-5.05146,-5.05146
10.2,-5.04976,-5.04976
10.3,-5.04804,-5.04804
10.4,-5.04631,-5.04631
10.5,-5.04455,-5.04455
10.6,-5.04278,-5.04278
10.7,-5.041,-5.041
10.8,-5.0392,-5.0392
10.9,-5.03738,-5.03738
11.0,-5.03554,-5.03554
11.1,-5.03369,-5.03369
11.2,-5.03183,-5.03183
11.3,-5.02994,-5.02994
11.4,-5.02804,-5.02804
11.5,-5.02612,-5.02612
11.6,-5.02419,-5.02419
11.7,-5.02224,-5.02224
11.8,-5.02028,-5.02028
11.9,-5.01829,-5.01829
12.0,-5.01629,-5.01629
12.1,-5.01428,-5.01428
12.2,-5.01225,-5.01225
12.3,-5.0102,-5.0102
12.4,-5.00814,-5.00814
12.5,-5.00606,-5.00606
12.6,-5.00396,-5.00396
12.7,-5.00185,-5.00185
12.8,-4.99972,-4.99972
12.9,-4.99757,-4.99757
13.0,-4.99541,-4.99541
13.1,-4.99324,-4.99324
13.2,-4.99104,-4.99104
13.3,-4.98883,-4.98883
13.4,-4.98661,-4.98661
13.5,-4.98436,-4.98436
13.6,-4.9821,-4.9821
13.7,-4.97983,-4.97983
13.8,-4.97754,-4.97754
13.9,-4.97523,-4.97523
14.0,-4.97291,-4.97291
14.1,-4.97057,-4.97057
14.2,-4.96821,-4.96821
14.3,-4.96584,-4.96584
14.4,-4.96345,-4.96345
14.5,-4.96105,-4.96105
14.6,-4.95863,-4.95863
14.7,-4.95619,-4.95619
14.8,-4.95374,-4.95374
14.9,-4.95128,-4.95128
15.0,-4.94879,-4.94879
15.1,-4.94629,-4.94629
15.2,-4.94378,-4.94378
15.3,-4.94124,-4.94124
15.4,-4.9387,-4.9387
15.5,-4.93613,-4.93613
15.6,-4.93355,-4.93355
15.7,-4.93096,-4.93096
15.8,-4.92835,-4.92835
15.9,-4.92572,-4.92572
16.0,-4.92307,-4.92307
16.1,-4.92042,-4.92042
16.2,-4.91774,-4.91774
16.3,-4.91505,-4.91505
16.4,-4.91234,-4.91234
16.5,-4.90962,-4.90962
16.6,-4.90688,-4.90688
16.7,-4.90413,-4.90413
16.8,-4.90136,-4.90136
16.9,-4.89857,-4.89857
17.0,-4.89577,-4.89577
17.1,-4.89295,-4.89295
17.2,-4.89012,-4.89012
17.3,-4.88727,-4.88727
17.4,-4.88441,-4.88441
17.5,-4.88153,-4.88153
17.6,-4.87863,-4.87863
17.7,-4.87572,-4.87572
17.8,-4.87279,-4.87279
17.9,-4.86985,-4.86985
18.0,-4.86689,-4.86689
18.1,-4.86392,-4.86392
18.2,-4.86093,-4.86093
18.3,-4.85792,-4.85792
18.4,-4.8549,-4.8549
18.5,-4.85186,-4.85186
18.6,-4.84881,-4.84881
18.7,-4.84575,-4.84575
18.8,-4.84266,-4.84266
18.9,-4.83956,-4.83956
19.0,-4.83645,-4.83645
19.1,-4.83332,-4.83332
19.2,-4.83018,-4.83018
19.3,-4.82702,-4.82702
