Angle (deg),Magnitude (dB),Phase (deg)
0.0,-4.27202,-4.27202
0.1,-4.27201,-4.27201
0.2,-4.27199,-4.27199
0.3,-4.27194,-4.27194
0.4,-4.27189,-4.27189
0.5,-4.27181,-4.27181
0.6,-4.27172,-4.27172
0.7,-4.2716,-4.2716
0.8,-4.27148,-4.27148
0.9,-4.27133,-4.27133
1.0,-4.27117,-4.27117
1.1,-4.27099,-4.27099
1.2,-4.2708,-4.2708
1.3,-4.27059,-4.27059
1.4,-4.27036,-4.27036
1.5,-4.27011,-4.27011
1.6,-4.26985,-4.26985
1.7,-4.26957,-4.26957
1.8,-4.26927,-4.26927
1.9,-4.26895,-4.26895
2.0,-4.26862,-4.26862
2.1,-4.26827,-4.26827
2.2,-4.26791,-4.26791
2.3,-4.26753,-4.26753
2.4,-4.26713,-4.26713
2.5,-4.26671,-4.26671
2.6,-4.26628,-4.26628
2.7,-4.26583,-4.26583
2.8,-4.26536,-4.26536
2.9,-4.26487,-4.26487
3.0,-4.26437,-4.26437
3.1,-4.26385,-4.26385
3.2,-4.26332,-4.26332
3.3,-4.26277,-4.26277
3.4,-4.2622,-4.2622
3.5,-4.26161,-4.26161
3.6,-4.26101,-4.26101
3.7,-4.26039,-4.26039
3.8,-4.25975,-4.25975
3.9,-4.2591,-4.2591
4.0,-4.25843,-4.25843
4.1,-4.25774,-4.25774
4.2,-4.25703,-4.25703
4.3,-4.25631,-4.25631
4.4,-4.25557,-4.25557
4.5,-4.25482,-4.25482
4.6,-4.25404,-4.25404
4.7,-4.25325,-4.25325
4.8,-4.25245,-4.25245
4.9,-4.25162,-4.25162
5.0,-4.25078,-4.25078
5.1,-4.24992,-4.24992
5.2,-4.24905,-4.24905
5.3,-4.24816,-4.24816
5.4,-4.24725,-4.24725
5.5,-4.24632,-4.24632
5.6,-4.24538,-4.24538
5.7,-4.24442,-4.24442
5.8,-4.24345,-4.24345
5.9,-4.24245,-4.24245
6.0,-4.24144,-4.24144
6.1,-4.24041,-4.24041
6.2,-4.23937,-4.23937
6.3,-4.23831,-4.23831
6.4,-4.23723,-4.23723
6.5,-4.23614,-4.23614
6.6,-4.23502,-4.23502
6.7,-4.2339,-4.2339
6.8,-4.23275,-4.23275
6.9,-4.23159,-4.23159
7.0,-4.23041,-4.23041
7.1,-4.22921,-4.22921
7.2,-4.228,-4.228
7.3,-4.22677,-4.22677
7.4,-4.22552,-4.22552
7.5,-4.22426,-4.22426
7.6,-4.22297,-4.22297
7.7,-4.22168,-4.22168
7.8,-4.22036,-4.22036
7.9,-4.21903,-4.21903
