Angle (deg),Magnitude (dB),Phase (deg)
0.0,-5.45626,-5.45626
0.1,-5.45626,-5.45626
0.2,-5.45624,-5.45624
0.3,-5.45621,-5.45621
0.4,-5.45618,-5.45618
0.5,-5.45613,-5.45613
0.6,-5.45607,-5.45607
0.7,-5.456,-5.456
0.8,-5.45592,-5.45592
0.9,-5.45584,-5.45584
1.0,-5.45574,-5.45574
1.1,-5.45563,-5.45563
1.2,-5.45551,-5.45551
1.3,-5.45538,-5.45538
1.4,-5.45525,-5.45525
1.5,-5.4551,-5.4551
1.6,-5.45495,-5.45495
1.7,-5.45479,-5.45479
1.8,-5.45462,-5.45462
1.9,-5.45445,-5.45445
2.0,-5.45426,-5.45426
2.1,-5.45408,-5.45408
2.2,-5.45388,-5.45388
2.3,-5.45368,-5.45368
2.4,-5.45347,-5.45347
2.5,-5.45326,-5.45326
2.6,-5.45305,-5.45305
2.7,-5.45283,-5.45283
2.8,-5.45261,-5.45261
2.9,-5.45239,-5.45239
3.0,-5.45216,-5.45216
3.1,-5.45194,-5.45194
3.2,-5.45171,-5.45171
3.3,-5.45148,-5.45148
3.4,-5.45126,-5.45126
3.5,-5.45103,-5.45103
3.6,-5.45081,-5.45081
3.7,-5.45059,-5.45059
3.8,-5.45038,-5.45038
3.9,-5.45017,-5.45017
4.0,-5.44996,-5.44996
4.1,-5.44976,-5.44976
4.2,-5.44957,-5.44957
4.3,-5.44939,-5.44939
4.4,-5.44921,-5.44921
4.5,-5.44905,-5.44905
4.6,-5.44889,-5.44889
4.7,-5.44875,-5.44875
4.8,-5.44862,-5.44862
4.9,-5.4485,-5.4485
5.0,-5.4484,-5.4484
5.1,-5.44832,-5.44832
5.2,-5.44825,-5.44825
5.3,-5.4482,-5.4482
5.4,-5.44817,-5.44817
5.5,-5.44816,-5.44816
5.6,-5.44817,-5.44817
5.7,-5.4482,-5.4482
5.8,-5.44826,-5.44826
5.9,-5.44835,-5.44835
6.0,-5.44846,-5.44846
6.1,-5.4486,-5.4486
6.2,-5.44876,-5.44876
6.3,-5.44896,-5.44896
6.4,-5.44919,-5.44919
6.5,-5.44945,-5.44945
6.6,-5.44975,-5.44975
6.7,-5.45009,-5.45009
6.8,-5.45046,-5.45046
6.9,-5.45087,-5.45087
7.0,-5.45132,-5.45132
7.1,-5.45181,-5.45181
7.2,-5.45235,-5.45235
7.3,-5.45294,-5.45294
7.4,-5.45357,-5.45357
7.5,-5.45425,-5.45425
7.6,-5.45498,-5.45498
7.7,-5.45576,-5.45576
7.8,-5.45659,-5.45659
7.9,-5.45749,-5.45749
8.0,-5.45843,-5.45843
8.1,-5.45944,-5.45944
8.2,-5.46051,-5.46051
8.3,-5.46165,-5.46165
8.4,-5.46284,-5.46284
8.5,-5.46411,-5.46411
8.6,-5.46544,-5.46544
8.7,-5.46685,-5.46685
8.8,-5.46833,-5.46833
8.9,-5.46988,-5.46988
9.0,-5.47151,-5.47151
9.1,-5.47322,-5.47322
9.2,-5.47501,-5.47501
9.3,-5.47689,-5.47689
9.4,-5.47885,-5.47885
9.5,-5.4809,-5.4809
9.6,-5.48304,-5.48304
9.7,-5.48527,-5.48527
9.8,-5.4876,-5.4876
9.9,-5.49003,-5.49003
10.0,-5.49256,-5.49256
10.1,-5.49519,-5.49519
10.2,-5.49792,-5.49792
10.3,-5.50077,-5.50077
10.4,-5.50372,-5.50372
10.5,-5.50679,-5.50679
10.6,-5.50998,-5.50998
10.7,-5.51328,-5.51328
10.8,-5.51671,-5.51671
10.9,-5.52026,-5.52026
11.0,-5.52393,-5.52393
11.1,-5.52774,-5.52774
11.2,-5.53169,-5.53169
11.3,-5.53577,-5.53577
11.4,-5.53999,-5.53999
11.5,-5.54435,-5.54435
11.6,-5.54886,-5.54886
11.7,-5.55351,-5.55351
11.8,-5.55833,-5.55833
11.9,-5.56329,-5.56329
12.0,-5.56842,-5.56842
12.1,-5.57371,-5.57371
12.2,-5.57917,-5.57917
12.3,-5.5848,-5.5848
12.4,-5.59061,-5.59061
12.5,-5.59659,-5.59659
12.6,-5.60275,-5.60275
12.7,-5.6091,-5.6091
12.8,-5.61564,-5.61564
12.9,-5.62238,-5.62238
13.0,-5.62931,-5.62931
13.1,-5.63645,-5.63645
13.2,-5.64379,-5.64379
13.3,-5.65135,-5.65135
13.4,-5.65912,-5.65912
13.5,-5.66711,-5.66711
13.6,-5.67533,-5.67533
13.7,-5.68377,-5.68377
13.8,-5.69246,-5.69246
13.9,-5.70138,-5.70138
14.0,-5.71055,-5.71055
14.1,-5.71997,-5.71997
14.2,-5.72964,-5.72964
14.3,-5.73957,-5.73957
14.4,-5.74978,-5.74978
14.5,-5.76025,-5.76025
14.6,-5.771,-5.771
14.7,-5.78204,-5.78204
14.8,-5.79337,-5.79337
14.9,-5.80499,-5.80499
15.0,-5.81691,-5.81691
15.1,-5.82915,-5.82915
15.2,-5.8417,-5.8417
15.3,-5.85457,-5.85457
15.4,-5.86777,-5.86777
15.5,-5.88131,-5.88131
15.6,-5.89519,-5.89519
15.7,-5.90942,-5.90942
15.8,-5.92402,-5.92402
15.9,-5.93897,-5.93897
16.0,-5.95431,-5.95431
16.1,-5.97002,-5.97002
16.2,-5.98613,-5.98613
16.3,-6.00263,-6.00263
16.4,-6.01954,-6.01954
16.5,-6.03687,-6.03687
16.6,-6.05463,-6.05463
16.7,-6.07282,-6.07282
16.8,-6.09146,-6.09146
16.9,-6.11055,-6.11055
17.0,-6.13011,-6.13011
17.1,-6.15014,-6.15014
17.2,-6.17066,-6.17066
17.3,-6.19168,-6.19168
17.4,-6.21321,-6.21321
17.5,-6.23526,-6.23526
17.6,-6.25784,-6.25784
17.7,-6.28097,-6.28097
17.8,-6.30465,-6.30465
17.9,-6.32891,-6.32891
18.0,-6.35375,-6.35375
18.1,-6.37919,-6.37919
18.2,-6.40523,-6.40523
18.3,-6.43191,-6.43191
18.4,-6.45923,-6.45923
18.5,-6.4872,-6.4872
18.6,-6.51585,-6.51585
18.7,-6.54518,-6.54518
18.8,-6.57522,-6.57522
18.9,-6.60599,-6.60599
19.0,-6.63749,-6.63749
19.1,-6.66976,-6.66976
19.2,-6.7028,-6.7028
19.3,-6.73664,-6.73664
19.4,-6.7713,-6.7713
19.5,-6.8068,-6.8068
19.6,-6.84316,-6.84316
19.7,-6.8804,-6.8804
19.8,-6.91855,-6.91855
19.9,-6.95763,-6.95763
20.0,-6.99766,-6.99766
20.1,-7.03868,-7.03868
20.2,-7.08069,-7.08069
20.3,-7.12375,-7.12375
20.4,-7.16786,-7.16786
20.5,-7.21306,-7.21306
20.6,-7.25938,-7.25938
20.7,-7.30686,-7.30686
20.8,-7.35552,-7.35552
20.9,-7.40539,-7.40539
21.0,-7.45652,-7.45652
21.1,-7.50893,-7.50893
21.2,-7.56267,-7.56267
21.3,-7.61778,-7.61778
21.4,-7.67428,-7.67428
21.5,-7.73224,-7.73224
21.6,-7.79168,-7.79168
21.7,-7.85266,-7.85266
21.8,-7.91522,-7.91522
21.9,-7.97941,-7.97941
22.0,-8.04528,-8.04528
22.1,-8.11289,-8.11289
22.2,-8.18229,-8.18229
22.3,-8.25353,-8.25353
22.4,-8.32668,-8.32668
22.5,-8.4018,-8.4018
22.6,-8.47896,-8.47896
22.7,-8.55822,-8.55822
22.8,-8.63966,-8.63966
22.9,-8.72335,-8.72335
23.0,-8.80937,-8.80937
23.1,-8.89779,-8.89779
23.2,-8.98872,-8.98872
23.3,-9.08223,-9.08223
23.4,-9.17843,-9.17843
23.5,-9.27741,-9.27741
23.6,-9.37927,-9.37927
23.7,-9.48413,-9.48413
23.8,-9.59211,-9.59211
23.9,-9.70332,-9.70332
24.0,-9.81789,-9.81789
24.1,-9.93597,-9.93597
24.2,-10.0577,-10.0577
24.3,-10.1832,-10.1832
24.4,-10.3127,-10.3127
24.5,-10.4463,-10.4463
24.6,-10.5842,-10.5842
24.7,-10.7266,-10.7266
24.8,-10.8738,-10.8738
24.9,-11.0258,-11.0258
25.0,-11.183,-11.183
25.1,-11.3457,-11.3457
25.2,-11.514,-11.514
25.3,-11.6883,-11.6883
25.4,-11.8688,-11.8688
25.5,-12.056,-12.056
25.6,-12.2501,-12.2501
25.7,-12.4516,-12.4516
25.8,-12.6609,-12.6609
25.9,-12.8783,-12.8783
26.0,-13.1045,-13.1045
26.1,-13.3399,-13.3399
26.2,-13.5851,-13.5851
26.3,-13.8408,-13.8408
26.4,-14.1076,-14.1076
26.5,-14.3863,-14.3863
26.6,-14.6777,-14.6777
