Angle (deg),Magnitude (dB),Phase (deg)
0.0,-8.33466,-8.33466
0.1,-8.33465,-8.33465
0.2,-8.33461,-8.33461
0.3,-8.33453,-8.33453
0.4,-8.33444,-8.33444
0.5,-8.33431,-8.33431
0.6,-8.33415,-8.33415
0.7,-8.33397,-8.33397
0.8,-8.33376,-8.33376
0.9,-8.33352,-8.33352
1.0,-8.33325,-8.33325
1.1,-8.33295,-8.33295
1.2,-8.33263,-8.33263
1.3,-8.33228,-8.33228
1.4,-8.3319,-8.3319
1.5,-8.33149,-8.33149
1.6,-8.33105,-8.33105
1.7,-8.33058,-8.33058
1.8,-8.33009,-8.33009
1.9,-8.32957,-8.32957
2.0,-8.32902,-8.32902
2.1,-8.32844,-8.32844
2.2,-8.32784,-8.32784
2.3,-8.3272,-8.3272
2.4,-8.32654,-8.32654
2.5,-8.32585,-8.32585
2.6,-8.32513,-8.32513
2.7,-8.32438,-8.32438
2.8,-8.32361,-8.32361
2.9,-8.3228,-8.3228
3.0,-8.32197,-8.32197
3.1,-8.32111,-8.32111
3.2,-8.32022,-8.32022
3.3,-8.31931,-8.31931
3.4,-8.31836,-8.31836
3.5,-8.31739,-8.31739
3.6,-8.31639,-8.31639
3.7,-8.31536,-8.31536
3.8,-8.3143,-8.3143
3.9,-8.31322,-8.31322
4.0,-8.31211,-8.31211
4.1,-8.31097,-8.31097
4.2,-8.3098,-8.3098
4.3,-8.3086,-8.3086
4.4,-8.30737,-8.30737
4.5,-8.30612,-8.30612
4.6,-8.30484,-8.30484
4.7,-8.30353,-8.30353
4.8,-8.30219,-8.30219
4.9,-8.30083,-8.30083
5.0,-8.29943,-8.29943
5.1,-8.29801,-8.29801
5.2,-8.29656,-8.29656
5.3,-8.29509,-8.29509
5.4,-8.29358,-8.29358
5.5,-8.29205,-8.29205
5.6,-8.29049,-8.29049
5.7,-8.2889,-8.2889
5.8,-8.28728,-8.28728
5.9,-8.28563,-8.28563
6.0,-8.28396,-8.28396
6.1,-8.28226,-8.28226
6.2,-8.28053,-8.28053
6.3,-8.27878,-8.27878
6.4,-8.27699,-8.27699
6.5,-8.27518,-8.27518
6.6,-8.27334,-8.27334
6.7,-8.27147,-8.27147
6.8,-8.26957,-8.26957
6.9,-8.26765,-8.26765
7.0,-8.2657,-8.2657
7.1,-8.26372,-8.26372
7.2,-8.26171,-8.26171
7.3,-8.25967,-8.25967
7.4,-8.25761,-8.25761
7.5,-8.25552,-8.25552
7.6,-8.2534,-8.2534
7.7,-8.25125,-8.25125
7.8,-8.24908,-8.24908
7.9,-8.24688,-8.24688
8.0,-8.24465,-8.24465
8.1,-8.24239,-8.24239
8.2,-8.24011,-8.24011
8.3,-8.23779,-8.23779
8.4,-8.23545,-8.23545
8.5,-8.23308,-8.23308
8.6,-8.23069,-8.23069
8.7,-8.22826,-8.22826
8.8,-8.22581,-8.22581
8.9,-8.22334,-8.22334
9.0,-8.22083,-8.22083
9.1,-8.2183,-8.2183
9.2,-8.21573,-8.21573
9.3,-8.21315,-8.21315
9.4,-8.21053,-8.21053
9.5,-8.20789,-8.20789
9.6,-8.20521,-8.20521
9.7,-8.20252,-8.20252
9.8,-8.19979,-8.19979
9.9,-8.19704,-8.19704
10.0,-8.19425,-8.19425
10.1,-8.19145,-8.19145
10.2,-8.18861,-8.18861
10.3,-8.18575,-8.18575
10.4,-8.18286,-8.18286
10.5,-8.17994,-8.17994
10.6,-8.17699,-8.17699
10.7,-8.17402,-8.17402
10.8,-8.17102,-8.17102
10.9,-8.16799,-8.16799
11.0,-8.16494,-8.16494
11.1,-8.16185,-8.16185
11.2,-8.15874,-8.15874
11.3,-8.15561,-8.15561
11.4,-8.15244,-8.15244
11.5,-8.14925,-8.14925
11.6,-8.14604,-8.14604
11.7,-8.14279,-8.14279
11.8,-8.13952,-8.13952
11.9,-8.13622,-8.13622
12.0,-8.13289,-8.13289
12.1,-8.12954,-8.12954
12.2,-8.12616,-8.12616
12.3,-8.12275,-8.12275
12.4,-8.11932,-8.11932
12.5,-8.11585,-8.11585
12.6,-8.11236,-8.11236
12.7,-8.10885,-8.10885
12.8,-8.10531,-8.10531
12.9,-8.10174,-8.10174
13.0,-8.09814,-8.09814
13.1,-8.09452,-8.09452
13.2,-8.09087,-8.09087
13.3,-8.08719,-8.08719
13.4,-8.08349,-8.08349
13.5,-8.07975,-8.07975
13.6,-8.076,-8.076
13.7,-8.07221,-8.07221
13.8,-8.0684,-8.0684
13.9,-8.06456,-8.06456
14.0,-8.0607,-8.0607
14.1,-8.05681,-8.05681
14.2,-8.05289,-8.05289
14.3,-8.04895,-8.04895
14.4,-8.04497,-8.04497
14.5,-8.04098,-8.04098
14.6,-8.03695,-8.03695
14.7,-8.0329,-8.0329
14.8,-8.02882,-8.02882
14.9,-8.02472,-8.02472
15.0,-8.02059,-8.02059
15.1,-8.01643,-8.01643
15.2,-8.01225,-8.01225
15.3,-8.00804,-8.00804
15.4,-8.0038,-8.0038
15.5,-7.99954,-7.99954
15.6,-7.99525,-7.99525
15.7,-7.99094,-7.99094
15.8,-7.98659,-7.98659
15.9,-7.98223,-7.98223
16.0,-7.97783,-7.97783
16.1,-7.97341,-7.97341
16.2,-7.96896,-7.96896
16.3,-7.96449,-7.96449
16.4,-7.95999,-7.95999
16.5,-7.95547,-7.95547
16.6,-7.95092,-7.95092
16.7,-7.94634,-7.94634
16.8,-7.94173,-7.94173
16.9,-7.93711,-7.93711
17.0,-7.93245,-7.93245
17.1,-7.92777,-7.92777
17.2,-7.92306,-7.92306
17.3,-7.91833,-7.91833
17.4,-7.91357,-7.91357
17.5,-7.90878,-7.90878
17.6,-7.90397,-7.90397
17.7,-7.89913,-7.89913
17.8,-7.89427,-7.89427
17.9,-7.88938,-7.88938
18.0,-7.88447,-7.88447
18.1,-7.87953,-7.87953
18.2,-7.87456,-7.87456
18.3,-7.86957,-7.86957
18.4,-7.86455,-7.86455
18.5,-7.85951,-7.85951
18.6,-7.85444,-7.85444
18.7,-7.84935,-7.84935
18.8,-7.84423,-7.84423
18.9,-7.83908,-7.83908
19.0,-7.83391,-7.83391
19.1,-7.82872,-7.82872
19.2,-7.8235,-7.8235
19.3,-7.81825,-7.81825
19.4,-7.81298,-7.81298
19.5,-7.80768,-7.80768
19.6,-7.80235,-7.80235
19.7,-7.79701,-7.79701
19.8,-7.79163,-7.79163
19.9,-7.78623,-7.78623
20.0,-7.78081,-7.78081
20.1,-7.77536,-7.77536
20.2,-7.76989,-7.76989
20.3,-7.76439,-7.76439
20.4,-7.75886,-7.75886
20.5,-7.75331,-7.75331
20.6,-7.74774,-7.74774
20.7,-7.74214,-7.74214
20.8,-7.73651,-7.73651
20.9,-7.73086,-7.73086
21.0,-7.72519,-7.72519
21.1,-7.71949,-7.71949
21.2,-7.71376,-7.71376
21.3,-7.70801,-7.70801
21.4,-7.70224,-7.70224
21.5,-7.69644,-7.69644
21.6,-7.69061,-7.69061
21.7,-7.68477,-7.68477
21.8,-7.67889,-7.67889
21.9,-7.67299,-7.67299
22.0,-7.66707,-7.66707
22.1,-7.66112,-7.66112
22.2,-7.65515,-7.65515
22.3,-7.64915,-7.64915
22.4,-7.64313,-7.64313
22.5,-7.63709,-7.63709
22.6,-7.63102,-7.63102
22.7,-7.62492,-7.62492
22.8,-7.6188,-7.6188
22.9,-7.61266,-7.61266
23.0,-7.60649,-7.60649
23.1,-7.6003,-7.6003
23.2,-7.59409,-7.59409
23.3,-7.58785,-7.58785
23.4,-7.58158,-7.58158
23.5,-7.57529,-7.57529
23.6,-7.56898,-7.56898
23.7,-7.56264,-7.56264
23.8,-7.55628,-7.55628
23.9,-7.5499,-7.5499
24.0,-7.54349,-7.54349
24.1,-7.53705,-7.53705
24.2,-7.5306,-7.5306
24.3,-7.52411,-7.52411
24.4,-7.51761,-7.51761
24.5,-7.51108,-7.51108
24.6,-7.50453,-7.50453
24.7,-7.49795,-7.49795
24.8,-7.49135,-7.49135
24.9,-7.48473,-7.48473
25.0,-7.47808,-7.47808
25.1,-7.47141,-7.47141
25.2,-7.46471,-7.46471
25.3,-7.45799,-7.45799
25.4,-7.45125,-7.45125
25.5,-7.44449,-7.44449
25.6,-7.4377,-7.4377
25.7,-7.43088,-7.43088
25.8,-7.42405,-7.42405
25.9,-7.41719,-7.41719
26.0,-7.4103,-7.4103
26.1,-7.4034,-7.4034
26.2,-7.39647,-7.39647
26.3,-7.38952,-7.38952
26.4,-7.38254,-7.38254
26.5,-7.37554,-7.37554
26.6,-7.36852,-7.36852
26.7,-7.36147,-7.36147
26.8,-7.3544,-7.3544
26.9,-7.34731,-7.34731
27.0,-7.3402,-7.3402
27.1,-7.33306,-7.33306
27.2,-7.3259,-7.3259
27.3,-7.31871,-7.31871
27.4,-7.31151,-7.31151
27.5,-7.30428,-7.30428
27.6,-7.29703,-7.29703
27.7,-7.28975,-7.28975
27.8,-7.28245,-7.28245
27.9,-7.27513,-7.27513
28.0,-7.26779,-7.26779
28.1,-7.26042,-7.26042
28.2,-7.25303,-7.25303
28.3,-7.24562,-7.24562
28.4,-7.23819,-7.23819
28.5,-7.23073,-7.23073
28.6,-7.22325,-7.22325
28.7,-7.21575,-7.21575
28.8,-7.20823,-7.20823
28.9,-7.20068,-7.20068
29.0,-7.19312,-7.19312
29.1,-7.18553,-7.18553
29.2,-7.17791,-7.17791
29.3,-7.17028,-7.17028
29.4,-7.16262,-7.16262
