Angle (deg),Magnitude (dB),Phase (deg)
0.0,-1.59376,-1.59376
0.1,-1.59376,-1.59376
0.2,-1.59375,-1.59375
0.3,-1.59374,-1.59374
0.4,-1.59372,-1.59372
0.5,-1.5937,-1.5937
0.6,-1.59367,-1.59367
0.7,-1.59364,-1.59364
0.8,-1.5936,-1.5936
0.9,-1.59356,-1.59356
1.0,-1.59352,-1.59352
1.1,-1.59346,-1.59346
1.2,-1.59341,-1.59341
1.3,-1.59335,-1.59335
1.4,-1.59328,-1.59328
1.5,-1.59321,-1.59321
1.6,-1.59314,-1.59314
1.7,-1.59306,-1.59306
1.8,-1.59297,-1.59297
1.9,-1.59288,-1.59288
2.0,-1.59279,-1.59279
2.1,-1.59269,-1.59269
2.2,-1.59259,-1.59259
2.3,-1.59248,-1.59248
2.4,-1.59236,-1.59236
2.5,-1.59224,-1.59224
2.6,-1.59212,-1.59212
2.7,-1.59199,-1.59199
2.8,-1.59186,-1.59186
2.9,-1.59172,-1.59172
3.0,-1.59158,-1.59158
3.1,-1.59143,-1.59143
3.2,-1.59128,-1.59128
3.3,-1.59112,-1.59112
3.4,-1.59096,-1.59096
3.5,-1.59079,-1.59079
3.6,-1.59062,-1.59062
3.7,-1.59044,-1.59044
3.8,-1.59026,-1.59026
3.9,-1.59007,-1.59007
4.0,-1.58988,-1.58988
4.1,-1.58969,-1.58969
4.2,-1.58948,-1.58948
4.3,-1.58928,-1.58928
4.4,-1.58907,-1.58907
4.5,-1.58885,-1.58885
4.6,-1.58863,-1.58863
4.7,-1.58841,-1.58841
4.8,-1.58818,-1.58818
4.9,-1.58794,-1.58794
5.0,-1.5877,-1.5877
5.1,-1.58746,-1.58746
5.2,-1.58721,-1.58721
5.3,-1.58696,-1.58696
5.4,-1.5867,-1.5867
5.5,-1.58643,-1.58643
5.6,-1.58616,-1.58616
5.7,-1.58589,-1.58589
5.8,-1.58561,-1.58561
5.9,-1.58533,-1.58533
6.0,-1.58504,-1.58504
6.1,-1.58475,-1.58475
6.2,-1.58445,-1.58445
6.3,-1.58415,-1.58415
6.4,-1.58384,-1.58384
6.5,-1.58353,-1.58353
6.6,-1.58321,-1.58321
6.7,-1.58289,-1.58289
6.8,-1.58257,-1.58257
