Angle (deg),Magnitude (dB),Phase (deg)
0.0,-10.3929,-10.3929
0.1,-10.3928,-10.3928
0.2,-10.3928,-10.3928
0.3,-10.3927,-10.3927
0.4,-10.3926,-10.3926
0.5,-10.3924,-10.3924
0.6,-10.3922,-10.3922
0.7,-10.392,-10.392
0.8,-10.3917,-10.3917
0.9,-10.3914,-10.3914
1.0,-10.3911,-10.3911
1.1,-10.3907,-10.3907
1.2,-10.3903,-10.3903
1.3,-10.3899,-10.3899
1.4,-10.3894,-10.3894
1.5,-10.3889,-10.3889
1.6,-10.3884,-10.3884
1.7,-10.3878,-10.3878
1.8,-10.3872,-10.3872
1.9,-10.3865,-10.3865
2.0,-10.3858,-10.3858
2.1,-10.3851,-10.3851
2.2,-10.3843,-10.3843
2.3,-10.3836,-10.3836
2.4,-10.3827,-10.3827
2.5,-10.3819,-10.3819
2.6,-10.381,-10.381
2.7,-10.38,-10.38
2.8,-10.3791,-10.3791
2.9,-10.3781,-10.3781
3.0,-10.377,-10.377
3.1,-10.376,-10.376
3.2,-10.3749,-10.3749
3.3,-10.3737,-10.3737
3.4,-10.3726,-10.3726
3.5,-10.3714,-10.3714
3.6,-10.3701,-10.3701
3.7,-10.3688,-10.3688
3.8,-10.3675,-10.3675
3.9,-10.3662,-10.3662
4.0,-10.3648,-10.3648
4.1,-10.3634,-10.3634
4.2,-10.3619,-10.3619
4.3,-10.3605,-10.3605
4.4,-10.3589,-10.3589
4.5,-10.3574,-10.3574
4.6,-10.3558,-10.3558
4.7,-10.3542,-10.3542
4.8,-10.3525,-10.3525
4.9,-10.3508,-10.3508
5.0,-10.3491,-10.3491
5.1,-10.3474,-10.3474
5.2,-10.3456,-10.3456
5.3,-10.3438,-10.3438
5.4,-10.3419,-10.3419
5.5,-10.34,-10.34
5.6,-10.3381,-10.3381
5.7,-10.3361,-10.3361
5.8,-10.3342,-10.3342
5.9,-10.3321,-10.3321
6.0,-10.3301,-10.3301
6.1,-10.328,-10.328
6.2,-10.3259,-10.3259
6.3,-10.3237,-10.3237
6.4,-10.3215,-10.3215
6.5,-10.3193,-10.3193
6.6,-10.3171,-10.3171
6.7,-10.3148,-10.3148
6.8,-10.3125,-10.3125
6.9,-10.3101,-10.3101
7.0,-10.3077,-10.3077
7.1,-10.3053,-10.3053
7.2,-10.3029,-10.3029
7.3,-10.3004,-10.3004
7.4,-10.2979,-10.2979
7.5,-10.2953,-10.2953
7.6,-10.2928,-10.2928
7.7,-10.2902,-10.2902
7.8,-10.2875,-10.2875
7.9,-10.2849,-10.2849
8.0,-10.2822,-10.2822
8.1,-10.2794,-10.2794
8.2,-10.2767,-10.2767
8.3,-10.2739,-10.2739
8.4,-10.271,-10.271
8.5,-10.2682,-10.2682
8.6,-10.2653,-10.2653
8.7,-10.2624,-10.2624
8.8,-10.2594,-10.2594
8.9,-10.2565,-10.2565
9.0,-10.2535,-10.2535
9.1,-10.2504,-10.2504
9.2,-10.2473,-10.2473
9.3,-10.2442,-10.2442
9.4,-10.2411,-10.2411
9.5,-10.2379,-10.2379
9.6,-10.2348,-10.2348
9.7,-10.2315,-10.2315
9.8,-10.2283,-10.2283
9.9,-10.225,-10.225
10.0,-10.2217,-10.2217
10.1,-10.2184,-10.2184
10.2,-10.215,-10.215
10.3,-10.2116,-10.2116
10.4,-10.2082,-10.2082
10.5,-10.2047,-10.2047
10.6,-10.2012,-10.2012
10.7,-10.1977,-10.1977
10.8,-10.1942,-10.1942
10.9,-10.1906,-10.1906
11.0,-10.187,-10.187
11.1,-10.1834,-10.1834
11.2,-10.1797,-10.1797
11.3,-10.1761,-10.1761
11.4,-10.1724,-10.1724
11.5,-10.1686,-10.1686
11.6,-10.1649,-10.1649
11.7,-10.1611,-10.1611
11.8,-10.1572,-10.1572
11.9,-10.1534,-10.1534
12.0,-10.1495,-10.1495
12.1,-10.1456,-10.1456
12.2,-10.1417,-10.1417
12.3,-10.1378,-10.1378
12.4,-10.1338,-10.1338
12.5,-10.1298,-10.1298
12.6,-10.1257,-10.1257
12.7,-10.1217,-10.1217
12.8,-10.1176,-10.1176
12.9,-10.1135,-10.1135
13.0,-10.1094,-10.1094
13.1,-10.1052,-10.1052
13.2,-10.101,-10.101
13.3,-10.0968,-10.0968
13.4,-10.0926,-10.0926
13.5,-10.0883,-10.0883
13.6,-10.084,-10.084
13.7,-10.0797,-10.0797
13.8,-10.0754,-10.0754
13.9,-10.071,-10.071
14.0,-10.0666,-10.0666
14.1,-10.0622,-10.0622
14.2,-10.0578,-10.0578
14.3,-10.0533,-10.0533
14.4,-10.0489,-10.0489
14.5,-10.0444,-10.0444
14.6,-10.0398,-10.0398
14.7,-10.0353,-10.0353
14.8,-10.0307,-10.0307
14.9,-10.0261,-10.0261
15.0,-10.0215,-10.0215
15.1,-10.0169,-10.0169
15.2,-10.0122,-10.0122
15.3,-10.0075,-10.0075
15.4,-10.0028,-10.0028
15.5,-9.99809,-9.99809
15.6,-9.99334,-9.99334
15.7,-9.98857,-9.98857
15.8,-9.98378,-9.98378
15.9,-9.97896,-9.97896
16.0,-9.97413,-9.97413
16.1,-9.96927,-9.96927
16.2,-9.96439,-9.96439
16.3,-9.9595,-9.9595
16.4,-9.95458,-9.95458
16.5,-9.94964,-9.94964
16.6,-9.94468,-9.94468
16.7,-9.9397,-9.9397
16.8,-9.93471,-9.93471
16.9,-9.92969,-9.92969
17.0,-9.92465,-9.92465
17.1,-9.91959,-9.91959
17.2,-9.91452,-9.91452
17.3,-9.90942,-9.90942
17.4,-9.90431,-9.90431
17.5,-9.89918,-9.89918
17.6,-9.89403,-9.89403
17.7,-9.88886,-9.88886
17.8,-9.88367,-9.88367
17.9,-9.87847,-9.87847
18.0,-9.87324,-9.87324
18.1,-9.868,-9.868
18.2,-9.86275,-9.86275
