Angle (deg),Magnitude (dB),Phase (deg)
0.0,-5.13741,-38.7948
0.1,-5.13742,-38.7949
0.2,-5.13744,-38.7951
0.3,-5.13749,-38.7953
0.4,-5.13755,-38.7957
0.5,-5.13762,-38.7962
0.6,-5.13771,-38.7968
0.7,-5.13782,-38.7976
0.8,-5.13795,-38.7984
0.9,-5.1381,-38.7993
1.0,-5.13826,-38.8004
1.1,-5.13843,-38.8016
1.2,-5.13863,-38.8029
1.3,-5.13884,-38.8043
1.4,-5.13907,-38.8058
1.5,-5.13931,-38.8074
1.6,-5.13958,-38.8091
1.7,-5.13986,-38.811
1.8,-5.14015,-38.8129
1.9,-5.14046,-38.815
2.0,-5.1408,-38.8172
2.1,-5.14114,-38.8195
2.2,-5.14151,-38.8219
2.3,-5.14189,-38.8244
2.4,-5.14229,-38.827
2.5,-5.1427,-38.8297
2.6,-5.14313,-38.8326
2.7,-5.14358,-38.8356
2.8,-5.14405,-38.8386
2.9,-5.14453,-38.8418
3.0,-5.14503,-38.8451
3.1,-5.14555,-38.8485
3.2,-5.14608,-38.8521
3.3,-5.14663,-38.8557
3.4,-5.1472,-38.8595
3.5,-5.14778,-38.8633
3.6,-5.14839,-38.8673
3.7,-5.149,-38.8714
3.8,-5.14964,-38.8756
3.9,-5.15029,-38.8799
4.0,-5.15096,-38.8844
4.1,-5.15165,-38.8889
4.2,-5.15236,-38.8936
4.3,-5.15308,-38.8983
4.4,-5.15381,-38.9032
4.5,-5.15457,-38.9082
4.6,-5.15534,-38.9133
4.7,-5.15613,-38.9186
4.8,-5.15694,-38.9239
4.9,-5.15776,-38.9294
5.0,-5.1586,-38.935
5.1,-5.15946,-38.9406
5.2,-5.16034,-38.9464
5.3,-5.16123,-38.9524
5.4,-5.16214,-38.9584
5.5,-5.16306,-38.9645
5.6,-5.16401,-38.9708
5.7,-5.16497,-38.9772
5.8,-5.16595,-38.9837
5.9,-5.16694,-38.9903
6.0,-5.16796,-38.997
6.1,-5.16899,-39.0038
6.2,-5.17003,-39.0108
6.3,-5.1711,-39.0179
6.4,-5.17218,-39.025
6.5,-5.17328,-39.0323
6.6,-5.17439,-39.0398
6.7,-5.17553,-39.0473
6.8,-5.17668,-39.055
6.9,-5.17784,-39.0627
7.0,-5.17903,-39.0706
7.1,-5.18023,-39.0786
7.2,-5.18145,-39.0868
7.3,-5.18269,-39.095
7.4,-5.18394,-39.1034
7.5,-5.18521,-39.1118
7.6,-5.1865,-39.1204
7.7,-5.18781,-39.1291
7.8,-5.18914,-39.138
7.9,-5.19048,-39.1469
8.0,-5.19184,-39.156
8.1,-5.19321,-39.1652
8.2,-5.19461,-39.1745
8.3,-5.19602,-39.1839
8.4,-5.19745,-39.1935
8.5,-5.19889,-39.2031
8.6,-5.20036,-39.2129
8.7,-5.20184,-39.2228
8.8,-5.20334,-39.2329
8.9,-5.20485,-39.243
9.0,-5.20639,-39.2533
9.1,-5.20794,-39.2637
9.2,-5.20951,-39.2742
9.3,-5.21109,-39.2848
9.4,-5.2127,-39.2956
9.5,-5.21432,-39.3065
9.6,-5.21596,-39.3175
9.7,-5.21762,-39.3286
9.8,-5.21929,-39.3399
9.9,-5.22098,-39.3512
10.0,-5.22269,-39.3627
10.1,-5.22442,-39.3743
10.2,-5.22617,-39.3861
10.3,-5.22793,-39.3979
10.4,-5.22971,-39.4099
10.5,-5.23151,-39.4221
10.6,-5.23333,-39.4343
10.7,-5.23517,-39.4467
10.8,-5.23702,-39.4592
10.9,-5.23889,-39.4718
11.0,-5.24078,-39.4845
11.1,-5.24268,-39.4974
11.2,-5.24461,-39.5104
11.3,-5.24655,-39.5235
11.4,-5.24851,-39.5368
11.5,-5.25049,-39.5501
11.6,-5.25249,-39.5636
11.7,-5.2545,-39.5773
11.8,-5.25653,-39.591
11.9,-5.25858,-39.6049
12.0,-5.26065,-39.6189
12.1,-5.26274,-39.6331
12.2,-5.26484,-39.6474
12.3,-5.26697,-39.6618
12.4,-5.26911,-39.6763
12.5,-5.27127,-39.691
12.6,-5.27345,-39.7058
12.7,-5.27564,-39.7207
12.8,-5.27786,-39.7358
12.9,-5.28009,-39.751
13.0,-5.28234,-39.7663
13.1,-5.28461,-39.7818
13.2,-5.28689,-39.7974
13.3,-5.2892,-39.8131
13.4,-5.29152,-39.8289
13.5,-5.29387,-39.8449
13.6,-5.29623,-39.8611
13.7,-5.29861,-39.8773
13.8,-5.301,-39.8937
13.9,-5.30342,-39.9102
14.0,-5.30585,-39.9269
14.1,-5.30831,-39.9437
14.2,-5.31078,-39.9607
14.3,-5.31327,-39.9777
14.4,-5.31578,-39.9949
14.5,-5.31831,-40.0123
14.6,-5.32085,-40.0298
14.7,-5.32342,-40.0474
14.8,-5.326,-40.0652
14.9,-5.3286,-40.0831
15.0,-5.33122,-40.1011
15.1,-5.33386,-40.1193
15.2,-5.33652,-40.1376
15.3,-5.3392,-40.1561
15.4,-5.3419,-40.1747
15.5,-5.34461,-40.1935
15.6,-5.34735,-40.2124
15.7,-5.3501,-40.2314
15.8,-5.35287,-40.2506
15.9,-5.35566,-40.2699
16.0,-5.35847,-40.2893
16.1,-5.3613,-40.309
16.2,-5.36415,-40.3287
16.3,-5.36702,-40.3486
16.4,-5.3699,-40.3686
16.5,-5.37281,-40.3888
16.6,-5.37573,-40.4092
16.7,-5.37868,-40.4297
16.8,-5.38164,-40.4503
16.9,-5.38462,-40.4711
17.0,-5.38762,-40.492
17.1,-5.39064,-40.5131
17.2,-5.39368,-40.5343
17.3,-5.39674,-40.5557
17.4,-5.39982,-40.5772
17.5,-5.40292,-40.5989
17.6,-5.40604,-40.6207
17.7,-5.40918,-40.6427
17.8,-5.41233,-40.6648
17.9,-5.41551,-40.6871
18.0,-5.41871,-40.7095
18.1,-5.42192,-40.7321
18.2,-5.42516,-40.7549
18.3,-5.42841,-40.7778
18.4,-5.43169,-40.8008
18.5,-5.43498,-40.824
18.6,-5.43829,-40.8474
18.7,-5.44163,-40.8709
18.8,-5.44498,-40.8946
18.9,-5.44835,-40.9184
19.0,-5.45175,-40.9425
19.1,-5.45516,-40.9666
19.2,-5.45859,-40.9909
19.3,-5.46205,-41.0154
19.4,-5.46552,-41.0401
19.5,-5.46901,-41.0649
19.6,-5.47253,-41.0898
19.7,-5.47606,-41.115
19.8,-5.47961,-41.1402
19.9,-5.48319,-41.1657
20.0,-5.48678,-41.1913
20.1,-5.49039,-41.2171
20.2,-5.49403,-41.2431
20.3,-5.49768,-41.2692
20.4,-5.50136,-41.2955
20.5,-5.50505,-41.3219
20.6,-5.50877,-41.3486
20.7,-5.51251,-41.3753
20.8,-5.51626,-41.4023
20.9,-5.52004,-41.4294
21.0,-5.52384,-41.4567
21.1,-5.52765,-41.4842
21.2,-5.53149,-41.5119
21.3,-5.53535,-41.5397
21.4,-5.53923,-41.5677
21.5,-5.54313,-41.5959
21.6,-5.54706,-41.6242
21.7,-5.551,-41.6527
21.8,-5.55496,-41.6814
21.9,-5.55894,-41.7103
22.0,-5.56295,-41.7393
22.1,-5.56698,-41.7686
22.2,-5.57102,-41.798
22.3,-5.57509,-41.8276
22.4,-5.57918,-41.8573
22.5,-5.58329,-41.8873
22.6,-5.58742,-41.9174
22.7,-5.59157,-41.9478
22.8,-5.59574,-41.9783
22.9,-5.59994,-42.0089
23.0,-5.60415,-42.0398
23.1,-5.60839,-42.0709
23.2,-5.61265,-42.1021
23.3,-5.61693,-42.1336
23.4,-5.62123,-42.1652
23.5,-5.62555,-42.197
23.6,-5.6299,-42.229
23.7,-5.63426,-42.2612
23.8,-5.63865,-42.2936
23.9,-5.64306,-42.3261
24.0,-5.64749,-42.3589
24.1,-5.65194,-42.3919
24.2,-5.65641,-42.425
24.3,-5.66091,-42.4584
24.4,-5.66543,-42.492
24.5,-5.66997,-42.5257
24.6,-5.67453,-42.5597
24.7,-5.67911,-42.5938
24.8,-5.68371,-42.6281
24.9,-5.68834,-42.6627
25.0,-5.69299,-42.6974
25.1,-5.69766,-42.7324
25.2,-5.70235,-42.7676
25.3,-5.70707,-42.8029
25.4,-5.71181,-42.8385
25.5,-5.71657,-42.8743
25.6,-5.72135,-42.9103
25.7,-5.72615,-42.9465
25.8,-5.73098,-42.9829
25.9,-5.73583,-43.0195
26.0,-5.7407,-43.0563
26.1,-5.74559,-43.0933
26.2,-5.75051,-43.1306
26.3,-5.75545,-43.168
26.4,-5.76041,-43.2057
26.5,-5.76539,-43.2436
26.6,-5.7704,-43.2817
26.7,-5.77543,-43.3201
26.8,-5.78048,-43.3586
26.9,-5.78555,-43.3974
27.0,-5.79065,-43.4364
27.1,-5.79577,-43.4756
27.2,-5.80091,-43.515
27.3,-5.80608,-43.5547
27.4,-5.81127,-43.5946
27.5,-5.81648,-43.6347
27.6,-5.82172,-43.6751
27.7,-5.82698,-43.7156
27.8,-5.83226,-43.7564
27.9,-5.83756,-43.7975
28.0,-5.84289,-43.8387
28.1,-5.84824,-43.8802
28.2,-5.85362,-43.922
28.3,-5.85902,-43.9639
28.4,-5.86444,-44.0061
28.5,-5.86988,-44.0486
28.6,-5.87535,-44.0913
28.7,-5.88084,-44.1342
28.8,-5.88636,-44.1774
28.9,-5.8919,-44.2208
29.0,-5.89746,-44.2644
29.1,-5.90305,-44.3083
29.2,-5.90866,-44.3525
29.3,-5.91429,-44.3969
29.4,-5.91995,-44.4415
29.5,-5.92563,-44.4864
29.6,-5.93134,-44.5316
29.7,-5.93707,-44.577
29.8,-5.94282,-44.6226
29.9,-5.9486,-44.6685
30.0,-5.9544,-44.7147
30.1,-5.96022,-44.7611
30.2,-5.96607,-44.8078
30.3,-5.97195,-44.8547
30.4,-5.97785,-44.9019
30.5,-5.98377,-44.9494
30.6,-5.98972,-44.9971
30.7,-5.99569,-45.0451
30.8,-6.00168,-45.0934
30.9,-6.0077,-45.1419
31.0,-6.01375,-45.1908
31.1,-6.01982,-45.2398
31.2,-6.02591,-45.2892
31.3,-6.03203,-45.3388
31.4,-6.03817,-45.3887
31.5,-6.04434,-45.4389
31.6,-6.05053,-45.4893
31.7,-6.05675,-45.5401
31.8,-6.06299,-45.5911
31.9,-6.06926,-45.6424
32.0,-6.07555,-45.694
32.1,-6.08186,-45.7459
32.2,-6.08821,-45.798
32.3,-6.09457,-45.8505
32.4,-6.10096,-45.9032
32.5,-6.10738,-45.9563
32.6,-6.11382,-46.0096
32.7,-6.12029,-46.0632
32.8,-6.12678,-46.1172
32.9,-6.1333,-46.1714
33.0,-6.13984,-46.2259
33.1,-6.14641,-46.2807
33.2,-6.153,-46.3359
33.3,-6.15962,-46.3913
33.4,-6.16626,-46.4471
33.5,-6.17293,-46.5031
33.6,-6.17962,-46.5595
33.7,-6.18634,-46.6162
33.8,-6.19309,-46.6732
33.9,-6.19986,-46.7305
34.0,-6.20666,-46.7881
34.1,-6.21348,-46.846
34.2,-6.22033,-46.9043
34.3,-6.2272,-46.9629
34.4,-6.2341,-47.0218
34.5,-6.24102,-47.0811
34.6,-6.24797,-47.1407
34.7,-6.25495,-47.2006
34.8,-6.26195,-47.2608
34.9,-6.26898,-47.3214
35.0,-6.27604,-47.3823
35.1,-6.28312,-47.4435
35.2,-6.29022,-47.5051
35.3,-6.29735,-47.567
35.4,-6.30451,-47.6293
35.5,-6.3117,-47.6919
35.6,-6.3189,-47.7549
35.7,-6.32614,-47.8182
35.8,-6.3334,-47.8819
