Angle (deg),Magnitude (dB),Phase (deg)
0.0,-1.59376,-3.82846
0.1,-1.59376,-3.82847
0.2,-1.59377,-3.82849
0.3,-1.59378,-3.82852
0.4,-1.5938,-3.82856
0.5,-1.59382,-3.82861
0.6,-1.59385,-3.82867
0.7,-1.59388,-3.82875
0.8,-1.59391,-3.82883
0.9,-1.59395,-3.82893
1.0,-1.594,-3.82904
1.1,-1.59405,-3.82916
1.2,-1.59411,-3.8293
1.3,-1.59417,-3.82944
1.4,-1.59423,-3.8296
1.5,-1.5943,-3.82977
1.6,-1.59438,-3.82994
1.7,-1.59446,-3.83014
1.8,-1.59454,-3.83034
1.9,-1.59463,-3.83055
2.0,-1.59473,-3.83078
2.1,-1.59483,-3.83102
2.2,-1.59493,-3.83126
2.3,-1.59504,-3.83153
2.4,-1.59515,-3.8318
2.5,-1.59527,-3.83208
2.6,-1.5954,-3.83238
2.7,-1.59553,-3.83268
2.8,-1.59566,-3.833
2.9,-1.5958,-3.83333
3.0,-1.59594,-3.83368
3.1,-1.59609,-3.83403
3.2,-1.59624,-3.83439
3.3,-1.5964,-3.83477
3.4,-1.59656,-3.83516
3.5,-1.59673,-3.83556
3.6,-1.5969,-3.83597
3.7,-1.59708,-3.8364
3.8,-1.59726,-3.83683
3.9,-1.59745,-3.83728
4.0,-1.59764,-3.83774
4.1,-1.59784,-3.83821
4.2,-1.59804,-3.83869
4.3,-1.59825,-3.83918
4.4,-1.59846,-3.83969
4.5,-1.59868,-3.84021
4.6,-1.5989,-3.84074
4.7,-1.59913,-3.84128
4.8,-1.59936,-3.84183
4.9,-1.59959,-3.8424
5.0,-1.59984,-3.84297
5.1,-1.60008,-3.84356
5.2,-1.60033,-3.84416
5.3,-1.60059,-3.84477
5.4,-1.60085,-3.8454
5.5,-1.60112,-3.84603
5.6,-1.60139,-3.84668
5.7,-1.60166,-3.84734
5.8,-1.60195,-3.84801
5.9,-1.60223,-3.84869
6.0,-1.60252,-3.84939
6.1,-1.60282,-3.85009
6.2,-1.60312,-3.85081
6.3,-1.60343,-3.85154
6.4,-1.60374,-3.85229
6.5,-1.60405,-3.85304
6.6,-1.60437,-3.85381
6.7,-1.6047,-3.85458
6.8,-1.60503,-3.85538
6.9,-1.60537,-3.85618
7.0,-1.60571,-3.85699
7.1,-1.60605,-3.85782
7.2,-1.6064,-3.85866
7.3,-1.60676,-3.85951
7.4,-1.60712,-3.86037
7.5,-1.60749,-3.86124
7.6,-1.60786,-3.86213
7.7,-1.60824,-3.86303
7.8,-1.60862,-3.86394
7.9,-1.609,-3.86486
8.0,-1.6094,-3.8658
8.1,-1.60979,-3.86675
8.2,-1.61019,-3.86771
8.3,-1.6106,-3.86868
8.4,-1.61101,-3.86966
8.5,-1.61143,-3.87066
8.6,-1.61185,-3.87167
8.7,-1.61228,-3.87269
8.8,-1.61271,-3.87372
8.9,-1.61315,-3.87477
9.0,-1.61359,-3.87582
9.1,-1.61404,-3.87689
9.2,-1.61449,-3.87798
9.3,-1.61495,-3.87907
9.4,-1.61542,-3.88018
9.5,-1.61588,-3.8813
9.6,-1.61636,-3.88243
9.7,-1.61684,-3.88358
9.8,-1.61732,-3.88473
9.9,-1.61781,-3.8859
10.0,-1.61831,-3.88708
10.1,-1.61881,-3.88828
10.2,-1.61931,-3.88948
10.3,-1.61982,-3.8907
10.4,-1.62034,-3.89194
10.5,-1.62086,-3.89318
10.6,-1.62138,-3.89444
10.7,-1.62192,-3.89571
10.8,-1.62245,-3.89699
10.9,-1.62299,-3.89829
11.0,-1.62354,-3.89959
11.1,-1.62409,-3.90091
11.2,-1.62465,-3.90225
11.3,-1.62522,-3.90359
11.4,-1.62578,-3.90495
11.5,-1.62636,-3.90632
11.6,-1.62694,-3.90771
11.7,-1.62752,-3.90911
11.8,-1.62811,-3.91052
11.9,-1.62871,-3.91194
12.0,-1.62931,-3.91338
12.1,-1.62992,-3.91483
12.2,-1.63053,-3.91629
12.3,-1.63114,-3.91776
12.4,-1.63177,-3.91925
12.5,-1.6324,-3.92075
12.6,-1.63303,-3.92227
12.7,-1.63367,-3.92379
12.8,-1.63431,-3.92534
12.9,-1.63496,-3.92689
13.0,-1.63562,-3.92846
13.1,-1.63628,-3.93004
13.2,-1.63695,-3.93163
13.3,-1.63762,-3.93324
13.4,-1.63829,-3.93486
13.5,-1.63898,-3.93649
13.6,-1.63967,-3.93814
13.7,-1.64036,-3.9398
13.8,-1.64106,-3.94147
13.9,-1.64177,-3.94316
14.0,-1.64248,-3.94486
14.1,-1.64319,-3.94657
14.2,-1.64392,-3.9483
14.3,-1.64464,-3.95004
14.4,-1.64538,-3.95179
14.5,-1.64612,-3.95356
14.6,-1.64686,-3.95534
14.7,-1.64761,-3.95714
14.8,-1.64837,-3.95895
14.9,-1.64913,-3.96077
15.0,-1.6499,-3.96261
15.1,-1.65067,-3.96446
15.2,-1.65145,-3.96632
15.3,-1.65224,-3.9682
15.4,-1.65303,-3.97009
15.5,-1.65383,-3.972
15.6,-1.65463,-3.97392
15.7,-1.65544,-3.97585
15.8,-1.65625,-3.9778
15.9,-1.65707,-3.97976
16.0,-1.6579,-3.98173
16.1,-1.65873,-3.98372
16.2,-1.65957,-3.98573
16.3,-1.66041,-3.98775
16.4,-1.66126,-3.98978
16.5,-1.66211,-3.99183
16.6,-1.66298,-3.99389
16.7,-1.66384,-3.99596
16.8,-1.66472,-3.99805
16.9,-1.6656,-4.00016
17.0,-1.66648,-4.00228
17.1,-1.66737,-4.00441
17.2,-1.66827,-4.00656
17.3,-1.66917,-4.00872
17.4,-1.67008,-4.0109
17.5,-1.671,-4.01309
17.6,-1.67192,-4.0153
17.7,-1.67285,-4.01752
17.8,-1.67378,-4.01975
17.9,-1.67472,-4.022
