Angle (deg),Magnitude (dB),Phase (deg)
0.0,-10.3929,-4.35718
0.1,-10.3929,-4.357
0.2,-10.3929,-4.35649
0.3,-10.393,-4.35562
0.4,-10.3932,-4.35442
0.5,-10.3933,-4.35286
0.6,-10.3935,-4.35097
0.7,-10.3938,-4.34873
0.8,-10.394,-4.34614
0.9,-10.3943,-4.34321
1.0,-10.3947,-4.33993
1.1,-10.3951,-4.33631
1.2,-10.3955,-4.33234
1.3,-10.3959,-4.32803
1.4,-10.3964,-4.32338
1.5,-10.3969,-4.31838
1.6,-10.3975,-4.31303
1.7,-10.3981,-4.30734
1.8,-10.3988,-4.30131
1.9,-10.3994,-4.29493
2.0,-10.4001,-4.28821
2.1,-10.4009,-4.28114
2.2,-10.4017,-4.27373
2.3,-10.4025,-4.26597
2.4,-10.4033,-4.25787
2.5,-10.4042,-4.24943
2.6,-10.4052,-4.24064
2.7,-10.4061,-4.23151
2.8,-10.4071,-4.22203
2.9,-10.4082,-4.21221
3.0,-10.4093,-4.20205
3.1,-10.4104,-4.19154
3.2,-10.4115,-4.18069
3.3,-10.4127,-4.16949
3.4,-10.414,-4.15795
3.5,-10.4152,-4.14607
3.6,-10.4165,-4.13384
3.7,-10.4179,-4.12128
3.8,-10.4193,-4.10836
3.9,-10.4207,-4.09511
4.0,-10.4221,-4.08151
4.1,-10.4236,-4.06757
4.2,-10.4252,-4.05328
4.3,-10.4267,-4.03866
4.4,-10.4283,-4.02369
4.5,-10.43,-4.00837
4.6,-10.4317,-3.99272
4.7,-10.4334,-3.97672
4.8,-10.4352,-3.96038
4.9,-10.437,-3.9437
5.0,-10.4388,-3.92668
5.1,-10.4407,-3.90932
5.2,-10.4426,-3.89161
5.3,-10.4446,-3.87356
5.4,-10.4466,-3.85517
5.5,-10.4486,-3.83644
5.6,-10.4507,-3.81737
5.7,-10.4528,-3.79796
5.8,-10.455,-3.7782
5.9,-10.4572,-3.75811
6.0,-10.4594,-3.73767
6.1,-10.4617,-3.7169
6.2,-10.464,-3.69578
6.3,-10.4664,-3.67433
6.4,-10.4688,-3.65253
6.5,-10.4712,-3.6304
6.6,-10.4737,-3.60792
6.7,-10.4762,-3.58511
6.8,-10.4788,-3.56195
6.9,-10.4814,-3.53846
7.0,-10.4841,-3.51463
7.1,-10.4868,-3.49046
7.2,-10.4895,-3.46595
7.3,-10.4923,-3.4411
7.4,-10.4951,-3.41592
7.5,-10.498,-3.39039
7.6,-10.5009,-3.36453
7.7,-10.5038,-3.33833
7.8,-10.5068,-3.31179
7.9,-10.5098,-3.28492
8.0,-10.5129,-3.25771
8.1,-10.516,-3.23016
8.2,-10.5192,-3.20227
8.3,-10.5224,-3.17405
8.4,-10.5257,-3.14549
8.5,-10.529,-3.1166
8.6,-10.5323,-3.08737
8.7,-10.5357,-3.05781
8.8,-10.5391,-3.02791
8.9,-10.5426,-2.99767
9.0,-10.5461,-2.9671
9.1,-10.5497,-2.93619
9.2,-10.5533,-2.90495
9.3,-10.557,-2.87338
9.4,-10.5607,-2.84147
9.5,-10.5644,-2.80923
9.6,-10.5682,-2.77665
9.7,-10.5721,-2.74375
9.8,-10.576,-2.7105
9.9,-10.5799,-2.67693
10.0,-10.5839,-2.64302
10.1,-10.588,-2.60878
10.2,-10.5921,-2.57421
10.3,-10.5962,-2.53931
10.4,-10.6004,-2.50407
10.5,-10.6046,-2.46851
10.6,-10.6089,-2.43261
10.7,-10.6132,-2.39638
10.8,-10.6176,-2.35983
10.9,-10.622,-2.32294
11.0,-10.6265,-2.28572
11.1,-10.6311,-2.24817
11.2,-10.6356,-2.2103
11.3,-10.6403,-2.17209
11.4,-10.645,-2.13356
11.5,-10.6497,-2.09469
11.6,-10.6545,-2.0555
11.7,-10.6593,-2.01599
11.8,-10.6642,-1.97614
11.9,-10.6692,-1.93597
12.0,-10.6742,-1.89547
12.1,-10.6792,-1.85464
12.2,-10.6843,-1.81349
12.3,-10.6895,-1.77201
12.4,-10.6947,-1.7302
12.5,-10.7,-1.68807
12.6,-10.7053,-1.64562
12.7,-10.7107,-1.60284
12.8,-10.7161,-1.55974
12.9,-10.7216,-1.51631
13.0,-10.7271,-1.47256
13.1,-10.7327,-1.42848
13.2,-10.7384,-1.38409
13.3,-10.7441,-1.33937
13.4,-10.7499,-1.29433
13.5,-10.7557,-1.24896
13.6,-10.7616,-1.20328
13.7,-10.7675,-1.15727
13.8,-10.7736,-1.11094
13.9,-10.7796,-1.0643
14.0,-10.7857,-1.01733
14.1,-10.7919,-0.970042
14.2,-10.7982,-0.922436
14.3,-10.8045,-0.874511
14.4,-10.8108,-0.826268
14.5,-10.8173,-0.777707
14.6,-10.8237,-0.728827
14.7,-10.8303,-0.679631
14.8,-10.8369,-0.630118
14.9,-10.8436,-0.580288
15.0,-10.8503,-0.530142
15.1,-10.8571,-0.47968
15.2,-10.864,-0.428904
15.3,-10.8709,-0.377812
15.4,-10.8779,-0.326406
15.5,-10.885,-0.274686
15.6,-10.8921,-0.222652
15.7,-10.8993,-0.170306
15.8,-10.9065,-0.117646
15.9,-10.9138,-0.0646748
16.0,-10.9212,-0.0113914
16.1,-10.9287,0.0422033
16.2,-10.9362,0.0961089
16.3,-10.9438,0.150325
16.4,-10.9515,0.204851
16.5,-10.9592,0.259687
16.6,-10.967,0.314831
16.7,-10.9748,0.370285
16.8,-10.9828,0.426046
16.9,-10.9908,0.482115
17.0,-10.9989,0.538491
17.1,-11.007,0.595174
17.2,-11.0152,0.652163
17.3,-11.0235,0.709458
17.4,-11.0319,0.767057
17.5,-11.0403,0.824962
17.6,-11.0489,0.883171
17.7,-11.0575,0.941683
17.8,-11.0661,1.0005
17.9,-11.0749,1.05962
18.0,-11.0837,1.11904
18.1,-11.0926,1.17876
18.2,-11.1015,1.23878
18.3,-11.1106,1.29911
18.4,-11.1197,1.35973
18.5,-11.1289,1.42065
18.6,-11.1382,1.48187
18.7,-11.1475,1.54339
18.8,-11.157,1.60521
18.9,-11.1665,1.66733
19.0,-11.1761,1.72974
19.1,-11.1858,1.79245
19.2,-11.1955,1.85545
19.3,-11.2054,1.91875
19.4,-11.2153,1.98234
19.5,-11.2253,2.04623
19.6,-11.2354,2.11041
19.7,-11.2456,2.17488
19.8,-11.2559,2.23964
19.9,-11.2662,2.3047
20.0,-11.2767,2.37004
20.1,-11.2872,2.43568
20.2,-11.2978,2.50161
20.3,-11.3085,2.56782
20.4,-11.3193,2.63432
20.5,-11.3302,2.70111
20.6,-11.3411,2.76819
20.7,-11.3522,2.83555
20.8,-11.3633,2.9032
20.9,-11.3746,2.97114
21.0,-11.3859,3.03935
21.1,-11.3973,3.10786
21.2,-11.4088,3.17664
21.3,-11.4204,3.24571
21.4,-11.4322,3.31505
21.5,-11.444,3.38468
21.6,-11.4558,3.45459
21.7,-11.4678,3.52478
21.8,-11.4799,3.59525
21.9,-11.4921,3.66599
22.0,-11.5044,3.73702
22.1,-11.5168,3.80832
22.2,-11.5293,3.87989
22.3,-11.5419,3.95174
22.4,-11.5545,4.02387
22.5,-11.5673,4.09626
22.6,-11.5802,4.16893
22.7,-11.5932,4.24188
22.8,-11.6063,4.31509
22.9,-11.6195,4.38857
23.0,-11.6328,4.46233
23.1,-11.6462,4.53635
23.2,-11.6597,4.61064
23.3,-11.6734,4.6852
23.4,-11.6871,4.76002
23.5,-11.7009,4.83511
23.6,-11.7149,4.91047
23.7,-11.729,4.98609
23.8,-11.7431,5.06197
23.9,-11.7574,5.13811
24.0,-11.7718,5.21452
24.1,-11.7863,5.29118
24.2,-11.801,5.36811
24.3,-11.8157,5.44529
24.4,-11.8306,5.52273
24.5,-11.8455,5.60043
24.6,-11.8606,5.67838
24.7,-11.8758,5.75659
24.8,-11.8912,5.83506
24.9,-11.9066,5.91377
25.0,-11.9222,5.99274
25.1,-11.9379,6.07196
25.2,-11.9537,6.15143
25.3,-11.9696,6.23115
25.4,-11.9857,6.31112
25.5,-12.0019,6.39133
25.6,-12.0182,6.47179
25.7,-12.0346,6.5525
25.8,-12.0512,6.63345
25.9,-12.0679,6.71465
26.0,-12.0847,6.79608
26.1,-12.1017,6.87776
26.2,-12.1188,6.95968
26.3,-12.136,7.04184
26.4,-12.1533,7.12423
26.5,-12.1708,7.20687
26.6,-12.1885,7.28973
26.7,-12.2062,7.37284
26.8,-12.2241,7.45617
26.9,-12.2421,7.53974
27.0,-12.2603,7.62354
27.1,-12.2786,7.70757
27.2,-12.2971,7.79183
27.3,-12.3157,7.87632
27.4,-12.3344,7.96104
27.5,-12.3533,8.04597
27.6,-12.3724,8.13114
27.7,-12.3915,8.21653
27.8,-12.4109,8.30213
27.9,-12.4303,8.38796
28.0,-12.45,8.47401
28.1,-12.4697,8.56028
28.2,-12.4897,8.64676
28.3,-12.5097,8.73346
28.4,-12.53,8.82038
28.5,-12.5504,8.9075
28.6,-12.5709,8.99484
28.7,-12.5916,9.08239
28.8,-12.6125,9.17014
28.9,-12.6335,9.25811
29.0,-12.6547,9.34628
29.1,-12.6761,9.43465
29.2,-12.6976,9.52323
29.3,-12.7193,9.61201
29.4,-12.7411,9.70099
29.5,-12.7631,9.79017
29.6,-12.7853,9.87955
29.7,-12.8077,9.96912
29.8,-12.8302,10.0589
29.9,-12.8529,10.1488
30.0,-12.8758,10.239
30.1,-12.8988,10.3293
30.2,-12.922,10.4199
30.3,-12.9454,10.5106
30.4,-12.969,10.6015
30.5,-12.9928,10.6926
30.6,-13.0167,10.7838
30.7,-13.0409,10.8753
30.8,-13.0652,10.9669
30.9,-13.0897,11.0587
31.0,-13.1144,11.1507
31.1,-13.1393,11.2428
31.2,-13.1644,11.3351
31.3,-13.1896,11.4276
31.4,-13.2151,11.5203
31.5,-13.2408,11.6131
31.6,-13.2666,11.7061
31.7,-13.2927,11.7993
31.8,-13.319,11.8926
31.9,-13.3454,11.986
32.0,-13.3721,12.0797
32.1,-13.399,12.1735
32.2,-13.4261,12.2674
32.3,-13.4534,12.3615
32.4,-13.4809,12.4557
32.5,-13.5086,12.5501
32.6,-13.5365,12.6446
32.7,-13.5647,12.7393
32.8,-13.5931,12.8341
32.9,-13.6217,12.929
33.0,-13.6505,13.0241
33.1,-13.6795,13.1193
33.2,-13.7088,13.2147
33.3,-13.7383,13.3102
33.4,-13.768,13.4058
33.5,-13.798,13.5015
33.6,-13.8282,13.5973
33.7,-13.8586,13.6933
33.8,-13.8893,13.7894
33.9,-13.9202,13.8856
34.0,-13.9513,13.9819
34.1,-13.9827,14.0784
34.2,-14.0144,14.1749
34.3,-14.0463,14.2715
34.4,-14.0784,14.3683
34.5,-14.1108,14.4651
34.6,-14.1435,14.5621
34.7,-14.1764,14.6591
34.8,-14.2096,14.7563
34.9,-14.243,14.8535
35.0,-14.2767,14.9508
35.1,-14.3107,15.0482
35.2,-14.3449,15.1456
35.3,-14.3795,15.2432
35.4,-14.4143,15.3408
35.5,-14.4493,15.4385
35.6,-14.4847,15.5363
35.7,-14.5203,15.6341
35.8,-14.5563,15.732
35.9,-14.5925,15.83
36.0,-14.629,15.928
36.1,-14.6658,16.026
36.2,-14.7029,16.1241
36.3,-14.7403,16.2223
36.4,-14.778,16.3205
36.5,-14.8161,16.4188
36.6,-14.8544,16.517
36.7,-14.893,16.6153
36.8,-14.932,16.7137
36.9,-14.9713,16.8121
37.0,-15.0109,16.9104
37.1,-15.0508,17.0089
37.2,-15.091,17.1073
37.3,-15.1316,17.2057
37.4,-15.1726,17.3041
37.5,-15.2138,17.4026
37.6,-15.2554,17.501
37.7,-15.2974,17.5994
37.8,-15.3397,17.6979
37.9,-15.3824,17.7963
38.0,-15.4254,17.8946
38.1,-15.4688,17.993
38.2,-15.5126,18.0913
38.3,-15.5567,18.1896
38.4,-15.6012,18.2879
38.5,-15.6461,18.3861
38.6,-15.6913,18.4843
38.7,-15.737,18.5824
38.8,-15.783,18.6805
38.9,-15.8294,18.7785
39.0,-15.8763,18.8764
39.1,-15.9235,18.9743
39.2,-15.9712,19.0721
39.3,-16.0193,19.1698
39.4,-16.0678,19.2674
39.5,-16.1167,19.3649
39.6,-16.166,19.4623
