Angle (deg),Magnitude (dB),Phase (deg)
0.0,-8.03466,177.593
0.1,-8.03465,177.593
0.2,-8.03461,177.593
0.3,-8.03455,177.593
0.4,-8.03447,177.593
0.5,-8.03436,177.593
0.6,-8.03423,177.593
0.7,-8.03407,177.593
0.8,-8.03389,177.593
0.9,-8.03369,177.594
1.0,-8.03346,177.594
1.1,-8.03321,177.594
1.2,-8.03294,177.594
1.3,-8.03264,177.594
1.4,-8.03231,177.594
1.5,-8.03197,177.595
1.6,-8.03159,177.595
1.7,-8.0312,177.595
1.8,-8.03078,177.595
1.9,-8.03034,177.596
2.0,-8.02987,177.596
2.1,-8.02938,177.596
2.2,-8.02887,177.597
2.3,-8.02833,177.597
2.4,-8.02777,177.597
2.5,-8.02718,177.598
2.6,-8.02657,177.598
2.7,-8.02594,177.599
2.8,-8.02528,177.599
2.9,-8.0246,177.6
3.0,-8.02389,177.6
3.1,-8.02316,177.6
3.2,-8.02241,177.601
3.3,-8.02164,177.601
3.4,-8.02083,177.602
3.5,-8.02001,177.603
3.6,-8.01916,177.603
3.7,-8.01829,177.604
3.8,-8.0174,177.604
3.9,-8.01648,177.605
4.0,-8.01554,177.605
4.1,-8.01457,177.606
4.2,-8.01358,177.607
4.3,-8.01257,177.607
4.4,-8.01154,177.608
4.5,-8.01048,177.609
4.6,-8.00939,177.61
4.7,-8.00829,177.61
4.8,-8.00716,177.611
4.9,-8.006,177.612
5.0,-8.00483,177.613
5.1,-8.00362,177.613
5.2,-8.0024,177.614
5.3,-8.00115,177.615
5.4,-7.99988,177.616
5.5,-7.99859,177.617
5.6,-7.99727,177.618
5.7,-7.99593,177.619
5.8,-7.99457,177.62
5.9,-7.99318,177.621
6.0,-7.99177,177.622
6.1,-7.99034,177.623
6.2,-7.98888,177.624
6.3,-7.98741,177.625
6.4,-7.9859,177.626
6.5,-7.98438,177.627
6.6,-7.98283,177.628
6.7,-7.98126,177.629
6.8,-7.97967,177.63
6.9,-7.97805,177.631
7.0,-7.97641,177.632
7.1,-7.97475,177.633
7.2,-7.97306,177.635
7.3,-7.97135,177.636
7.4,-7.96962,177.637
7.5,-7.96787,177.638
7.6,-7.96609,177.639
7.7,-7.9643,177.641
7.8,-7.96248,177.642
7.9,-7.96063,177.643
8.0,-7.95877,177.645
8.1,-7.95688,177.646
8.2,-7.95497,177.647
8.3,-7.95303,177.649
8.4,-7.95108,177.65
8.5,-7.9491,177.652
8.6,-7.9471,177.653
8.7,-7.94508,177.654
8.8,-7.94303,177.656
8.9,-7.94097,177.657
9.0,-7.93888,177.659
9.1,-7.93677,177.66
9.2,-7.93464,177.662
9.3,-7.93248,177.664
9.4,-7.9303,177.665
9.5,-7.92811,177.667
9.6,-7.92589,177.668
9.7,-7.92364,177.67
9.8,-7.92138,177.672
9.9,-7.9191,177.673
10.0,-7.91679,177.675
10.1,-7.91446,177.677
10.2,-7.91211,177.678
10.3,-7.90974,177.68
10.4,-7.90735,177.682
10.5,-7.90493,177.684
10.6,-7.9025,177.686
10.7,-7.90004,177.687
10.8,-7.89756,177.689
10.9,-7.89506,177.691
11.0,-7.89254,177.693
11.1,-7.89,177.695
11.2,-7.88744,177.697
11.3,-7.88485,177.699
11.4,-7.88225,177.701
11.5,-7.87963,177.703
11.6,-7.87698,177.704
11.7,-7.87431,177.706
11.8,-7.87163,177.708
11.9,-7.86892,177.711
12.0,-7.86619,177.713
12.1,-7.86344,177.715
12.2,-7.86067,177.717
12.3,-7.85788,177.719
12.4,-7.85507,177.721
12.5,-7.85224,177.723
12.6,-7.84939,177.725
12.7,-7.84651,177.727
12.8,-7.84362,177.729
12.9,-7.84071,177.732
13.0,-7.83778,177.734
13.1,-7.83483,177.736
13.2,-7.83185,177.738
13.3,-7.82886,177.74
13.4,-7.82585,177.743
13.5,-7.82282,177.745
13.6,-7.81977,177.747
13.7,-7.8167,177.749
13.8,-7.8136,177.752
13.9,-7.81049,177.754
14.0,-7.80736,177.756
14.1,-7.80421,177.759
14.2,-7.80104,177.761
14.3,-7.79786,177.763
14.4,-7.79465,177.766
14.5,-7.79142,177.768
14.6,-7.78817,177.77
14.7,-7.78491,177.773
14.8,-7.78162,177.775
14.9,-7.77832,177.777
15.0,-7.77499,177.78
15.1,-7.77165,177.782
15.2,-7.76829,177.785
15.3,-7.76491,177.787
15.4,-7.76151,177.789
15.5,-7.75809,177.792
15.6,-7.75465,177.794
15.7,-7.75119,177.797
15.8,-7.74772,177.799
15.9,-7.74422,177.802
16.0,-7.74071,177.804
16.1,-7.73718,177.807
16.2,-7.73362,177.809
16.3,-7.73006,177.811
16.4,-7.72647,177.814
16.5,-7.72286,177.816
16.6,-7.71923,177.819
16.7,-7.71559,177.821
16.8,-7.71193,177.824
16.9,-7.70825,177.826
17.0,-7.70455,177.829
17.1,-7.70083,177.831
17.2,-7.69709,177.834
17.3,-7.69333,177.836
17.4,-7.68956,177.838
17.5,-7.68577,177.841
17.6,-7.68196,177.843
17.7,-7.67813,177.846
17.8,-7.67428,177.848
17.9,-7.67041,177.851
