Angle (deg),Magnitude (dB),Phase (deg)
0.0,-5.13741,141.205
0.1,-5.1374,141.205
0.2,-5.13738,141.205
0.3,-5.13733,141.206
0.4,-5.13727,141.206
0.5,-5.1372,141.207
0.6,-5.13711,141.207
0.7,-5.137,141.208
0.8,-5.13687,141.209
0.9,-5.13672,141.21
1.0,-5.13656,141.211
1.1,-5.13639,141.212
1.2,-5.13619,141.213
1.3,-5.13598,141.215
1.4,-5.13575,141.216
1.5,-5.13551,141.218
1.6,-5.13524,141.219
1.7,-5.13496,141.221
1.8,-5.13467,141.223
1.9,-5.13436,141.225
2.0,-5.13403,141.227
2.1,-5.13368,141.23
2.2,-5.13332,141.232
2.3,-5.13294,141.235
2.4,-5.13254,141.237
2.5,-5.13212,141.24
2.6,-5.13169,141.243
2.7,-5.13124,141.246
2.8,-5.13078,141.249
2.9,-5.1303,141.252
3.0,-5.1298,141.255
3.1,-5.12928,141.259
3.2,-5.12875,141.262
3.3,-5.1282,141.266
3.4,-5.12763,141.27
3.5,-5.12705,141.274
3.6,-5.12645,141.277
3.7,-5.12583,141.282
3.8,-5.1252,141.286
3.9,-5.12455,141.29
4.0,-5.12388,141.294
4.1,-5.1232,141.299
4.2,-5.1225,141.304
4.3,-5.12178,141.308
4.4,-5.12104,141.313
4.5,-5.12029,141.318
4.6,-5.11952,141.323
4.7,-5.11874,141.328
4.8,-5.11794,141.334
4.9,-5.11712,141.339
5.0,-5.11628,141.345
5.1,-5.11543,141.35
5.2,-5.11456,141.356
5.3,-5.11367,141.362
5.4,-5.11277,141.368
5.5,-5.11185,141.374
5.6,-5.11091,141.38
5.7,-5.10996,141.386
5.8,-5.10899,141.393
5.9,-5.108,141.399
6.0,-5.107,141.406
6.1,-5.10598,141.413
6.2,-5.10494,141.42
6.3,-5.10389,141.427
6.4,-5.10281,141.434
6.5,-5.10173,141.441
6.6,-5.10062,141.448
6.7,-5.0995,141.456
6.8,-5.09836,141.463
6.9,-5.09721,141.471
7.0,-5.09604,141.478
7.1,-5.09485,141.486
7.2,-5.09364,141.494
7.3,-5.09242,141.502
7.4,-5.09118,141.511
7.5,-5.08993,141.519
7.6,-5.08866,141.527
7.7,-5.08737,141.536
7.8,-5.08606,141.544
7.9,-5.08474,141.553
8.0,-5.08341,141.562
8.1,-5.08205,141.571
8.2,-5.08068,141.58
8.3,-5.07929,141.589
8.4,-5.07789,141.599
8.5,-5.07646,141.608
8.6,-5.07503,141.618
8.7,-5.07357,141.627
8.8,-5.0721,141.637
8.9,-5.07061,141.647
9.0,-5.06911,141.657
9.1,-5.06759,141.667
9.2,-5.06605,141.677
9.3,-5.06449,141.687
9.4,-5.06292,141.698
9.5,-5.06134,141.708
9.6,-5.05973,141.719
9.7,-5.05811,141.73
9.8,-5.05647,141.741
9.9,-5.05482,141.752
10.0,-5.05315,141.763
10.1,-5.05146,141.774
10.2,-5.04976,141.785
10.3,-5.04804,141.797
10.4,-5.04631,141.808
10.5,-5.04455,141.82
10.6,-5.04278,141.831
10.7,-5.041,141.843
10.8,-5.0392,141.855
10.9,-5.03738,141.867
11.0,-5.03554,141.88
11.1,-5.03369,141.892
11.2,-5.03183,141.904
11.3,-5.02994,141.917
11.4,-5.02804,141.929
11.5,-5.02612,141.942
11.6,-5.02419,141.955
11.7,-5.02224,141.968
11.8,-5.02028,141.981
11.9,-5.01829,141.994
12.0,-5.01629,142.008
12.1,-5.01428,142.021
12.2,-5.01225,142.035
12.3,-5.0102,142.048
12.4,-5.00814,142.062
12.5,-5.00606,142.076
12.6,-5.00396,142.09
12.7,-5.00185,142.104
12.8,-4.99972,142.118
12.9,-4.99757,142.132
13.0,-4.99541,142.147
13.1,-4.99324,142.161
13.2,-4.99104,142.176
13.3,-4.98883,142.191
13.4,-4.98661,142.205
13.5,-4.98436,142.22
13.6,-4.9821,142.235
13.7,-4.97983,142.251
13.8,-4.97754,142.266
13.9,-4.97523,142.281
14.0,-4.97291,142.297
14.1,-4.97057,142.312
14.2,-4.96821,142.328
14.3,-4.96584,142.344
14.4,-4.96345,142.36
14.5,-4.96105,142.376
14.6,-4.95863,142.392
14.7,-4.95619,142.408
14.8,-4.95374,142.425
14.9,-4.95128,142.441
15.0,-4.94879,142.458
15.1,-4.94629,142.475
15.2,-4.94378,142.491
15.3,-4.94124,142.508
15.4,-4.9387,142.525
15.5,-4.93613,142.543
15.6,-4.93355,142.56
15.7,-4.93096,142.577
15.8,-4.92835,142.595
15.9,-4.92572,142.612
16.0,-4.92307,142.63
16.1,-4.92042,142.648
16.2,-4.91774,142.666
16.3,-4.91505,142.684
16.4,-4.91234,142.702
16.5,-4.90962,142.72
16.6,-4.90688,142.739
16.7,-4.90413,142.757
16.8,-4.90136,142.776
16.9,-4.89857,142.794
17.0,-4.89577,142.813
17.1,-4.89295,142.832
17.2,-4.89012,142.851
17.3,-4.88727,142.87
17.4,-4.88441,142.889
17.5,-4.88153,142.909
17.6,-4.87863,142.928
17.7,-4.87572,142.948
17.8,-4.87279,142.968
17.9,-4.86985,142.987
18.0,-4.86689,143.007
18.1,-4.86392,143.027
18.2,-4.86093,143.047
18.3,-4.85792,143.068
18.4,-4.8549,143.088
18.5,-4.85186,143.108
18.6,-4.84881,143.129
18.7,-4.84575,143.15
18.8,-4.84266,143.17
18.9,-4.83956,143.191
19.0,-4.83645,143.212
19.1,-4.83332,143.233
19.2,-4.83018,143.254
19.3,-4.82702,143.276
19.4,-4.82384,143.297
19.5,-4.82065,143.319
19.6,-4.81744,143.34
19.7,-4.81422,143.362
19.8,-4.81098,143.384
19.9,-4.80773,143.406
20.0,-4.80446,143.428
20.1,-4.80118,143.45
20.2,-4.79788,143.473
20.3,-4.79457,143.495
20.4,-4.79124,143.517
20.5,-4.78789,143.54
20.6,-4.78453,143.563
20.7,-4.78116,143.586
20.8,-4.77777,143.609
20.9,-4.77436,143.632
21.0,-4.77094,143.655
21.1,-4.76751,143.678
21.2,-4.76406,143.701
21.3,-4.76059,143.725
21.4,-4.75711,143.748
21.5,-4.75362,143.772
21.6,-4.75011,143.796
21.7,-4.74658,143.82
21.8,-4.74304,143.844
21.9,-4.73948,143.868
22.0,-4.73591,143.892
22.1,-4.73233,143.917
22.2,-4.72872,143.941
22.3,-4.72511,143.966
22.4,-4.72148,143.99
22.5,-4.71783,144.015
22.6,-4.71417,144.04
22.7,-4.71049,144.065
22.8,-4.7068,144.09
22.9,-4.7031,144.115
23.0,-4.69938,144.141
23.1,-4.69564,144.166
23.2,-4.69189,144.192
