Angle (deg),Magnitude (dB),Phase (deg)
0.0,-5.45626,141.064
0.1,-5.45626,141.065
0.2,-5.45624,141.068
0.3,-5.45621,141.072
0.4,-5.45618,141.078
0.5,-5.45613,141.085
0.6,-5.45607,141.094
0.7,-5.456,141.105
0.8,-5.45592,141.117
0.9,-5.45584,141.131
1.0,-5.45574,141.147
1.1,-5.45563,141.164
1.2,-5.45551,141.183
1.3,-5.45538,141.204
1.4,-5.45525,141.226
1.5,-5.4551,141.25
1.6,-5.45495,141.276
1.7,-5.45479,141.303
1.8,-5.45462,141.332
1.9,-5.45445,141.362
2.0,-5.45426,141.394
2.1,-5.45408,141.428
2.2,-5.45388,141.464
2.3,-5.45368,141.501
2.4,-5.45347,141.539
2.5,-5.45326,141.58
2.6,-5.45305,141.622
2.7,-5.45283,141.666
2.8,-5.45261,141.711
2.9,-5.45239,141.758
3.0,-5.45216,141.806
3.1,-5.45194,141.857
3.2,-5.45171,141.909
3.3,-5.45148,141.962
3.4,-5.45126,142.017
3.5,-5.45103,142.074
3.6,-5.45081,142.133
3.7,-5.45059,142.193
3.8,-5.45038,142.255
3.9,-5.45017,142.318
4.0,-5.44996,142.383
4.1,-5.44976,142.45
4.2,-5.44957,142.518
4.3,-5.44939,142.588
4.4,-5.44921,142.66
4.5,-5.44905,142.733
4.6,-5.44889,142.808
4.7,-5.44875,142.885
4.8,-5.44862,142.963
4.9,-5.4485,143.043
5.0,-5.4484,143.124
5.1,-5.44832,143.207
5.2,-5.44825,143.292
5.3,-5.4482,143.378
5.4,-5.44817,143.466
5.5,-5.44816,143.556
5.6,-5.44817,143.647
5.7,-5.4482,143.74
5.8,-5.44826,143.835
5.9,-5.44835,143.931
6.0,-5.44846,144.029
6.1,-5.4486,144.129
6.2,-5.44876,144.23
6.3,-5.44896,144.333
6.4,-5.44919,144.437
6.5,-5.44945,144.543
6.6,-5.44975,144.651
6.7,-5.45009,144.76
6.8,-5.45046,144.871
6.9,-5.45087,144.984
7.0,-5.45132,145.098
7.1,-5.45181,145.214
7.2,-5.45235,145.331
7.3,-5.45294,145.45
7.4,-5.45357,145.571
7.5,-5.45425,145.694
7.6,-5.45498,145.818
7.7,-5.45576,145.943
7.8,-5.45659,146.071
7.9,-5.45749,146.2
8.0,-5.45843,146.33
8.1,-5.45944,146.463
8.2,-5.46051,146.597
8.3,-5.46165,146.732
8.4,-5.46284,146.869
8.5,-5.46411,147.008
8.6,-5.46544,147.149
8.7,-5.46685,147.291
8.8,-5.46833,147.435
8.9,-5.46988,147.58
9.0,-5.47151,147.727
9.1,-5.47322,147.876
9.2,-5.47501,148.026
9.3,-5.47689,148.178
9.4,-5.47885,148.332
9.5,-5.4809,148.487
9.6,-5.48304,148.644
9.7,-5.48527,148.803
9.8,-5.4876,148.963
9.9,-5.49003,149.125
10.0,-5.49256,149.289
10.1,-5.49519,149.454
10.2,-5.49792,149.621
10.3,-5.50077,149.789
10.4,-5.50372,149.959
10.5,-5.50679,150.131
10.6,-5.50998,150.305
10.7,-5.51328,150.48
10.8,-5.51671,150.657
10.9,-5.52026,150.836
11.0,-5.52393,151.016
11.1,-5.52774,151.198
11.2,-5.53169,151.381
11.3,-5.53577,151.567
11.4,-5.53999,151.754
11.5,-5.54435,151.942
11.6,-5.54886,152.133
11.7,-5.55351,152.325
11.8,-5.55833,152.518
11.9,-5.56329,152.714
12.0,-5.56842,152.911
12.1,-5.57371,153.11
12.2,-5.57917,153.31
12.3,-5.5848,153.512
12.4,-5.59061,153.716
12.5,-5.59659,153.922
12.6,-5.60275,154.129
12.7,-5.6091,154.339
12.8,-5.61564,154.549
12.9,-5.62238,154.762
13.0,-5.62931,154.976
13.1,-5.63645,155.192
13.2,-5.64379,155.41
13.3,-5.65135,155.63
13.4,-5.65912,155.851
13.5,-5.66711,156.074
13.6,-5.67533,156.299
13.7,-5.68377,156.525
13.8,-5.69246,156.754
13.9,-5.70138,156.984
14.0,-5.71055,157.216
14.1,-5.71997,157.449
14.2,-5.72964,157.685
14.3,-5.73957,157.922
14.4,-5.74978,158.161
14.5,-5.76025,158.402
14.6,-5.771,158.645
14.7,-5.78204,158.889
14.8,-5.79337,159.136
14.9,-5.80499,159.384
15.0,-5.81691,159.634
15.1,-5.82915,159.886
15.2,-5.8417,160.14
15.3,-5.85457,160.395
15.4,-5.86777,160.653
15.5,-5.88131,160.912
15.6,-5.89519,161.173
15.7,-5.90942,161.437
15.8,-5.92402,161.702
15.9,-5.93897,161.969
16.0,-5.95431,162.237
16.1,-5.97002,162.508
16.2,-5.98613,162.781
16.3,-6.00263,163.056
16.4,-6.01954,163.332
16.5,-6.03687,163.611
16.6,-6.05463,163.891
16.7,-6.07282,164.174
16.8,-6.09146,164.458
16.9,-6.11055,164.745
17.0,-6.13011,165.033
17.1,-6.15014,165.324
17.2,-6.17066,165.616
17.3,-6.19168,165.91
17.4,-6.21321,166.207
17.5,-6.23526,166.506
17.6,-6.25784,166.806
17.7,-6.28097,167.109
17.8,-6.30465,167.414
17.9,-6.32891,167.721
18.0,-6.35375,168.029
18.1,-6.37919,168.341
18.2,-6.40523,168.654
18.3,-6.43191,168.969
18.4,-6.45923,169.286
18.5,-6.4872,169.606
18.6,-6.51585,169.927
18.7,-6.54518,170.251
18.8,-6.57522,170.577
18.9,-6.60599,170.905
19.0,-6.63749,171.236
19.1,-6.66976,171.568
19.2,-6.7028,171.903
19.3,-6.73664,172.24
19.4,-6.7713,172.579
19.5,-6.8068,172.92
19.6,-6.84316,173.264
19.7,-6.8804,173.609
19.8,-6.91855,173.957
19.9,-6.95763,174.308
