Angle (deg),Magnitude (dB),Phase (deg)
0.0,-10.3929,175.643
0.1,-10.3928,175.643
0.2,-10.3928,175.644
0.3,-10.3927,175.644
0.4,-10.3926,175.646
0.5,-10.3924,175.647
0.6,-10.3922,175.649
0.7,-10.392,175.652
0.8,-10.3917,175.654
0.9,-10.3914,175.657
1.0,-10.3911,175.661
1.1,-10.3907,175.665
1.2,-10.3903,175.669
1.3,-10.3899,175.673
1.4,-10.3894,175.678
1.5,-10.3889,175.683
1.6,-10.3884,175.689
1.7,-10.3878,175.695
1.8,-10.3872,175.701
1.9,-10.3865,175.708
2.0,-10.3858,175.715
2.1,-10.3851,175.722
2.2,-10.3843,175.73
2.3,-10.3836,175.738
2.4,-10.3827,175.746
2.5,-10.3819,175.755
2.6,-10.381,175.764
2.7,-10.38,175.774
2.8,-10.3791,175.783
2.9,-10.3781,175.794
3.0,-10.377,175.804
3.1,-10.376,175.815
3.2,-10.3749,175.827
3.3,-10.3737,175.838
3.4,-10.3726,175.85
3.5,-10.3714,175.863
3.6,-10.3701,175.875
3.7,-10.3688,175.888
3.8,-10.3675,175.902
3.9,-10.3662,175.916
4.0,-10.3648,175.93
4.1,-10.3634,175.944
4.2,-10.3619,175.959
4.3,-10.3605,175.974
4.4,-10.3589,175.99
4.5,-10.3574,176.006
4.6,-10.3558,176.022
4.7,-10.3542,176.039
4.8,-10.3525,176.056
4.9,-10.3508,176.073
5.0,-10.3491,176.091
5.1,-10.3474,176.109
5.2,-10.3456,176.127
5.3,-10.3438,176.146
5.4,-10.3419,176.165
5.5,-10.34,176.184
5.6,-10.3381,176.204
5.7,-10.3361,176.224
5.8,-10.3342,176.245
5.9,-10.3321,176.266
6.0,-10.3301,176.287
6.1,-10.328,176.309
6.2,-10.3259,176.331
6.3,-10.3237,176.353
6.4,-10.3215,176.375
6.5,-10.3193,176.398
6.6,-10.3171,176.422
6.7,-10.3148,176.445
6.8,-10.3125,176.469
6.9,-10.3101,176.494
7.0,-10.3077,176.519
7.1,-10.3053,176.544
7.2,-10.3029,176.569
7.3,-10.3004,176.595
7.4,-10.2979,176.621
7.5,-10.2953,176.647
7.6,-10.2928,176.674
7.7,-10.2902,176.701
7.8,-10.2875,176.729
7.9,-10.2849,176.757
8.0,-10.2822,176.785
8.1,-10.2794,176.814
8.2,-10.2767,176.843
8.3,-10.2739,176.872
8.4,-10.271,176.901
8.5,-10.2682,176.931
8.6,-10.2653,176.962
8.7,-10.2624,176.992
8.8,-10.2594,177.023
8.9,-10.2565,177.055
9.0,-10.2535,177.086
9.1,-10.2504,177.118
9.2,-10.2473,177.151
9.3,-10.2442,177.183
9.4,-10.2411,177.216
9.5,-10.2379,177.25
9.6,-10.2348,177.283
9.7,-10.2315,177.317
9.8,-10.2283,177.352
9.9,-10.225,177.386
10.0,-10.2217,177.422
10.1,-10.2184,177.457
10.2,-10.215,177.493
10.3,-10.2116,177.529
10.4,-10.2082,177.565
10.5,-10.2047,177.602
10.6,-10.2012,177.639
10.7,-10.1977,177.676
10.8,-10.1942,177.714
10.9,-10.1906,177.752
11.0,-10.187,177.791
11.1,-10.1834,177.83
11.2,-10.1797,177.869
11.3,-10.1761,177.908
11.4,-10.1724,177.948
11.5,-10.1686,177.988
11.6,-10.1649,178.028
11.7,-10.1611,178.069
11.8,-10.1572,178.11
11.9,-10.1534,178.152
12.0,-10.1495,178.193
12.1,-10.1456,178.236
12.2,-10.1417,178.278
12.3,-10.1378,178.321
12.4,-10.1338,178.364
12.5,-10.1298,178.407
12.6,-10.1257,178.451
12.7,-10.1217,178.495
12.8,-10.1176,178.539
12.9,-10.1135,178.584
13.0,-10.1094,178.629
13.1,-10.1052,178.674
13.2,-10.101,178.72
13.3,-10.0968,178.766
13.4,-10.0926,178.813
13.5,-10.0883,178.859
13.6,-10.084,178.906
13.7,-10.0797,178.953
13.8,-10.0754,179.001
13.9,-10.071,179.049
14.0,-10.0666,179.097
14.1,-10.0622,179.146
14.2,-10.0578,179.195
14.3,-10.0533,179.244
14.4,-10.0489,179.293
14.5,-10.0444,179.343
