Angle (deg),Magnitude (dB),Phase (deg)
0.0,-8.03464,-2.4064
0.1,-8.03465,-2.4064
0.2,-8.03469,-2.40639
0.3,-8.03474,-2.40638
0.4,-8.03482,-2.40637
0.5,-8.03492,-2.40635
0.6,-8.03504,-2.40633
0.7,-8.03518,-2.40631
0.8,-8.03534,-2.40628
0.9,-8.03553,-2.40625
1.0,-8.03574,-2.40621
1.1,-8.03596,-2.40617
1.2,-8.03622,-2.40613
1.3,-8.03649,-2.40608
1.4,-8.03679,-2.40603
1.5,-8.0371,-2.40597
1.6,-8.03744,-2.40591
1.7,-8.0378,-2.40585
1.8,-8.03818,-2.40578
1.9,-8.03859,-2.40571
2.0,-8.03902,-2.40564
2.1,-8.03946,-2.40556
2.2,-8.03994,-2.40547
2.3,-8.04043,-2.40539
2.4,-8.04094,-2.40529
2.5,-8.04148,-2.4052
2.6,-8.04204,-2.4051
2.7,-8.04262,-2.40499
2.8,-8.04323,-2.40488
2.9,-8.04385,-2.40477
3.0,-8.0445,-2.40465
3.1,-8.04517,-2.40453
3.2,-8.04586,-2.4044
3.3,-8.04658,-2.40427
3.4,-8.04731,-2.40414
3.5,-8.04807,-2.404
3.6,-8.04885,-2.40385
3.7,-8.04966,-2.4037
3.8,-8.05048,-2.40355
3.9,-8.05133,-2.40339
4.0,-8.0522,-2.40322
4.1,-8.0531,-2.40306
4.2,-8.05402,-2.40288
4.3,-8.05495,-2.4027
4.4,-8.05592,-2.40252
4.5,-8.0569,-2.40233
4.6,-8.05791,-2.40214
4.7,-8.05894,-2.40194
4.8,-8.05999,-2.40173
4.9,-8.06107,-2.40152
5.0,-8.06217,-2.40131
5.1,-8.06329,-2.40109
5.2,-8.06443,-2.40086
5.3,-8.0656,-2.40063
5.4,-8.06679,-2.4004
5.5,-8.068,-2.40015
5.6,-8.06924,-2.39991
5.7,-8.0705,-2.39965
5.8,-8.07178,-2.39939
5.9,-8.07309,-2.39913
6.0,-8.07442,-2.39886
6.1,-8.07578,-2.39858
6.2,-8.07715,-2.3983
6.3,-8.07855,-2.39801
6.4,-8.07998,-2.39772
6.5,-8.08143,-2.39742
6.6,-8.0829,-2.39711
6.7,-8.08439,-2.3968
6.8,-8.08591,-2.39648
6.9,-8.08746,-2.39615
7.0,-8.08902,-2.39582
7.1,-8.09062,-2.39549
7.2,-8.09223,-2.39514
7.3,-8.09387,-2.39479
7.4,-8.09554,-2.39444
7.5,-8.09722,-2.39407
7.6,-8.09894,-2.39371
7.7,-8.10067,-2.39333
7.8,-8.10244,-2.39295
7.9,-8.10422,-2.39256
8.0,-8.10603,-2.39217
8.1,-8.10787,-2.39177
8.2,-8.10973,-2.39136
8.3,-8.11162,-2.39094
8.4,-8.11353,-2.39052
8.5,-8.11546,-2.3901
8.6,-8.11742,-2.38966
8.7,-8.11941,-2.38922
8.8,-8.12142,-2.38878
8.9,-8.12346,-2.38832
9.0,-8.12552,-2.38786
9.1,-8.12761,-2.3874
9.2,-8.12972,-2.38693
9.3,-8.13186,-2.38645
9.4,-8.13403,-2.38596
9.5,-8.13622,-2.38547
9.6,-8.13843,-2.38498
9.7,-8.14068,-2.38447
9.8,-8.14295,-2.38396
9.9,-8.14524,-2.38345
10.0,-8.14757,-2.38293
10.1,-8.14991,-2.3824
10.2,-8.15229,-2.38186
10.3,-8.15469,-2.38132
10.4,-8.15712,-2.38078
10.5,-8.15958,-2.38023
10.6,-8.16206,-2.37967
10.7,-8.16457,-2.37911
10.8,-8.16711,-2.37854
10.9,-8.16967,-2.37797
11.0,-8.17226,-2.37739
11.1,-8.17488,-2.37681
11.2,-8.17753,-2.37622
11.3,-8.1802,-2.37563
11.4,-8.1829,-2.37503
11.5,-8.18563,-2.37443
11.6,-8.18839,-2.37382
11.7,-8.19118,-2.37321
11.8,-8.19399,-2.3726
11.9,-8.19684,-2.37198
12.0,-8.19971,-2.37136
12.1,-8.20261,-2.37073
12.2,-8.20554,-2.3701
12.3,-8.20849,-2.36947
12.4,-8.21148,-2.36883
12.5,-8.2145,-2.3682
12.6,-8.21754,-2.36756
12.7,-8.22061,-2.36691
12.8,-8.22372,-2.36627
12.9,-8.22685,-2.36562
13.0,-8.23001,-2.36497
13.1,-8.23321,-2.36433
13.2,-8.23643,-2.36368
13.3,-8.23968,-2.36302
13.4,-8.24296,-2.36237
13.5,-8.24627,-2.36172
13.6,-8.24962,-2.36107
13.7,-8.25299,-2.36042
13.8,-8.2564,-2.35977
13.9,-8.25983,-2.35912
14.0,-8.2633,-2.35847
14.1,-8.26679,-2.35783
14.2,-8.27032,-2.35719
14.3,-8.27388,-2.35654
14.4,-8.27747,-2.35591
14.5,-8.28109,-2.35527
14.6,-8.28474,-2.35464
14.7,-8.28843,-2.35401
14.8,-8.29214,-2.35339
14.9,-8.29589,-2.35277
15.0,-8.29967,-2.35216
15.1,-8.30349,-2.35155
15.2,-8.30733,-2.35095
15.3,-8.31121,-2.35036
15.4,-8.31512,-2.34977
15.5,-8.31906,-2.34919
15.6,-8.32304,-2.34862
15.7,-8.32705,-2.34806
15.8,-8.33109,-2.3475
15.9,-8.33516,-2.34696
16.0,-8.33927,-2.34643
16.1,-8.34341,-2.3459
16.2,-8.34759,-2.34539
16.3,-8.3518,-2.34489
16.4,-8.35604,-2.3444
16.5,-8.36032,-2.34392
16.6,-8.36463,-2.34346
16.7,-8.36897,-2.34301
16.8,-8.37335,-2.34257
16.9,-8.37776,-2.34215
17.0,-8.38221,-2.34175
17.1,-8.38669,-2.34136
17.2,-8.39121,-2.34099
17.3,-8.39576,-2.34063
17.4,-8.40035,-2.3403
17.5,-8.40497,-2.33998
17.6,-8.40963,-2.33968
17.7,-8.41432,-2.3394
17.8,-8.41905,-2.33915
17.9,-8.42382,-2.33891
18.0,-8.42862,-2.33869
18.1,-8.43345,-2.3385
18.2,-8.43832,-2.33833
18.3,-8.44323,-2.33819
18.4,-8.44817,-2.33807
18.5,-8.45315,-2.33797
18.6,-8.45817,-2.3379
18.7,-8.46322,-2.33786
18.8,-8.4683,-2.33784
18.9,-8.47343,-2.33785
19.0,-8.47859,-2.33789
19.1,-8.48379,-2.33796
19.2,-8.48902,-2.33806
19.3,-8.4943,-2.33819
19.4,-8.49961,-2.33836
19.5,-8.50495,-2.33855
19.6,-8.51033,-2.33878
19.7,-8.51576,-2.33904
19.8,-8.52121,-2.33934
19.9,-8.52671,-2.33967
20.0,-8.53224,-2.34003
20.1,-8.53781,-2.34044
20.2,-8.54342,-2.34088
20.3,-8.54907,-2.34136
20.4,-8.55475,-2.34187
20.5,-8.56047,-2.34243
20.6,-8.56624,-2.34303
20.7,-8.57203,-2.34366
20.8,-8.57787,-2.34434
20.9,-8.58375,-2.34506
21.0,-8.58966,-2.34583
21.1,-8.59561,-2.34664
21.2,-8.6016,-2.34749
21.3,-8.60763,-2.34838
21.4,-8.6137,-2.34933
21.5,-8.6198,-2.35032
21.6,-8.62595,-2.35135
21.7,-8.63213,-2.35244
21.8,-8.63835,-2.35357
21.9,-8.64461,-2.35475
22.0,-8.65091,-2.35598
22.1,-8.65725,-2.35726
22.2,-8.66363,-2.35859
22.3,-8.67005,-2.35997
22.4,-8.6765,-2.3614
22.5,-8.683,-2.36289
