Angle (deg),Magnitude (dB),Phase (deg)
0.0,-5.95883,-158.274
0.1,-5.95892,-158.274
0.2,-5.95921,-158.273
0.3,-5.95969,-158.271
0.4,-5.96036,-158.268
0.5,-5.96122,-158.264
0.6,-5.96227,-158.259
0.7,-5.96351,-158.253
0.8,-5.96495,-158.247
0.9,-5.96658,-158.24
1.0,-5.9684,-158.231
1.1,-5.97041,-158.222
1.2,-5.97262,-158.213
1.3,-5.97502,-158.202
1.4,-5.97762,-158.19
1.5,-5.98042,-158.178
1.6,-5.9834,-158.165
1.7,-5.98659,-158.15
1.8,-5.98997,-158.135
1.9,-5.99356,-158.12
2.0,-5.99734,-158.103
2.1,-6.00132,-158.086
2.2,-6.0055,-158.067
2.3,-6.00989,-158.048
2.4,-6.01448,-158.028
2.5,-6.01927,-158.008
2.6,-6.02427,-157.986
2.7,-6.02948,-157.964
2.8,-6.03489,-157.941
2.9,-6.04051,-157.917
3.0,-6.04635,-157.892
3.1,-6.05239,-157.866
3.2,-6.05865,-157.84
3.3,-6.06512,-157.813
3.4,-6.07181,-157.785
3.5,-6.07872,-157.756
3.6,-6.08585,-157.727
3.7,-6.0932,-157.697
3.8,-6.10077,-157.666
3.9,-6.10857,-157.634
4.0,-6.11659,-157.602
4.1,-6.12485,-157.569
4.2,-6.13333,-157.535
4.3,-6.14205,-157.501
4.4,-6.151,-157.465
4.5,-6.16019,-157.43
4.6,-6.16962,-157.393
4.7,-6.17929,-157.356
4.8,-6.1892,-157.318
4.9,-6.19936,-157.279
5.0,-6.20977,-157.24
5.1,-6.22043,-157.2
5.2,-6.23135,-157.16
5.3,-6.24252,-157.119
5.4,-6.25395,-157.077
5.5,-6.26564,-157.035
5.6,-6.27759,-156.992
5.7,-6.28982,-156.949
5.8,-6.30231,-156.905
5.9,-6.31508,-156.86
6.0,-6.32812,-156.815
6.1,-6.34144,-156.77
6.2,-6.35505,-156.724
6.3,-6.36894,-156.678
6.4,-6.38312,-156.631
6.5,-6.3976,-156.583
6.6,-6.41237,-156.536
6.7,-6.42744,-156.488
6.8,-6.44281,-156.439
6.9,-6.45849,-156.39
7.0,-6.47448,-156.341
7.1,-6.49078,-156.291
7.2,-6.50741,-156.242
7.3,-6.52435,-156.191
7.4,-6.54162,-156.141
7.5,-6.55923,-156.09
7.6,-6.57716,-156.04
7.7,-6.59544,-155.988
7.8,-6.61405,-155.937
7.9,-6.63302,-155.886
8.0,-6.65234,-155.835
8.1,-6.67201,-155.783
8.2,-6.69205,-155.731
8.3,-6.71245,-155.68
8.4,-6.73322,-155.628
8.5,-6.75437,-155.577
8.6,-6.77589,-155.525
8.7,-6.7978,-155.474
8.8,-6.82011,-155.423
8.9,-6.8428,-155.372
9.0,-6.8659,-155.321
9.1,-6.8894,-155.27
9.2,-6.91332,-155.22
9.3,-6.93765,-155.17
9.4,-6.9624,-155.121
9.5,-6.98759,-155.072
9.6,-7.0132,-155.023
9.7,-7.03925,-154.975
9.8,-7.06575,-154.927
9.9,-7.0927,-154.881
10.0,-7.1201,-154.834
10.1,-7.14797,-154.789
10.2,-7.17631,-154.744
10.3,-7.20512,-154.7
10.4,-7.23441,-154.657
10.5,-7.26418,-154.615
10.6,-7.29445,-154.574
10.7,-7.32522,-154.534
10.8,-7.35649,-154.496
10.9,-7.38828,-154.458
11.0,-7.42058,-154.422
11.1,-7.45341,-154.387
11.2,-7.48677,-154.354
11.3,-7.52066,-154.322
11.4,-7.5551,-154.292
11.5,-7.59008,-154.263
11.6,-7.62563,-154.236
11.7,-7.66173,-154.211
11.8,-7.69841,-154.189
11.9,-7.73565,-154.168
12.0,-7.77348,-154.149
12.1,-7.8119,-154.133
12.2,-7.85091,-154.119
12.3,-7.89051,-154.108
12.4,-7.93073,-154.099
12.5,-7.97155,-154.093
12.6,-8.01298,-154.09
12.7,-8.05504,-154.09
12.8,-8.09772,-154.093
12.9,-8.14104,-154.099
13.0,-8.18499,-154.109
13.1,-8.22958,-154.122
