Angle (deg),Magnitude (dB),Phase (deg)
0.0,-4.27202,31.1188
0.1,-4.27203,31.1188
0.2,-4.27206,31.1189
0.3,-4.27212,31.1191
0.4,-4.27219,31.1193
0.5,-4.27228,31.1196
0.6,-4.2724,31.1199
0.7,-4.27254,31.1204
0.8,-4.27269,31.1209
0.9,-4.27287,31.1214
1.0,-4.27307,31.1221
1.1,-4.27329,31.1228
1.2,-4.27354,31.1235
1.3,-4.2738,31.1244
1.4,-4.27408,31.1253
1.5,-4.27439,31.1262
1.6,-4.27471,31.1272
1.7,-4.27506,31.1283
1.8,-4.27543,31.1295
1.9,-4.27582,31.1307
2.0,-4.27623,31.132
2.1,-4.27666,31.1334
2.2,-4.27711,31.1348
2.3,-4.27759,31.1363
2.4,-4.27808,31.1378
2.5,-4.2786,31.1395
2.6,-4.27914,31.1412
2.7,-4.2797,31.1429
2.8,-4.28028,31.1447
2.9,-4.28088,31.1466
3.0,-4.2815,31.1486
3.1,-4.28214,31.1506
3.2,-4.28281,31.1527
3.3,-4.28349,31.1549
3.4,-4.2842,31.1571
3.5,-4.28493,31.1594
3.6,-4.28568,31.1617
3.7,-4.28645,31.1641
3.8,-4.28724,31.1666
3.9,-4.28806,31.1692
4.0,-4.28889,31.1718
4.1,-4.28975,31.1745
4.2,-4.29063,31.1772
4.3,-4.29153,31.1801
4.4,-4.29245,31.1829
4.5,-4.29339,31.1859
4.6,-4.29435,31.1889
4.7,-4.29534,31.192
4.8,-4.29634,31.1951
4.9,-4.29737,31.1984
5.0,-4.29842,31.2016
5.1,-4.29949,31.205
5.2,-4.30059,31.2084
5.3,-4.3017,31.2119
5.4,-4.30284,31.2154
5.5,-4.304,31.2191
5.6,-4.30518,31.2227
5.7,-4.30638,31.2265
5.8,-4.3076,31.2303
5.9,-4.30885,31.2342
6.0,-4.31011,31.2381
6.1,-4.3114,31.2422
6.2,-4.31271,31.2462
6.3,-4.31404,31.2504
6.4,-4.3154,31.2546
6.5,-4.31677,31.2589
6.6,-4.31817,31.2632
6.7,-4.31959,31.2677
6.8,-4.32103,31.2721
6.9,-4.3225,31.2767
7.0,-4.32398,31.2813
7.1,-4.32549,31.286
7.2,-4.32702,31.2907
7.3,-4.32858,31.2955
7.4,-4.33015,31.3004
7.5,-4.33175,31.3054
7.6,-4.33337,31.3104
7.7,-4.33501,31.3155
7.8,-4.33667,31.3206
7.9,-4.33836,31.3258
8.0,-4.34007,31.3311
8.1,-4.3418,31.3365
8.2,-4.34355,31.3419
8.3,-4.34533,31.3474
8.4,-4.34713,31.3529
8.5,-4.34895,31.3585
8.6,-4.35079,31.3642
8.7,-4.35266,31.37
8.8,-4.35455,31.3758
8.9,-4.35646,31.3817
9.0,-4.3584,31.3876
9.1,-4.36036,31.3936
9.2,-4.36234,31.3997
9.3,-4.36434,31.4059
9.4,-4.36637,31.4121
9.5,-4.36842,31.4184
9.6,-4.37049,31.4247
9.7,-4.37259,31.4312
9.8,-4.37471,31.4376
9.9,-4.37685,31.4442
10.0,-4.37901,31.4508
10.1,-4.3812,31.4575
10.2,-4.38342,31.4643
10.3,-4.38565,31.4711
10.4,-4.38791,31.478
10.5,-4.39019,31.4849
10.6,-4.3925,31.4919
10.7,-4.39483,31.499
10.8,-4.39718,31.5062
10.9,-4.39956,31.5134
11.0,-4.40196,31.5207
11.1,-4.40439,31.5281
11.2,-4.40683,31.5355
11.3,-4.40931,31.543
11.4,-4.4118,31.5506
11.5,-4.41432,31.5582
11.6,-4.41687,31.5659
11.7,-4.41944,31.5736
11.8,-4.42203,31.5815
11.9,-4.42465,31.5894
12.0,-4.42729,31.5973
12.1,-4.42995,31.6054
12.2,-4.43264,31.6135
12.3,-4.43536,31.6216
12.4,-4.4381,31.6299
12.5,-4.44086,31.6382
12.6,-4.44365,31.6465
12.7,-4.44646,31.655
12.8,-4.4493,31.6635
12.9,-4.45216,31.6721
13.0,-4.45505,31.6807
13.1,-4.45796,31.6894
13.2,-4.4609,31.6982
13.3,-4.46386,31.707
13.4,-4.46685,31.7159
13.5,-4.46986,31.7249
13.6,-4.4729,31.7339
13.7,-4.47596,31.7431
13.8,-4.47905,31.7522
13.9,-4.48217,31.7615
14.0,-4.48531,31.7708
14.1,-4.48847,31.7802
14.2,-4.49166,31.7896
14.3,-4.49488,31.7992
14.4,-4.49812,31.8087
14.5,-4.50139,31.8184
14.6,-4.50469,31.8281
14.7,-4.50801,31.8379
14.8,-4.51135,31.8478
14.9,-4.51473,31.8577
15.0,-4.51813,31.8677
15.1,-4.52155,31.8778
15.2,-4.52501,31.8879
15.3,-4.52849,31.8981
15.4,-4.53199,31.9083
15.5,-4.53552,31.9187
15.6,-4.53908,31.9291
15.7,-4.54267,31.9395
15.8,-4.54628,31.9501
15.9,-4.54992,31.9607
16.0,-4.55359,31.9714
16.1,-4.55728,31.9821
16.2,-4.56101,31.9929
16.3,-4.56475,32.0038
16.4,-4.56853,32.0147
16.5,-4.57234,32.0257
16.6,-4.57617,32.0368
16.7,-4.58003,32.048
16.8,-4.58391,32.0592
16.9,-4.58783,32.0705
17.0,-4.59177,32.0818
17.1,-4.59574,32.0933
17.2,-4.59974,32.1048
17.3,-4.60377,32.1163
17.4,-4.60783,32.1279
17.5,-4.61191,32.1396
17.6,-4.61602,32.1514
17.7,-4.62017,32.1632
17.8,-4.62434,32.1751
17.9,-4.62854,32.1871
18.0,-4.63276,32.1991
18.1,-4.63702,32.2113
18.2,-4.64131,32.2234
18.3,-4.64562,32.2357
18.4,-4.64997,32.248
18.5,-4.65434,32.2604
18.6,-4.65875,32.2728
18.7,-4.66318,32.2853
18.8,-4.66765,32.2979
18.9,-4.67214,32.3106
19.0,-4.67666,32.3233
19.1,-4.68122,32.3361
19.2,-4.6858,32.3489
19.3,-4.69042,32.3619
19.4,-4.69506,32.3749
19.5,-4.69974,32.3879
19.6,-4.70444,32.4011
19.7,-4.70918,32.4143
19.8,-4.71395,32.4275
19.9,-4.71875,32.4409
20.0,-4.72358,32.4543
20.1,-4.72844,32.4678
20.2,-4.73333,32.4813
20.3,-4.73826,32.4949
20.4,-4.74321,32.5086
20.5,-4.7482,32.5224
20.6,-4.75322,32.5362
20.7,-4.75827,32.5501
20.8,-4.76335,32.564
20.9,-4.76847,32.5781
21.0,-4.77362,32.5922
21.1,-4.7788,32.6063
21.2,-4.78401,32.6206
21.3,-4.78926,32.6349
21.4,-4.79454,32.6492
21.5,-4.79985,32.6637
21.6,-4.80519,32.6782
21.7,-4.81057,32.6928
21.8,-4.81599,32.7074
21.9,-4.82143,32.7221
22.0,-4.82691,32.7369
22.1,-4.83242,32.7518
22.2,-4.83797,32.7667
22.3,-4.84355,32.7817
22.4,-4.84917,32.7967
22.5,-4.85482,32.8119
22.6,-4.8605,32.8271
22.7,-4.86622,32.8423
22.8,-4.87198,32.8577
22.9,-4.87777,32.8731
23.0,-4.88359,32.8886
23.1,-4.88945,32.9041
23.2,-4.89535,32.9197
23.3,-4.90128,32.9354
23.4,-4.90725,32.9511
23.5,-4.91325,32.967
23.6,-4.91929,32.9829
23.7,-4.92536,32.9988
