Angle (deg),Magnitude (dB),Phase (deg)
0.0,-5.45626,-38.9356
0.1,-5.45628,-38.9348
0.2,-5.45635,-38.9324
0.3,-5.45645,-38.9285
0.4,-5.4566,-38.923
0.5,-5.45679,-38.9159
0.6,-5.45702,-38.9072
0.7,-5.45729,-38.897
0.8,-5.45761,-38.8852
0.9,-5.45797,-38.8718
1.0,-5.45837,-38.8568
1.1,-5.45881,-38.8403
1.2,-5.4593,-38.8221
1.3,-5.45983,-38.8024
1.4,-5.4604,-38.7812
1.5,-5.46102,-38.7583
1.6,-5.46169,-38.7339
1.7,-5.46239,-38.7079
1.8,-5.46315,-38.6803
1.9,-5.46394,-38.6511
2.0,-5.46479,-38.6204
2.1,-5.46568,-38.5881
2.2,-5.46661,-38.5542
2.3,-5.4676,-38.5187
2.4,-5.46863,-38.4817
2.5,-5.46971,-38.443
2.6,-5.47084,-38.4028
2.7,-5.47201,-38.361
2.8,-5.47324,-38.3176
2.9,-5.47452,-38.2727
3.0,-5.47585,-38.2262
3.1,-5.47723,-38.178
3.2,-5.47866,-38.1283
3.3,-5.48014,-38.0771
3.4,-5.48168,-38.0242
3.5,-5.48328,-37.9698
3.6,-5.48493,-37.9137
3.7,-5.48663,-37.8561
3.8,-5.48839,-37.7969
3.9,-5.49021,-37.7361
4.0,-5.49209,-37.6738
4.1,-5.49402,-37.6098
4.2,-5.49602,-37.5443
4.3,-5.49808,-37.4771
4.4,-5.5002,-37.4084
4.5,-5.50238,-37.3381
4.6,-5.50463,-37.2662
4.7,-5.50694,-37.1927
4.8,-5.50932,-37.1176
4.9,-5.51177,-37.041
5.0,-5.51428,-36.9627
5.1,-5.51686,-36.8828
5.2,-5.51952,-36.8014
5.3,-5.52224,-36.7183
5.4,-5.52504,-36.6337
5.5,-5.52791,-36.5474
5.6,-5.53086,-36.4596
5.7,-5.53388,-36.3702
5.8,-5.53698,-36.2791
5.9,-5.54017,-36.1865
6.0,-5.54343,-36.0922
6.1,-5.54677,-35.9964
6.2,-5.5502,-35.8989
6.3,-5.55371,-35.7998
6.4,-5.55731,-35.6992
6.5,-5.56099,-35.5969
6.6,-5.56477,-35.493
6.7,-5.56863,-35.3875
6.8,-5.57259,-35.2804
6.9,-5.57664,-35.1717
7.0,-5.58079,-35.0613
7.1,-5.58504,-34.9493
7.2,-5.58938,-34.8358
7.3,-5.59382,-34.7206
7.4,-5.59837,-34.6037
7.5,-5.60302,-34.4853
7.6,-5.60778,-34.3652
7.7,-5.61264,-34.2435
7.8,-5.61762,-34.1202
7.9,-5.6227,-33.9952
8.0,-5.6279,-33.8687
8.1,-5.63322,-33.7404
8.2,-5.63865,-33.6106
8.3,-5.6442,-33.4791
8.4,-5.64988,-33.3459
8.5,-5.65568,-33.2111
8.6,-5.6616,-33.0747
8.7,-5.66765,-32.9366
8.8,-5.67383,-32.7969
8.9,-5.68015,-32.6555
9.0,-5.6866,-32.5125
9.1,-5.69319,-32.3678
9.2,-5.69992,-32.2215
9.3,-5.70679,-32.0735
9.4,-5.7138,-31.9238
9.5,-5.72096,-31.7725
9.6,-5.72827,-31.6195
9.7,-5.73574,-31.4648
9.8,-5.74336,-31.3085
9.9,-5.75113,-31.1504
10.0,-5.75907,-30.9907
10.1,-5.76717,-30.8293
10.2,-5.77544,-30.6663
10.3,-5.78387,-30.5015
10.4,-5.79248,-30.3351
10.5,-5.80126,-30.1669
10.6,-5.81023,-29.997
10.7,-5.81937,-29.8255
10.8,-5.82869,-29.6522
10.9,-5.8382,-29.4773
11.0,-5.84791,-29.3006
11.1,-5.8578,-29.1222
11.2,-5.8679,-28.9421
11.3,-5.87819,-28.7603
11.4,-5.88869,-28.5767
11.5,-5.8994,-28.3914
11.6,-5.91032,-28.2044
11.7,-5.92145,-28.0156
11.8,-5.9328,-27.8251
11.9,-5.94438,-27.6329
12.0,-5.95618,-27.4389
12.1,-5.96821,-27.2431
12.2,-5.98047,-27.0456
12.3,-5.99298,-26.8463
12.4,-6.00572,-26.6453
12.5,-6.01872,-26.4425
12.6,-6.03196,-26.2379
12.7,-6.04546,-26.0315
12.8,-6.05922,-25.8234
12.9,-6.07324,-25.6134
13.0,-6.08754,-25.4017
13.1,-6.1021,-25.1882
13.2,-6.11695,-24.9728
13.3,-6.13208,-24.7557
13.4,-6.14749,-24.5367
13.5,-6.16321,-24.316
13.6,-6.17922,-24.0934
13.7,-6.19553,-23.869
13.8,-6.21215,-23.6427
13.9,-6.22909,-23.4146
14.0,-6.24635,-23.1847
14.1,-6.26394,-22.9529
14.2,-6.28186,-22.7193
14.3,-6.30011,-22.4838
14.4,-6.31871,-22.2465
14.5,-6.33766,-22.0073
14.6,-6.35697,-21.7662
14.7,-6.37664,-21.5233
14.8,-6.39668,-21.2784
14.9,-6.4171,-21.0317
15.0,-6.4379,-20.7831
15.1,-6.45909,-20.5326
15.2,-6.48068,-20.2801
15.3,-6.50267,-20.0258
15.4,-6.52507,-19.7696
15.5,-6.5479,-19.5114
15.6,-6.57115,-19.2513
15.7,-6.59483,-18.9893
15.8,-6.61896,-18.7254
15.9,-6.64354,-18.4595
16.0,-6.66858,-18.1917
16.1,-6.69409,-17.9219
16.2,-6.72008,-17.6502
16.3,-6.74656,-17.3765
16.4,-6.77353,-17.1008
16.5,-6.801,-16.8232
16.6,-6.82899,-16.5436
16.7,-6.8575,-16.2621
16.8,-6.88655,-15.9785
16.9,-6.91614,-15.693
17.0,-6.94629,-15.4055
17.1,-6.97701,-15.116
17.2,-7.0083,-14.8245
17.3,-7.04018,-14.531
17.4,-7.07266,-14.2355
17.5,-7.10575,-13.938
17.6,-7.13947,-13.6385
17.7,-7.17382,-13.3369
17.8,-7.20882,-13.0334
17.9,-7.24449,-12.7279
18.0,-7.28083,-12.4203
18.1,-7.31786,-12.1107
18.2,-7.35559,-11.7991
18.3,-7.39404,-11.4855
18.4,-7.43322,-11.1699
18.5,-7.47315,-10.8522
18.6,-7.51384,-10.5326
18.7,-7.55531,-10.2109
18.8,-7.59758,-9.88716
18.9,-7.64065,-9.56145
19.0,-7.68456,-9.23372
19.1,-7.72931,-8.90398
19.2,-7.77493,-8.57224
19.3,-7.82143,-8.2385
19.4,-7.86884,-7.90277
19.5,-7.91716,-7.56504
19.6,-7.96643,-7.22534
19.7,-8.01666,-6.88366
19.8,-8.06788,-6.54001
19.9,-8.1201,-6.19441
20.0,-8.17335,-5.84686
20.1,-8.22765,-5.49737
20.2,-8.28303,-5.14596
20.3,-8.33951,-4.79264
20.4,-8.39712,-4.43742
20.5,-8.45588,-4.08032
20.6,-8.51581,-3.72136
20.7,-8.57696,-3.36056
20.8,-8.63934,-2.99793
20.9,-8.70299,-2.6335
21.0,-8.76793,-2.26729
21.1,-8.8342,-1.89933
21.2,-8.90183,-1.52964
21.3,-8.97085,-1.15825
21.4,-9.0413,-0.785197
21.5,-9.11321,-0.410511
21.6,-9.18663,-0.0342282
21.7,-9.26159,0.343613
21.8,-9.33812,0.72297
21.9,-9.41627,1.1038
22.0,-9.49609,1.48606
22.1,-9.57761,1.86969
22.2,-9.66089,2.25464
22.3,-9.74597,2.64086
22.4,-9.8329,3.02828
22.5,-9.92172,3.41683
22.6,-10.0125,3.80645
22.7,-10.1053,4.19706
22.8,-10.2002,4.58858
22.9,-10.2971,4.98093
23.0,-10.3963,5.374
23.1,-10.4977,5.76772
23.2,-10.6015,6.16196
23.3,-10.7076,6.55662
23.4,-10.8162,6.95157
23.5,-10.9274,7.34669
23.6,-11.0412,7.74185
