Angle (deg),Magnitude (dB),Phase (deg)
0.0,-8.33466,-34.6183
0.1,-8.33468,-34.6183
0.2,-8.33472,-34.6183
0.3,-8.3348,-34.6184
0.4,-8.3349,-34.6185
0.5,-8.33504,-34.6186
0.6,-8.33521,-34.6187
0.7,-8.33541,-34.6189
0.8,-8.33564,-34.6191
0.9,-8.3359,-34.6193
1.0,-8.33619,-34.6196
1.1,-8.33651,-34.6198
1.2,-8.33686,-34.6201
1.3,-8.33724,-34.6204
1.4,-8.33765,-34.6208
1.5,-8.33809,-34.6211
1.6,-8.33856,-34.6215
1.7,-8.33907,-34.6219
1.8,-8.3396,-34.6224
1.9,-8.34017,-34.6229
2.0,-8.34076,-34.6233
2.1,-8.34139,-34.6239
2.2,-8.34204,-34.6244
2.3,-8.34273,-34.625
2.4,-8.34345,-34.6256
2.5,-8.3442,-34.6262
2.6,-8.34498,-34.6269
2.7,-8.34579,-34.6275
2.8,-8.34663,-34.6282
2.9,-8.3475,-34.629
3.0,-8.3484,-34.6297
3.1,-8.34933,-34.6305
3.2,-8.35029,-34.6313
3.3,-8.35129,-34.6322
3.4,-8.35231,-34.633
3.5,-8.35337,-34.6339
3.6,-8.35446,-34.6348
3.7,-8.35557,-34.6358
3.8,-8.35672,-34.6367
3.9,-8.3579,-34.6377
4.0,-8.35911,-34.6388
4.1,-8.36036,-34.6398
4.2,-8.36163,-34.6409
4.3,-8.36293,-34.642
4.4,-8.36427,-34.6432
4.5,-8.36563,-34.6443
4.6,-8.36703,-34.6455
4.7,-8.36846,-34.6468
4.8,-8.36992,-34.648
4.9,-8.37141,-34.6493
5.0,-8.37293,-34.6506
5.1,-8.37449,-34.652
5.2,-8.37607,-34.6533
5.3,-8.37769,-34.6547
5.4,-8.37934,-34.6562
5.5,-8.38101,-34.6576
5.6,-8.38272,-34.6591
5.7,-8.38447,-34.6606
5.8,-8.38624,-34.6622
5.9,-8.38805,-34.6638
6.0,-8.38988,-34.6654
