Angle (deg),Magnitude (dB),Phase (deg)
0.0,-4.27202,-148.881
0.1,-4.27201,-148.881
0.2,-4.27199,-148.881
0.3,-4.27194,-148.881
0.4,-4.27189,-148.881
0.5,-4.27181,-148.882
0.6,-4.27172,-148.882
0.7,-4.2716,-148.882
0.8,-4.27148,-148.882
0.9,-4.27133,-148.882
1.0,-4.27117,-148.882
1.1,-4.27099,-148.883
1.2,-4.2708,-148.883
1.3,-4.27059,-148.883
1.4,-4.27036,-148.884
1.5,-4.27011,-148.884
1.6,-4.26985,-148.884
1.7,-4.26957,-148.885
1.8,-4.26927,-148.885
1.9,-4.26895,-148.886
2.0,-4.26862,-148.886
2.1,-4.26827,-148.887
2.2,-4.26791,-148.887
2.3,-4.26753,-148.888
2.4,-4.26713,-148.888
2.5,-4.26671,-148.889
2.6,-4.26628,-148.89
2.7,-4.26583,-148.89
2.8,-4.26536,-148.891
2.9,-4.26487,-148.892
3.0,-4.26437,-148.893
3.1,-4.26385,-148.893
3.2,-4.26332,-148.894
3.3,-4.26277,-148.895
3.4,-4.2622,-148.896
3.5,-4.26161,-148.897
3.6,-4.26101,-148.898
3.7,-4.26039,-148.898
3.8,-4.25975,-148.899
3.9,-4.2591,-148.9
4.0,-4.25843,-148.901
4.1,-4.25774,-148.902
4.2,-4.25703,-148.904
4.3,-4.25631,-148.905
4.4,-4.25557,-148.906
4.5,-4.25482,-148.907
4.6,-4.25404,-148.908
4.7,-4.25325,-148.909
4.8,-4.25245,-148.91
4.9,-4.25162,-148.912
5.0,-4.25078,-148.913
5.1,-4.24992,-148.914
5.2,-4.24905,-148.915
5.3,-4.24816,-148.917
5.4,-4.24725,-148.918
5.5,-4.24632,-148.92
5.6,-4.24538,-148.921
5.7,-4.24442,-148.922
5.8,-4.24345,-148.924
5.9,-4.24245,-148.925
6.0,-4.24144,-148.927
6.1,-4.24041,-148.928
6.2,-4.23937,-148.93
6.3,-4.23831,-148.932
6.4,-4.23723,-148.933
6.5,-4.23614,-148.935
6.6,-4.23502,-148.937
6.7,-4.2339,-148.938
6.8,-4.23275,-148.94
6.9,-4.23159,-148.942
7.0,-4.23041,-148.944
7.1,-4.22921,-148.945
7.2,-4.228,-148.947
7.3,-4.22677,-148.949
7.4,-4.22552,-148.951
7.5,-4.22426,-148.953
7.6,-4.22297,-148.955
7.7,-4.22168,-148.957
7.8,-4.22036,-148.959
7.9,-4.21903,-148.961
8.0,-4.21768,-148.963
8.1,-4.21631,-148.965
8.2,-4.21493,-148.967
8.3,-4.21353,-148.969
8.4,-4.21212,-148.972
8.5,-4.21068,-148.974
8.6,-4.20923,-148.976
8.7,-4.20777,-148.978
8.8,-4.20628,-148.981
8.9,-4.20478,-148.983
9.0,-4.20326,-148.985
9.1,-4.20173,-148.988
9.2,-4.20018,-148.99
9.3,-4.19861,-148.992
9.4,-4.19702,-148.995
9.5,-4.19542,-148.997
9.6,-4.1938,-149.0
9.7,-4.19217,-149.003
9.8,-4.19052,-149.005
9.9,-4.18885,-149.008
10.0,-4.18716,-149.01
10.1,-4.18546,-149.013
10.2,-4.18374,-149.016
10.3,-4.182,-149.018
10.4,-4.18025,-149.021
10.5,-4.17848,-149.024
10.6,-4.17669,-149.027
10.7,-4.17488,-149.03
10.8,-4.17306,-149.033
10.9,-4.17123,-149.035
11.0,-4.16937,-149.038
11.1,-4.1675,-149.041
11.2,-4.16561,-149.044
11.3,-4.16371,-149.047
11.4,-4.16179,-149.05
11.5,-4.15985,-149.054
11.6,-4.15789,-149.057
11.7,-4.15592,-149.06
11.8,-4.15393,-149.063
11.9,-4.15192,-149.066
12.0,-4.1499,-149.069
12.1,-4.14786,-149.073
12.2,-4.14581,-149.076
12.3,-4.14373,-149.079
12.4,-4.14164,-149.083
12.5,-4.13954,-149.086
12.6,-4.13742,-149.09
12.7,-4.13528,-149.093
12.8,-4.13312,-149.096
12.9,-4.13095,-149.1
13.0,-4.12876,-149.104
13.1,-4.12655,-149.107
13.2,-4.12433,-149.111
13.3,-4.12209,-149.114
13.4,-4.11983,-149.118
13.5,-4.11756,-149.122
13.6,-4.11527,-149.126
13.7,-4.11296,-149.129
13.8,-4.11063,-149.133
13.9,-4.10829,-149.137
14.0,-4.10594,-149.141
14.1,-4.10356,-149.145
14.2,-4.10117,-149.149
14.3,-4.09877,-149.153
14.4,-4.09634,-149.157
14.5,-4.0939,-149.161
14.6,-4.09145,-149.165
14.7,-4.08897,-149.169
14.8,-4.08648,-149.173
14.9,-4.08397,-149.178
15.0,-4.08145,-149.182
15.1,-4.07891,-149.186
15.2,-4.07635,-149.19
15.3,-4.07378,-149.195
15.4,-4.07119,-149.199
15.5,-4.06858,-149.203
15.6,-4.06596,-149.208
15.7,-4.06332,-149.212
15.8,-4.06066,-149.217
15.9,-4.05799,-149.221
16.0,-4.0553,-149.226
16.1,-4.0526,-149.231
16.2,-4.04987,-149.235
16.3,-4.04713,-149.24
16.4,-4.04438,-149.245
16.5,-4.04161,-149.249
16.6,-4.03882,-149.254
16.7,-4.03601,-149.259
16.8,-4.03319,-149.264
16.9,-4.03035,-149.269
17.0,-4.0275,-149.274
17.1,-4.02462,-149.279
17.2,-4.02174,-149.284
17.3,-4.01883,-149.289
17.4,-4.01591,-149.294
17.5,-4.01297,-149.299
17.6,-4.01002,-149.304
17.7,-4.00705,-149.31
17.8,-4.00406,-149.315
17.9,-4.00106,-149.32
18.0,-3.99804,-149.325
18.1,-3.995,-149.331
18.2,-3.99195,-149.336
18.3,-3.98888,-149.342
18.4,-3.98579,-149.347
18.5,-3.98269,-149.353
18.6,-3.97957,-149.358
18.7,-3.97644,-149.364
18.8,-3.97329,-149.37
18.9,-3.97012,-149.375
19.0,-3.96694,-149.381
19.1,-3.96374,-149.387
19.2,-3.96052,-149.393
19.3,-3.95729,-149.398
19.4,-3.95404,-149.404
19.5,-3.95077,-149.41
19.6,-3.94749,-149.416
19.7,-3.94419,-149.422
19.8,-3.94088,-149.428
19.9,-3.93755,-149.434
20.0,-3.9342,-149.441
20.1,-3.93083,-149.447
20.2,-3.92745,-149.453
20.3,-3.92406,-149.459
20.4,-3.92065,-149.466
20.5,-3.91722,-149.472
20.6,-3.91377,-149.478
20.7,-3.91031,-149.485
20.8,-3.90683,-149.491
20.9,-3.90334,-149.498
21.0,-3.89983,-149.504
21.1,-3.89631,-149.511
21.2,-3.89276,-149.518
21.3,-3.8892,-149.524
21.4,-3.88563,-149.531
21.5,-3.88204,-149.538
21.6,-3.87843,-149.545
21.7,-3.87481,-149.552
21.8,-3.87117,-149.559
21.9,-3.86752,-149.566
22.0,-3.86384,-149.573
22.1,-3.86016,-149.58
22.2,-3.85645,-149.587
22.3,-3.85273,-149.594
22.4,-3.849,-149.601
22.5,-3.84525,-149.609
22.6,-3.84148,-149.616
22.7,-3.83769,-149.623
22.8,-3.83389,-149.631
22.9,-3.83008,-149.638
23.0,-3.82625,-149.646
23.1,-3.8224,-149.653
23.2,-3.81853,-149.661
23.3,-3.81465,-149.668
23.4,-3.81076,-149.676
23.5,-3.80685,-149.684
23.6,-3.80292,-149.692
23.7,-3.79898,-149.699
23.8,-3.79502,-149.707
23.9,-3.79104,-149.715
24.0,-3.78705,-149.723
24.1,-3.78304,-149.731
24.2,-3.77902,-149.739
24.3,-3.77498,-149.748
24.4,-3.77092,-149.756
24.5,-3.76685,-149.764
24.6,-3.76277,-149.772
24.7,-3.75866,-149.781
24.8,-3.75454,-149.789
24.9,-3.75041,-149.798
25.0,-3.74626,-149.806
25.1,-3.74209,-149.815
25.2,-3.73791,-149.823
25.3,-3.73372,-149.832
25.4,-3.7295,-149.841
25.5,-3.72527,-149.849
25.6,-3.72103,-149.858
25.7,-3.71677,-149.867
25.8,-3.71249,-149.876
25.9,-3.7082,-149.885
26.0,-3.7039,-149.894
26.1,-3.69957,-149.903
26.2,-3.69523,-149.912
26.3,-3.69088,-149.921
26.4,-3.68651,-149.931
26.5,-3.68213,-149.94
26.6,-3.67772,-149.949
26.7,-3.67331,-149.959
26.8,-3.66888,-149.968
26.9,-3.66443,-149.978
27.0,-3.65997,-149.987
27.1,-3.65549,-149.997
27.2,-3.65099,-150.007
27.3,-3.64648,-150.017
27.4,-3.64196,-150.026
27.5,-3.63742,-150.036
27.6,-3.63286,-150.046
27.7,-3.62829,-150.056
27.8,-3.62371,-150.066
27.9,-3.6191,-150.077
28.0,-3.61449,-150.087
28.1,-3.60985,-150.097
28.2,-3.6052,-150.107
28.3,-3.60054,-150.118
28.4,-3.59586,-150.128
28.5,-3.59117,-150.139
28.6,-3.58646,-150.149
28.7,-3.58173,-150.16
28.8,-3.57699,-150.17
28.9,-3.57224,-150.181
29.0,-3.56747,-150.192
29.1,-3.56268,-150.203
29.2,-3.55788,-150.214
29.3,-3.55307,-150.225
29.4,-3.54824,-150.236
29.5,-3.54339,-150.247
29.6,-3.53853,-150.258
29.7,-3.53365,-150.269
29.8,-3.52876,-150.281
29.9,-3.52386,-150.292
30.0,-3.51893,-150.303
30.1,-3.514,-150.315
30.2,-3.50905,-150.326
30.3,-3.50408,-150.338
30.4,-3.4991,-150.35
30.5,-3.4941,-150.361
30.6,-3.48909,-150.373
30.7,-3.48406,-150.385
30.8,-3.47902,-150.397
30.9,-3.47397,-150.409
31.0,-3.4689,-150.421
31.1,-3.46381,-150.433
31.2,-3.45871,-150.446
31.3,-3.45359,-150.458
31.4,-3.44846,-150.47
31.5,-3.44332,-150.483
31.6,-3.43816,-150.495
31.7,-3.43299,-150.508
31.8,-3.4278,-150.52
31.9,-3.42259,-150.533
32.0,-3.41737,-150.546
32.1,-3.41214,-150.559
32.2,-3.40689,-150.572
32.3,-3.40163,-150.585
32.4,-3.39636,-150.598
32.5,-3.39106,-150.611
32.6,-3.38576,-150.624
32.7,-3.38044,-150.637
32.8,-3.3751,-150.651
32.9,-3.36975,-150.664
33.0,-3.36439,-150.678
33.1,-3.35901,-150.691
33.2,-3.35362,-150.705
33.3,-3.34821,-150.719
33.4,-3.34279,-150.733
33.5,-3.33736,-150.746
33.6,-3.33191,-150.76
33.7,-3.32644,-150.774
33.8,-3.32096,-150.788
33.9,-3.31547,-150.803
34.0,-3.30996,-150.817
34.1,-3.30444,-150.831
34.2,-3.29891,-150.846
34.3,-3.29336,-150.86
34.4,-3.28779,-150.875
34.5,-3.28222,-150.889
34.6,-3.27663,-150.904
34.7,-3.27102,-150.919
34.8,-3.2654,-150.934
34.9,-3.25977,-150.949
35.0,-3.25412,-150.964
35.1,-3.24846,-150.979
35.2,-3.24278,-150.994
35.3,-3.23709,-151.009
35.4,-3.23139,-151.025
35.5,-3.22567,-151.04
35.6,-3.21994,-151.056
35.7,-3.2142,-151.071
35.8,-3.20844,-151.087
35.9,-3.20267,-151.103
36.0,-3.19688,-151.119
36.1,-3.19108,-151.135
36.2,-3.18527,-151.151
36.3,-3.17944,-151.167
36.4,-3.1736,-151.183
36.5,-3.16775,-151.199
36.6,-3.16188,-151.216
36.7,-3.156,-151.232
36.8,-3.1501,-151.249
36.9,-3.1442,-151.265
37.0,-3.13828,-151.282
37.1,-3.13234,-151.299
37.2,-3.12639,-151.316
37.3,-3.12043,-151.333
37.4,-3.11446,-151.35
37.5,-3.10847,-151.367
37.6,-3.10247,-151.384
37.7,-3.09645,-151.401
37.8,-3.09043,-151.419
37.9,-3.08439,-151.436
38.0,-3.07833,-151.454
38.1,-3.07227,-151.472
38.2,-3.06619,-151.489
38.3,-3.06009,-151.507
38.4,-3.05399,-151.525
38.5,-3.04787,-151.543
38.6,-3.04174,-151.561
38.7,-3.03559,-151.58
38.8,-3.02944,-151.598
38.9,-3.02327,-151.616
39.0,-3.01708,-151.635
39.1,-3.01089,-151.653
39.2,-3.00468,-151.672
39.3,-2.99846,-151.691
39.4,-2.99223,-151.71
39.5,-2.98598,-151.729
39.6,-2.97972,-151.748
39.7,-2.97345,-151.767
39.8,-2.96717,-151.786
39.9,-2.96087,-151.806
40.0,-2.95456,-151.825
40.1,-2.94824,-151.845
40.2,-2.94191,-151.864
40.3,-2.93556,-151.884
40.4,-2.9292,-151.904
40.5,-2.92283,-151.924
40.6,-2.91645,-151.944
40.7,-2.91006,-151.964
40.8,-2.90365,-151.984
40.9,-2.89723,-152.005
41.0,-2.8908,-152.025
41.1,-2.88436,-152.046
41.2,-2.8779,-152.067
41.3,-2.87144,-152.087
41.4,-2.86496,-152.108
41.5,-2.85847,-152.129
41.6,-2.85197,-152.15
41.7,-2.84545,-152.171
41.8,-2.83893,-152.193
41.9,-2.83239,-152.214
42.0,-2.82584,-152.236
42.1,-2.81928,-152.257
42.2,-2.81271,-152.279
42.3,-2.80612,-152.301
42.4,-2.79953,-152.323
42.5,-2.79292,-152.345
42.6,-2.7863,-152.367
42.7,-2.77968,-152.389
42.8,-2.77303,-152.411
42.9,-2.76638,-152.434
43.0,-2.75972,-152.456
43.1,-2.75305,-152.479
43.2,-2.74636,-152.502
43.3,-2.73966,-152.525
43.4,-2.73296,-152.548
43.5,-2.72624,-152.571
43.6,-2.71951,-152.594
43.7,-2.71277,-152.617
43.8,-2.70602,-152.641
43.9,-2.69926,-152.664
44.0,-2.69248,-152.688
44.1,-2.6857,-152.712
44.2,-2.67891,-152.736
44.3,-2.6721,-152.76
44.4,-2.66529,-152.784
44.5,-2.65846,-152.808
44.6,-2.65163,-152.833
44.7,-2.64478,-152.857
44.8,-2.63792,-152.882
44.9,-2.63106,-152.906
45.0,-2.62418,-152.931
45.1,-2.61729,-152.956
45.2,-2.6104,-152.981
45.3,-2.60349,-153.006
45.4,-2.59657,-153.032
45.5,-2.58964,-153.057
45.6,-2.58271,-153.083
45.7,-2.57576,-153.108
45.8,-2.5688,-153.134
45.9,-2.56183,-153.16
46.0,-2.55486,-153.186
46.1,-2.54787,-153.212
46.2,-2.54087,-153.238
46.3,-2.53387,-153.265
46.4,-2.52685,-153.291
46.5,-2.51983,-153.318
46.6,-2.5128,-153.344
46.7,-2.50575,-153.371
46.8,-2.4987,-153.398
46.9,-2.49164,-153.425
47.0,-2.48457,-153.453
47.1,-2.47749,-153.48
47.2,-2.4704,-153.508
47.3,-2.4633,-153.535
47.4,-2.45619,-153.563
47.5,-2.44908,-153.591
47.6,-2.44195,-153.619
47.7,-2.43482,-153.647
47.8,-2.42768,-153.675
47.9,-2.42053,-153.704
48.0,-2.41337,-153.732
48.1,-2.4062,-153.761
48.2,-2.39903,-153.79
48.3,-2.39184,-153.819
48.4,-2.38465,-153.848
48.5,-2.37745,-153.877
48.6,-2.37024,-153.906
48.7,-2.36302,-153.935
48.8,-2.3558,-153.965
48.9,-2.34856,-153.995
49.0,-2.34132,-154.025
49.1,-2.33407,-154.055
49.2,-2.32682,-154.085
49.3,-2.31955,-154.115
49.4,-2.31228,-154.145
49.5,-2.305,-154.176
49.6,-2.29771,-154.206
49.7,-2.29042,-154.237
49.8,-2.28312,-154.268
49.9,-2.27581,-154.299
50.0,-2.26849,-154.33
50.1,-2.26117,-154.362
50.2,-2.25384,-154.393
50.3,-2.2465,-154.425
50.4,-2.23915,-154.457
50.5,-2.2318,-154.488
50.6,-2.22444,-154.52
50.7,-2.21708,-154.553
50.8,-2.20971,-154.585
50.9,-2.20233,-154.617
51.0,-2.19494,-154.65
51.1,-2.18755,-154.683
51.2,-2.18015,-154.716
51.3,-2.17275,-154.749
51.4,-2.16534,-154.782
51.5,-2.15792,-154.815
51.6,-2.1505,-154.849
