Angle (deg),Magnitude (dB),Phase (deg)
0.0,-8.33466,145.382
0.1,-8.33465,145.382
0.2,-8.33461,145.382
0.3,-8.33453,145.382
0.4,-8.33444,145.383
0.5,-8.33431,145.383
0.6,-8.33415,145.384
0.7,-8.33397,145.385
0.8,-8.33376,145.386
0.9,-8.33352,145.387
1.0,-8.33325,145.388
1.1,-8.33295,145.39
1.2,-8.33263,145.391
1.3,-8.33228,145.393
1.4,-8.3319,145.394
1.5,-8.33149,145.396
1.6,-8.33105,145.398
1.7,-8.33058,145.4
1.8,-8.33009,145.403
1.9,-8.32957,145.405
2.0,-8.32902,145.408
2.1,-8.32844,145.41
2.2,-8.32784,145.413
2.3,-8.3272,145.416
2.4,-8.32654,145.419
2.5,-8.32585,145.422
2.6,-8.32513,145.426
2.7,-8.32438,145.429
2.8,-8.32361,145.433
2.9,-8.3228,145.436
3.0,-8.32197,145.44
3.1,-8.32111,145.444
3.2,-8.32022,145.448
3.3,-8.31931,145.452
3.4,-8.31836,145.457
3.5,-8.31739,145.461
3.6,-8.31639,145.466
3.7,-8.31536,145.471
3.8,-8.3143,145.475
3.9,-8.31322,145.48
4.0,-8.31211,145.486
4.1,-8.31097,145.491
4.2,-8.3098,145.496
4.3,-8.3086,145.502
4.4,-8.30737,145.507
4.5,-8.30612,145.513
4.6,-8.30484,145.519
4.7,-8.30353,145.525
4.8,-8.30219,145.531
4.9,-8.30083,145.537
5.0,-8.29943,145.544
5.1,-8.29801,145.55
5.2,-8.29656,145.557
5.3,-8.29509,145.564
5.4,-8.29358,145.571
5.5,-8.29205,145.578
5.6,-8.29049,145.585
5.7,-8.2889,145.592
5.8,-8.28728,145.6
5.9,-8.28563,145.607
6.0,-8.28396,145.615
6.1,-8.28226,145.623
6.2,-8.28053,145.631
6.3,-8.27878,145.639
6.4,-8.27699,145.647
6.5,-8.27518,145.656
6.6,-8.27334,145.664
6.7,-8.27147,145.673
6.8,-8.26957,145.681
6.9,-8.26765,145.69
7.0,-8.2657,145.699
7.1,-8.26372,145.708
