Angle (deg),Magnitude (dB),Phase (deg)
0.0,-1.59376,176.172
0.1,-1.59376,176.172
0.2,-1.59375,176.172
0.3,-1.59374,176.172
0.4,-1.59372,176.172
0.5,-1.5937,176.172
0.6,-1.59367,176.172
0.7,-1.59364,176.172
0.8,-1.5936,176.172
0.9,-1.59356,176.172
1.0,-1.59352,176.172
1.1,-1.59346,176.172
1.2,-1.59341,176.172
1.3,-1.59335,176.173
1.4,-1.59328,176.173
1.5,-1.59321,176.173
1.6,-1.59314,176.173
1.7,-1.59306,176.173
1.8,-1.59297,176.173
1.9,-1.59288,176.174
2.0,-1.59279,176.174
2.1,-1.59269,176.174
2.2,-1.59259,176.174
2.3,-1.59248,176.175
2.4,-1.59236,176.175
2.5,-1.59224,176.175
2.6,-1.59212,176.175
2.7,-1.59199,176.176
2.8,-1.59186,176.176
2.9,-1.59172,176.176
3.0,-1.59158,176.177
3.1,-1.59143,176.177
3.2,-1.59128,176.177
3.3,-1.59112,176.178
3.4,-1.59096,176.178
3.5,-1.59079,176.179
3.6,-1.59062,176.179
3.7,-1.59044,176.179
3.8,-1.59026,176.18
3.9,-1.59007,176.18
4.0,-1.58988,176.181
4.1,-1.58969,176.181
4.2,-1.58948,176.182
4.3,-1.58928,176.182
4.4,-1.58907,176.183
4.5,-1.58885,176.183
4.6,-1.58863,176.184
4.7,-1.58841,176.184
4.8,-1.58818,176.185
4.9,-1.58794,176.185
5.0,-1.5877,176.186
5.1,-1.58746,176.187
5.2,-1.58721,176.187
5.3,-1.58696,176.188
5.4,-1.5867,176.188
5.5,-1.58643,176.189
5.6,-1.58616,176.19
5.7,-1.58589,176.19
5.8,-1.58561,176.191
5.9,-1.58533,176.192
6.0,-1.58504,176.192
6.1,-1.58475,176.193
6.2,-1.58445,176.194
6.3,-1.58415,176.194
6.4,-1.58384,176.195
6.5,-1.58353,176.196
6.6,-1.58321,176.197
6.7,-1.58289,176.197
6.8,-1.58257,176.198
6.9,-1.58223,176.199
7.0,-1.5819,176.2
